"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX243435","""Zea mays, Yu796_NS RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395314","Maize","968.32","1","8025493","1605098600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243434","""Zea mays, YONG_28 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395313","Maize","2109.81","1","17330561","3466112200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243433","""Zea mays, YING-55 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395312","Maize","2443.94","1","20093686","4018737200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243432","""Zea mays, YELLOW_3-4 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395311","Maize","1114.87","1","9205930","1841186000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243431","""Zea mays, YE-CHI-HUNG RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395310","Maize","1427.37","1","11452720","2290544000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243430","""Zea mays, YE_4 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395309","Maize","735.96","1","5900133","1180026600","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243429","""Zea mays, YANG RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395308","Maize","2653.89","1","21658750","4331750000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243428","""Zea mays, WXB6 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395307","Maize","1818.61","1","14184756","2836951200","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243427","""Zea mays, WU-TAN-TZAO RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395306","Maize","1728.09","1","13952612","2790522400","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX243426","""Zea mays, WR3 RNAseq""","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP018753","Zea mays subsp. mays Transcriptome or Gene expression","SRS395305","Maize","579.17","1","4672875","934575000","","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
