"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX699528","GSM1502529: S_L1.3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700198","","1737.79","1","14169987","2862337374","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699527","GSM1502528: S_L1.2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700197","","2819.03","1","22979235","4641805470","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699526","GSM1502527: S_L1.1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700196","","979.87","1","7951683","1606239966","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699525","GSM1502526: L_L1.3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700195","","3454.01","1","28224925","5701434850","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699524","GSM1502525: L_L1.2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700194","","579.58","1","4724584","954365968","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699523","GSM1502524: L_L1.1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700193","","1808.47","1","14809832","2991586064","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699522","GSM1502523: B_L1.3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700192","","2309.88","1","18869666","3811672532","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699521","GSM1502522: B_L1.2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700191","","1772.4","1","14492909","2927567618","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699520","GSM1502521: B_L1.1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700190","","4922.81","1","40182222","8116808844","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699519","GSM1502520: lg1-3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700189","","6113.85","1","50617400","10224714800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699518","GSM1502519: lg1-2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700188","","2366.39","1","19842178","4008119956","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699517","GSM1502518: lg1-1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700187","","2910.9","1","24548838","4958865276","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699516","GSM1502517: wtL-3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700186","","3865.86","1","32186310","6501634620","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699515","GSM1502516: wtL-2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700185","","2410.49","1","20089168","4058011936","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699514","GSM1502515: wtL-1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700184","","5067.58","1","42029948","8490049496","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699513","GSM1502514: S-5; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700183","","1711.81","1","14178336","2835667200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699512","GSM1502513: S-4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700182","","2513.53","1","21464235","4292847000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699511","GSM1502512: S-3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700181","","2441.17","1","20690979","4138195800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699510","GSM1502511: L-5; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700180","","7745.01","1","64064340","12812868000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699509","GSM1502510: L-4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700179","","3020.64","1","25041155","5008231000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699508","GSM1502509: L-3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700178","","5855.78","1","49014948","9802989600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699507","GSM1502508: B-5; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700177","","3560.13","1","29382758","5876551600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX699506","GSM1502507: B-4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP047035","Zea mays Transcriptome or Gene expression","SRS700176","","3443.06","1","29211801","5842360200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
