"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX339823","GSM1215387: Vegetative Meristem & Surrounding Tissue 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473646","","1814.75","1","28074423","2807442300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339822","GSM1215386: Vegetative Meristem & Surrounding Tissue 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473645","","1794.07","1","27898523","2789852300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339821","GSM1215385: Internode 7-8 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473644","","1800.37","1","27739041","2773904100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339820","GSM1215384: Internode 7-8 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473643","","1452.74","1","22424620","2242462000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339819","GSM1215383: Internode 7-8 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473642","","1611.96","1","24874762","2487476200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339818","GSM1215382: Internode 6-7 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473640","","1752.92","1","26940355","2694035500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339817","GSM1215381: Internode 6-7 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473641","","1596","1","24580159","2458015900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339816","GSM1215380: Internode 6-7 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473639","","1653.78","1","25545711","2554571100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339815","GSM1215379: mature female spikelets 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473638","","1502.31","1","23132075","2313207500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339814","GSM1215378: mature female spikelets 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473636","","1326.89","1","20637844","2063784400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339813","GSM1215377: mature female spikelets 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473637","","1123.78","1","17739708","1773970800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339812","GSM1215376: silks 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473635","","918.01","1","14416283","1441628300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339811","GSM1215375: silks 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473634","","1411.11","1","21843496","2184349600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339810","GSM1215374: silks 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473633","","1704.06","1","26033855","2603385500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339809","GSM1215373: Mature pollen 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473632","","2007.66","1","30484162","3048416200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339808","GSM1215372: Mature pollen 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473631","","1978.41","1","29911225","2991122500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339807","GSM1215371: Mature pollen 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473630","","2035.91","1","30662732","3066273200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339806","GSM1215370: SR 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473629","","1933.83","1","29520529","2952052900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339805","GSM1215369: SR 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473628","","1820.23","1","27693928","2769392800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339804","GSM1215368: SR 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473627","","1675.78","1","25434710","2543471000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339803","GSM1215367: PR 3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473626","","1828.31","1","27748895","2774889500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339802","GSM1215366: PR 2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473625","","1741.2","1","26344210","2634421000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339801","GSM1215365: PR 1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473624","","1842.18","1","27824217","2782421700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339800","GSM1215364: Cortex_rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473623","","1034.2","1","16084431","1608443100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339799","GSM1215363: EZ_rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473622","","1507.61","1","23098702","2309870200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339798","GSM1215362: MZ_rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473621","","1646.34","1","25235171","2523517100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339797","GSM1215361: Cortex_rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473620","","1550.52","1","23819095","2381909500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339796","GSM1215360: EZ_rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473619","","1393.61","1","21179476","2117947600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339795","GSM1215359: MZ_rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473618","","1718.92","1","26430685","2643068500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX339794","GSM1215358: Cortex_rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP029238","Maize proteome and transcriptome atlas","SRS473617","","1539.54","1","23518174","2351817400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
