"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX694829","GSM1496060: nkd  starchy endopserm, biorep 3 (NS3); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696173","","3632.61","1","55398806","5539880600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694828","GSM1496059: nkd  starchy endopserm, biorep 2 (NS2); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696172","","2900.21","1","42149448","4214944800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694827","GSM1496058: nkd  starchy endopserm, biorep 1 (NS1); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696170","","1930.37","1","30376797","3037679700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694826","GSM1496057: B73 starchy endopserm, biorep 3 (BS3); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696171","","1810.21","1","27952849","2795284900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694825","GSM1496056: B73 starchy endopserm, biorep 2 (BS2); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696169","","4492.05","1","66113263","6611326300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694824","GSM1496055: B73 starchy endopserm, biorep 1 (BS1); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696168","","3127.7","1","52031092","5203109200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694823","GSM1496054: nkd Aleurone, biorep 3 (NA3); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696167","","3581.05","1","53389819","5338981900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694822","GSM1496053: nkd Aleurone, biorep 2 (NA2); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696166","","4203.05","1","62078569","6207856900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694821","GSM1496052: nkd Aleurone, biorep 1 (NA1); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696165","","2456.92","1","39467467","3946746700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694820","GSM1496051: B73 Aleurone, biorep 3 (BA3); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696164","","4647.37","1","69339471","6933947100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694819","GSM1496050: B73 Aleurone, biorep 2 (BA2); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696163","","923.71","1","13513122","1351312200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX694818","GSM1496049: B73 Aleurone, biorep 1 (BA1); Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP046270","Zea mays Transcriptome or Gene expression","SRS696162","","3653.23","1","57477603","5747760300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
