SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR516201	SAM	M0001		1	FALSE
SRR516795	SAM	M0005		1	FALSE
SRR516796	SAM	M0007		1	FALSE
SRR516797	SAM	M0008		1	FALSE
SRR516798	SAM	M0010		1	FALSE
SRR516810	SAM	M0012		1	FALSE
SRR516812	SAM	M0014		1	FALSE
SRR516813	SAM	M0015		1	FALSE
SRR516814	SAM	M0016		1	FALSE
SRR516815	SAM	M0017		1	FALSE
SRR516816	SAM	M0021		1	FALSE
SRR516817	SAM	M0022		1	FALSE
SRR516818	SAM	M0023		1	FALSE
SRR611202	SAM	M0024		1	FALSE
SRR611203	SAM	M0025		1	FALSE
SRR611204	SAM	M0026		1	FALSE
SRR611205	SAM	M0028		1	FALSE
SRR611206	SAM	M0029		1	FALSE
SRR611207	SAM	M0030		1	FALSE
SRR611208	SAM	M0031		1	FALSE
SRR611209	SAM	M0032		1	FALSE
SRR611210	SAM	M0035		1	FALSE
SRR611211	SAM	M0039		1	FALSE
SRR611212	SAM	M0040		1	FALSE
SRR611213	SAM	M0046		1	FALSE
SRR611214	SAM	M0048		1	FALSE
SRR611215	SAM	M0051		1	FALSE
SRR611216	SAM	M0052		1	FALSE
SRR611217	SAM	M0054		1	FALSE
SRR611218	SAM	M0056		1	FALSE
SRR611219	SAM	M0057		1	FALSE
SRR611220	SAM	M0058		1	FALSE
SRR611221	SAM	M0060		1	FALSE
SRR611243	SAM	M0061		1	FALSE
SRR611246	SAM	M0062		1	FALSE
SRR611247	SAM	M0063		1	FALSE
SRR611252	SAM	M0066		1	FALSE
SRR611253	SAM	M0067		1	FALSE
SRR611259	SAM	M0074		1	FALSE
SRR611262	SAM	M0075		1	FALSE
SRR611264	SAM	M0077		1	FALSE
SRR611265	SAM	M0079		1	FALSE
SRR611266	SAM	M0080		1	FALSE
SRR611268	SAM	M0099		1	FALSE
SRR611269	SAM	M0116		1	FALSE
SRR611270	SAM	M0141		1	FALSE
SRR611271	SAM	M0176		1	FALSE
SRR611272	SAM	M0200		1	FALSE
