SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR611806	leaf	B73	T00	1	TRUE	143961910	202
SRR611807	leaf	B73	T00	2	TRUE	82902125	202
SRR611822	leaf	B73	T06	1	TRUE	83215053	202
SRR611823	leaf	B73	T06	2	TRUE	142862168	202
SRR611834	leaf	B73	T12	1	TRUE	138766133	202
SRR611835	leaf	B73	T12	2	TRUE	95265559	202
SRR611836	leaf	B73	T18	1	TRUE	137351395	202
SRR611837	leaf	B73	T18	2	TRUE	92824469	202
SRR611838	leaf	B73	T24	1	TRUE	121811841	202
SRR611839	leaf	B73	T24	2	TRUE	115076583	202
SRR616188	leaf	B73	T30	1	TRUE	122078589	202
SRR616189	leaf	B73	T30	2	TRUE	89047211	202
SRR616190	leaf	B73	T36	1	TRUE	134936491	202
SRR616191	leaf	B73	T36	2	TRUE	100378375	202
SRR616192	leaf	B73	T42	1	TRUE	89822131	202
SRR616193	leaf	B73	T42	2	TRUE	111772419	202
SRR616194	leaf	B73	T48	1	TRUE	93435706	202
SRR616195	leaf	B73	T48	2	TRUE	101419601	202
SRR616196	leaf	B73	T54	1	TRUE	144717149	202
SRR616197	leaf	B73	T54	2	TRUE	119682060	202
SRR616248	leaf	B73	T60	1	TRUE	155019145	202
SRR616249	leaf	B73	T60	2	TRUE	121059474	202
SRR616250	leaf	B73	T66	1	TRUE	159370230	202
SRR616251	leaf	B73	T66	2	TRUE	132324988	202
SRR616252	leaf	B73	T72	1	TRUE	128898161	202
SRR616253	leaf	B73	T72	2	TRUE	142251010	202
SRR950094	leaf	B73	ET06	1	TRUE	200907354	202
SRR950095	leaf	B73	ET06	2	TRUE	134498989	202
SRR950096	leaf	B73	ET12	1	TRUE	166258782	202
SRR950097	leaf	B73	ET12	2	TRUE	173422973	202
SRR950098	leaf	B73	ET18	1	TRUE	192601486	202
SRR950099	leaf	B73	ET18	2	TRUE	160738650	202
SRR950100	leaf	B73	ET24	1	TRUE	126053644	202
SRR950101	leaf	B73	ET24	2	TRUE	143098358	202
SRR950102	leaf	B73	ET30	1	TRUE	194458287	202
SRR950103	leaf	B73	ET30	2	TRUE	113983494	202
SRR950104	leaf	B73	ET36	1	TRUE	168390713	202
SRR950105	leaf	B73	ET36	2	TRUE	108248535	202
SRR950110	leaf	B73	ET42	1	TRUE	198517913	202
SRR950111	leaf	B73	ET42	2	TRUE	119556477	202
SRR950161	leaf	B73	ET48	1	TRUE	126211359	202
SRR950162	leaf	B73	ET48	2	TRUE	106082278	202
SRR950163	leaf	B73	ET54	1	TRUE	155762514	202
SRR950164	leaf	B73	ET54	2	TRUE	95978723	202
SRR950181	leaf	B73	ET60	1	TRUE	173408650	202
SRR950182	leaf	B73	ET60	2	TRUE	159541384	202
SRR950183	leaf	B73	ET66	1	TRUE	168659865	202
SRR950184	leaf	B73	ET66	2	TRUE	148831976	202
SRR950185	leaf	B73	ET72	1	TRUE	192366142	202
SRR950186	leaf	B73	ET72	2	TRUE	206333049	202
