SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR1016026	endosperm	B73xKi11		1	TRUE
SRR1016209	endosperm	B73xOh43		1	TRUE
SRR1016213	endosperm	Ki11xB73		1	TRUE
SRR1016214	endosperm	Ki11xMo17		1	TRUE
SRR1016217	endosperm	Mo17xKi11		1	TRUE
SRR1016220	endosperm	Mo17xOh43		1	TRUE
SRR1016223	endosperm	Oh43xB73		1	TRUE
SRR1016225	endosperm	Oh43xMo17		1	TRUE
SRR1020269	endosperm	B73xKi11		2	TRUE
SRR1020270	endosperm	B73xOh43		2	TRUE
SRR1020271	endosperm	Ki11xB73		2	TRUE
SRR1020275	endosperm	Ki11xMo17		2	TRUE
SRR1020281	endosperm	Oh43xMo17		2	TRUE
SRR1020283	endosperm	Mo17xKi11		2	TRUE
SRR1020284	endosperm	Oh43xB73		2	TRUE
SRR1020285	endosperm	Mo17xOh43		2	TRUE
