SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR1168421	embryo	B73	12DAP	1	TRUE
SRR1168422	embryo	B73	14DAP	1	TRUE
SRR1168423	embryo	B73	16DAP	1	TRUE
SRR1168424	embryo	B73	18DAP	1	TRUE
SRR1168429	embryo	B73	24DAP	1	TRUE
SRR1168430	embryo	B73	20DAP	1	TRUE
SRR1168431	embryo	B73	26DAP	1	TRUE
SRR1168432	embryo	B73	28DAP	1	TRUE
SRR1168434	embryo	B73	30DAP	1	TRUE
SRR1168435	embryo	B73	32DAP	1	TRUE
SRR1168436	embryo	B73	34DAP	1	TRUE
SRR1168437	embryo	B73	36DAP	1	TRUE
SRR1169626	endosperm	B73	6DAP	1	TRUE
SRR1169627	endosperm	B73	8DAP	1	TRUE
SRR1169628	endosperm	B73	10DAP	1	TRUE
SRR1169629	endosperm	B73	12DAP	1	TRUE
SRR1169630	endosperm	B73	12DAP	2	TRUE
SRR1169631	endosperm	B73	14DAP	1	TRUE
SRR1169632	endosperm	B73	14DAP	2	TRUE
SRR1169633	endosperm	B73	16DAP	1	TRUE
SRR1169634	endosperm	B73	18DAP	1	TRUE
SRR1169635	endosperm	B73	18DAP	2	TRUE
SRR1169636	endosperm	B73	20DAP	1	TRUE
SRR1169637	endosperm	B73	22DAP	1	TRUE
SRR1169639	endosperm	B73	24DAP	1	TRUE
SRR1169640	endosperm	B73	24DAP	2	TRUE
SRR1169641	endosperm	B73	26DAP	1	TRUE
SRR1169642	endosperm	B73	28DAP	1	TRUE
SRR1169643	endopserm	B73	30DAP	1	TRUE
SRR1169644	endosperm	B73	32DAP	1	TRUE
SRR1169645	endosperm	B73	34DAP	1	TRUE
SRR1169646	endosperm	B73	36DAP	1	TRUE
SRR1169647	endosperm	B73	38DAP	1	TRUE
SRR1169648	seed	B73	0DAP	1	TRUE
SRR1169649	seed	B73	2DAP	1	TRUE
SRR1169650	seed	B73	3DAP	1	TRUE
SRR1169651	seed	B73	4DAP	1	TRUE
SRR1169652	seed	B73	4DAP	2	TRUE
SRR1169653	seed	B73	8DAP	1	TRUE
SRR1169654	seed	B73	10DAP	1	TRUE
SRR1169655	seed	B73	12DAP	1	TRUE
SRR1170937	seed	B73	16DAP	1	TRUE
SRR1170938	seed	B73	16DAP	2	TRUE
SRR1170939	seed	B73	18DAP	1	TRUE
SRR1170940	seed	B73	18DAP	2	TRUE
SRR1170941	seed	B73	20DAP	1	TRUE
SRR1170942	seed	B73	20DAP	2	TRUE
SRR1170943	seed	B73	22DAP	1	TRUE
SRR1170944	seed	B73	24DAP	1	TRUE
SRR1170945	seed	B73	24DAP	2	TRUE
SRR1170946	seed	B73	28DAP	1	TRUE
SRR1170947	seed	B73	30DAP	1	TRUE
SRR1170948	seed	B73	32DAP	1	TRUE
SRR1170949	seed	B73	34DAP	1	TRUE
SRR1170950	seed	B73	36DAP	1	TRUE
SRR1170951	seed	B73	38DAP	1	TRUE
SRR1170952	seed	B73	6DAP	1	TRUE
SRR1170953	seed	B73	26DAP	1	TRUE
SRR1170954	seed	B73	26DAP	2	TRUE
SRR1170972	embryo	B73	22DAP	1	TRUE
SRR1170973	embryo	B73	22DAP	2	TRUE
SRR1170974	embryo	B73	10DAP	1	TRUE
SRR1170979	embryo	B73	38DAP	1	TRUE
SRR1522119	seed	B73	14DAP	1	TRUE
SRR1522125	seed	B73	14DAP	2	TRUE
