SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR404131	seed_germ_24H	B73		1	FALSE
SRR404132	seed_germ_24H	B73		2	FALSE
SRR404139	seed_germ_24H	B73		3	FALSE
SRR404140	seed_germ_24H	B73		4	FALSE
SRR404141	root_primary_6DAS	B73		1	FALSE
SRR404142	root_primary_6DAS	B73		2	FALSE
SRR404143	root_primary_6DAS	B73		3	FALSE
SRR404144	root_primary_6DAS	B73		4	FALSE
SRR404145	stem_SAM_V3	B73		1	FALSE
SRR404146	stem_SAM_V3	B73		2	FALSE
SRR404147	stem_SAM_V3	B73		3	FALSE
SRR404148	stem_SAM_V3	B73		4	FALSE
SRR404149	leaf_tip_V5	B73		1	FALSE
SRR404150	leaf_tip_V5	B73		2	FALSE
SRR404152	leaf_tip_V5	B73		3	FALSE
SRR404153	leaf_tip_V5	B73		4	FALSE
SRR404154	leaf_8_V9	B73		1	FALSE
SRR404155	leaf_8_V9	B73		2	FALSE
SRR404156	leaf_8_V9	B73		3	FALSE
SRR404158	leaf_11_V9	B73		1	FALSE
SRR404159	leaf_11_V9	B73		2	FALSE
SRR404160	leaf_11_V9	B73		3	FALSE
SRR404161	leaf_13_V9	B73		1	FALSE
SRR404162	leaf_13_V9	B73		2	FALSE
SRR404163	leaf_13_V9	B73		3	FALSE
SRR404164	leaf_immature_V9	B73		1	FALSE
SRR404171	leaf_immature_V9	B73		2	FALSE
SRR404172	leaf_immature_V9	B73		3	FALSE
SRR404173	leaf_13_VT	B73		1	FALSE
SRR404174	leaf_13_VT	B73		2	FALSE
SRR404175	leaf_13_VT	B73		3	FALSE
SRR404176	leaf_13_R2	B73		1	FALSE
SRR404177	leaf_13_R2	B73		2	FALSE
SRR404178	leaf_13_R2	B73		3	FALSE
SRR404179	seed_10DAP	B73		1	FALSE
SRR404180	seed_10DAP	B73		2	FALSE
SRR404181	seed_10DAP	B73		3	FALSE
SRR404182	seed_12DAP	B73		1	FALSE
SRR404183	seed_12DAP	B73		2	FALSE
SRR404184	seed_12DAP	B73		3	FALSE
SRR404185	endosperm_12DAP	B73		1	FALSE
SRR404186	endosperm_12DAP	B73		2	FALSE
SRR404187	endosperm_12DAP	B73		3	FALSE
SRR404188	seed_14DAP	B73		1	FALSE
SRR404189	seed_14DAP	B73		2	FALSE
SRR404190	seed_14DAP	B73		3	FALSE
SRR404191	endosperm_14DAP	B73		1	FALSE
SRR404192	endosperm_14DAP	B73		2	FALSE
SRR404193	endosperm_14DAP	B73		3	FALSE
SRR404194	seed_16DAP	B73		1	FALSE
SRR404195	seed_16DAP	B73		2	FALSE
SRR404196	seed_16DAP	B73		3	FALSE
SRR404197	endosperm_16DAP	B73		1	FALSE
SRR404198	endosperm_16DAP	B73		2	FALSE
SRR404199	endosperm_16DAP	B73		3	FALSE
SRR404200	embryo_16DAP	B73		1	FALSE
SRR404202	embryo_16DAP	B73		2	FALSE
SRR404203	embryo_16DAP	B73		3	FALSE
