SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR445244	ear	B73		1	TRUE	27627435	202
SRR445245	root	B73		1	TRUE	24578513	202
SRR445382	shoot	B73		1	TRUE	22883336	202
SRR445383	tassel	B73		1	TRUE	22200068	202
SRR445384	ear	B97		1	TRUE	17236442	202
SRR445385	root	B97		1	TRUE	18888604	202
SRR445386	shoot	B97		1	TRUE	22522987	202
SRR445387	tassel	B97		1	TRUE	27514996	202
SRR445388	ear	CML103		1	TRUE	24803338	202
SRR445389	root	CML103		1	TRUE	20852030	202
SRR445390	shoot	CML103		1	TRUE	21294309	202
SRR445391	tassel	CML103		1	TRUE	24456729	202
SRR445392	ear	CML228		1	TRUE	24020810	202
SRR445393	root	CML228		1	TRUE	24668182	202
SRR445394	shoot	CML228		1	TRUE	24579677	202
SRR445395	tassel	CML228		1	TRUE	22889863	202
SRR445396	ear	CML277		1	TRUE	24582149	202
SRR445397	ear	CML247		1	TRUE	27966339	202
SRR445398	root	CML247		1	TRUE	22940590	202
SRR445399	shoot	CML247		1	TRUE	25676516	202
SRR445400	tassel	CML247		1	TRUE	27221661	202
SRR445401	root	CML277		1	TRUE	26345482	202
SRR445402	shoot	CML277		1	TRUE	22050267	202
SRR445403	tassel	CML277		1	TRUE	17428921	202
SRR445404	ear	CML322		1	TRUE	27323199	202
SRR445405	root	CML322		1	TRUE	19041708	202
SRR445406	shoot	CML322		1	TRUE	24653120	202
SRR445407	tassel	CML322		1	TRUE	22032014	202
SRR445408	ear	CML333		1	TRUE	23868746	202
SRR445409	root	CML333		1	TRUE	28115512	202
SRR445410	shoot	CML333		1	TRUE	23983820	202
SRR445411	tassel	CML333		1	TRUE	22625145	202
SRR445412	ear	CML52		1	TRUE	26955093	202
SRR445413	root	CML52		1	TRUE	23592404	202
SRR445414	shoot	CML52		1	TRUE	25415328	202
SRR445415	tassel	CML52		1	TRUE	25689751	202
SRR445416	ear	CML69		1	TRUE	24037418	202
SRR445417	root	CML69		1	TRUE	21168428	202
SRR445418	shoot	CML69		1	TRUE	25067194	202
SRR445419	tassel	CML69		1	TRUE	24018482	202
SRR445420	ear	Hp301		1	TRUE	25618348	202
SRR445421	root	Hp301		1	TRUE	20523309	202
SRR445422	shoot	Hp301		1	TRUE	22264201	202
SRR445423	tassel	Hp301		1	TRUE	22626052	202
SRR445424	ear	IL14H		1	TRUE	24066478	202
SRR445425	root	IL14H		1	TRUE	24658460	202
SRR445426	shoot	IL14H		1	TRUE	24051581	202
SRR445427	tassel	IL14H		1	TRUE	23405058	202
SRR445428	ear	Ki11		1	TRUE	24039230	202
SRR445429	root	Ki11		1	TRUE	25454593	202
SRR445431	shoot	Ki11		1	TRUE	26673941	202
SRR445432	tassel	Ki11		1	TRUE	24748728	202
SRR445433	ear	Ki3		1	TRUE	24579140	202
SRR445434	root	Ki3		1	TRUE	27636201	202
SRR445435	shoot	Ki3		1	TRUE	23443860	202
SRR445440	tassel	Ki3		1	TRUE	25453700	202
SRR445448	ear	Ky21		1	TRUE	24353756	202
SRR445452	root	Ky21		1	TRUE	23589792	202
SRR445457	shoot	Ky21		1	TRUE	25373950	202
SRR445462	tassel	Ky21		1	TRUE	26749278	202
SRR445530	ear	M162W		1	TRUE	24569743	202
SRR445531	root	M162W		1	TRUE	20809086	202
SRR445532	shoot	M162W		1	TRUE	23940801	202
SRR445533	tassel	M162W		1	TRUE	25647652	202
SRR445534	ear	M37W		1	TRUE	21414614	202
SRR445583	root	M37W		1	TRUE	23311597	202
SRR445600	shoot	M37W		1	TRUE	20710326	202
SRR445601	ear	M37W		2	TRUE	22322335	202
SRR445614	ear	Mo17		1	TRUE	24064998	202
SRR445616	root	Mo17		1	TRUE	25351284	202
SRR445617	shoot	Mo17		1	TRUE	23003502	202
SRR445618	tassel	Mo17		1	TRUE	23057320	202
SRR445619	ear	Mo18W		1	TRUE	17464800	202
SRR445620	root	Mo18W		1	TRUE	22907734	202
SRR445621	shoot	Mo18W		1	TRUE	22504628	202
SRR445622	tassel	Mo18W		1	TRUE	17072755	202
SRR445623	ear	Ms71		1	TRUE	12426326	202
SRR445624	root	Ms71		1	TRUE	33897489	202
SRR445625	shoot	Ms71		1	TRUE	32607887	202
SRR445626	ear	NC350		1	TRUE	22559475	202
SRR445627	root	NC350		1	TRUE	23070706	202
SRR445628	shoot	NC350		1	TRUE	21932975	202
SRR445629	tassel	NC350		1	TRUE	22477920	202
SRR445631	ear	NC358		1	TRUE	22769052	202
SRR445632	root	NC358		1	TRUE	19365927	202
SRR445636	shoot	NC358		1	TRUE	24543279	202
SRR445637	tassel	NC358		1	TRUE	22485912	202
SRR445638	ear	Oh43		1	TRUE	24194770	202
SRR445639	root	Oh43		1	TRUE	24209733	202
SRR445640	shoot	Oh43		1	TRUE	19874309	202
SRR445641	tassel	Oh43		1	TRUE	26231000	202
SRR445642	ear	Oh7B		1	TRUE	22775702	202
SRR445643	root	Oh7B		1	TRUE	21163483	202
SRR445644	shoot	Oh7B		1	TRUE	24296264	202
SRR445645	tassel	Oh7B		1	TRUE	24210482	202
SRR445646	ear	P39		1	TRUE	26768746	202
SRR445647	root	P39		1	TRUE	24201263	202
SRR445648	shoot	P39		1	TRUE	21994972	202
SRR445649	tassel	P39		1	TRUE	24928695	202
SRR445650	ear	Tx303		1	TRUE	24990568	202
SRR445651	root	Tx303		1	TRUE	21464884	202
SRR445652	shoot	Tx303		1	TRUE	27337955	202
SRR445653	tassel	Tx303		1	TRUE	22190496	202
SRR445654	ear	Tzi8		1	TRUE	25173205	202
SRR445655	root	Tzi8		1	TRUE	22374994	202
SRR445656	shoot	Tzi8		1	TRUE	24917876	202
SRR445657	tassel	Tzi8		1	TRUE	24212117	202
SRR424649	SAM	B73		1	FALSE	11244136	76
SRR424650	SAM	B73		2	FALSE	19430016	76
SRR424651	SAM	B97		1	FALSE	15894756	76
SRR424652	SAM	B97		2	FALSE	11405147	76
SRR424653	SAM	CML103		1	FALSE	9635859	76
SRR424654	SAM	CML103		2	FALSE	11563191	76
SRR424655	SAM	CML228		1	FALSE	7112976	76
SRR424656	SAM	CML228		2	FALSE	6420860	76
SRR424657	SAM	CML247		1	FALSE	12440546	76
SRR424658	SAM	CML247		2	FALSE	16865326	76
SRR424659	SAM	CML277		1	FALSE	14391271	76
SRR424660	SAM	CML277		2	FALSE	20049024	76
SRR424661	SAM	CML322		1	FALSE	11919167	76
SRR424662	SAM	CML322		2	FALSE	13466308	76
SRR424663	SAM	CML333		1	FALSE	10098161	76
SRR424664	SAM	CML333		2	FALSE	14569111	76
SRR424665	SAM	CML52		1	FALSE	13825312	76
SRR424666	SAM	CML52		2	FALSE	15578584	76
SRR424667	SAM	CML69		1	FALSE	11917380	76
SRR424668	SAM	CML69		2	FALSE	18114280	76
SRR426781	SAM	Hp301		1	FALSE	12064852	76
SRR426782	SAM	Hp301		2	FALSE	15273515	76
SRR426783	SAM	IL14H		1	FALSE	11196273	76
SRR426784	SAM	IL14H		2	FALSE	19224774	76
SRR426785	SAM	Ki11		1	FALSE	8984229	76
SRR426786	SAM	Ki11		2	FALSE	5182771	76
SRR426787	SAM	Ki3		1	FALSE	9872063	76
SRR426788	SAM	Ki3		2	FALSE	19436375	76
SRR426789	SAM	Ky21		1	FALSE	8246883	76
SRR426790	SAM	Ky21		2	FALSE	18077111	76
SRR426791	SAM	M162W		1	FALSE	7940514	76
SRR426792	SAM	M162W		2	FALSE	16708212	76
SRR426793	SAM	M37W		1	FALSE	6343081	76
SRR426798	SAM	M37W		2	FALSE	11113284	76
SRR426813	SAM	Mo17		1	FALSE	8472529	76
SRR426814	SAM	Mo17		2	FALSE	20310978	76
SRR426815	SAM	Mo18W		1	FALSE	10921728	76
SRR426816	SAM	Mo18W		2	FALSE	12327326	76
SRR426817	SAM	Ms71		1	FALSE	2827737	76
SRR426818	SAM	Ms71		2	FALSE	5567758	76
SRR426819	SAM	NC350		1	FALSE	6221764	76
SRR426820	SAM	NC350		2	FALSE	9878668	76
