SampleID	Tissue	Genotype	Treatment	Replicate	paired	r1	r2	spots	avgLength
s01	seedling_leaf3	B73		1	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep1_TTAGGC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep1_TTAGGC_L003_R2_001.fastq	50000000	102
s02	seedling_leaf3	B73		2	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep2_TGACCA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep2_TGACCA_L003_R2_001.fastq	50000000	102
s03	seedling_leaf3	B73		3	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep3_resubmit_GGCTAC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep3_resubmit_GGCTAC_L003_R2_001.fastq	50000000	102
s04	seedling_leaf3	B73		4	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep1_ATCACG_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep1_ATCACG_L003_R2_001.fastq	50000000	102
s05	seedling_leaf3	B73		5	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep2_CGATGT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep2_CGATGT_L003_R2_001.fastq	50000000	102
s06	seedling_leaf3	B73		6	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep3_resubmit_CTTGTA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep3_resubmit_CTTGTA_L003_R2_001.fastq	50000000	102
s07	seedling_leaf3	B73		7	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep1_resubmit_AGTCAA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep1_resubmit_AGTCAA_L003_R2_001.fastq	50000000	102
s08	seedling_leaf3	B73		8	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep2_ACAGTG_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep2_ACAGTG_L003_R2_001.fastq	50000000	102
s09	seedling_leaf3	B73		9	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep3_resubmit_AGTTCC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep3_resubmit_AGTTCC_L003_R2_001.fastq	50000000	102
s10	seedling_leaf3	B73xMo17		1	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L005_R2_001.fastq	50000000	102
s11	seedling_leaf3	B73xMo17		2	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L006_R2_001.fastq	50000000	102
s12	seedling_leaf3	B73xMo17		3	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L007_R2_001.fastq	50000000	102
s13	seedling_leaf3	B73xMo17		4	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep2_ACTGAT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep2_ACTGAT_L005_R2_001.fastq	50000000	102
s14	seedling_leaf3	B73xMo17		5	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep2_ACTGAT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep2_ACTGAT_L006_R2_001.fastq	50000000	102
s15	seedling_leaf3	B73xMo17		6	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep2_ACTGAT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep2_ACTGAT_L007_R2_001.fastq	50000000	102
s16	seedling_leaf3	B73xMo17		7	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep3_ATTCCT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep3_ATTCCT_L005_R2_001.fastq	50000000	102
s17	seedling_leaf3	B73xMo17		8	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep3_ATTCCT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep3_ATTCCT_L006_R2_001.fastq	50000000	102
s18	seedling_leaf3	B73xMo17		9	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep3_ATTCCT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep3_ATTCCT_L007_R2_001.fastq	50000000	102
s19	seedling_leaf3	B73xMo17		10	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep1_GTTTCG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep1_GTTTCG_L005_R2_001.fastq	50000000	102
s20	seedling_leaf3	B73xMo17		11	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep1_GTTTCG_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep1_GTTTCG_L006_R2_001.fastq	50000000	102
s21	seedling_leaf3	B73xMo17		12	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep1_GTTTCG_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep1_GTTTCG_L007_R2_001.fastq	50000000	102
s22	seedling_leaf3	B73xMo17		13	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep2_CGTACG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep2_CGTACG_L005_R2_001.fastq	50000000	102
s23	seedling_leaf3	B73xMo17		14	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep2_CGTACG_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep2_CGTACG_L006_R2_001.fastq	50000000	102
s24	seedling_leaf3	B73xMo17		15	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep2_CGTACG_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep2_CGTACG_L007_R2_001.fastq	50000000	102
s25	seedling_leaf3	B73xMo17		16	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep3_TTAGGC_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep3_TTAGGC_L005_R2_001.fastq	50000000	102
s26	seedling_leaf3	B73xMo17		17	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep3_TTAGGC_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep3_TTAGGC_L006_R2_001.fastq	50000000	102
s27	seedling_leaf3	B73xMo17		18	TRUE	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep3_TTAGGC_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_control_rep3_TTAGGC_L007_R2_001.fastq	50000000	102
