SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR2043190	root	B73	con	1	FALSE	8085432	88
SRR2043191	root	B73	con	2	FALSE	22252697	89
SRR2043217	root	B73	con	3	FALSE	30180272	89
SRR2043219	root	B73	con	4	FALSE	25459356	90
SRR2043220	root	B73	drought	1	FALSE	12832759	88
SRR2043226	root	B73	drought	2	FALSE	19119496	89
SRR2043227	root	B73	drought	3	FALSE	23522007	88
SRR2043228	root	B73	drought	4	FALSE	23629579	90
SRR2043231	root	Mo17	con	1	FALSE	25510816	90
SRR2043331	root	Mo17	con	2	FALSE	47712454	90
SRR2043332	root	Mo17	con	3	FALSE	21797918	89
SRR2043336	root	Mo17	con	4	FALSE	16207101	88
SRR2043349	root	Mo17	drought	1	FALSE	26595536	89
SRR2043361	root	Mo17	drought	2	FALSE	20519875	89
SRR2043375	root	Mo17	drought	3	FALSE	15943346	88
SRR2043376	root	Mo17	drought	4	FALSE	35003386	90
SRR2043377	root	B73xMo17	con	1	FALSE	20020741	90
SRR2043378	root	B73xMo17	con	2	FALSE	38101382	90
SRR2043379	root	B73xMo17	con	3	FALSE	36301348	90
SRR2043380	root	B73xMo17	con	4	FALSE	29114503	88
SRR2043381	root	B73xMo17	drought	1	FALSE	30529098	89
SRR2043382	root	B73xMo17	drought	2	FALSE	20047868	90
SRR2043383	root	B73xMo17	drought	3	FALSE	15611343	88
SRR2043384	root	B73xMo17	drought	4	FALSE	36086599	90
SRR2043386	root	Mo17xB73	con	1	FALSE	24528086	90
SRR2043387	root	Mo17xB73	con	2	FALSE	36593846	90
SRR2043388	root	Mo17xB73	con	3	FALSE	23173809	91
SRR2043389	root	Mo17xB73	con	4	FALSE	16845158	88
SRR2043390	root	Mo17xB73	drought	1	FALSE	19716300	89
SRR2043391	root	Mo17xB73	drought	2	FALSE	24501823	90
SRR2043392	root	Mo17xB73	drought	3	FALSE	10448405	88
SRR2043393	root	Mo17xB73	drought	4	FALSE	30966840	90
