SampleID	Tissue	Genotype	Treatment	Replicate	paired
GH001	seedling_v2	GH001	NA	1	FALSE
GH002	seedling_v2	GH002	NA	1	FALSE
GH003	seedling_v2	GH003	NA	1	FALSE
GH004	seedling_v2	GH004	NA	1	FALSE
GH005	seedling_v2	GH005	NA	1	FALSE
GH006	seedling_v2	GH006	NA	1	FALSE
GH008	seedling_v2	GH008	NA	1	FALSE
GH010	seedling_v2	GH010	NA	1	FALSE
GH012	seedling_v2	GH012	NA	1	FALSE
GH013	seedling_v2	GH013	NA	1	FALSE
GH014	seedling_v2	GH014	NA	1	FALSE
GH016	seedling_v2	GH016	NA	1	FALSE
GH017	seedling_v2	GH017	NA	1	FALSE
GH018	seedling_v2	GH018	NA	1	FALSE
GH020	seedling_v2	GH020	NA	1	FALSE
GH021	seedling_v2	GH021	NA	1	FALSE
GH022	seedling_v2	GH022	NA	1	FALSE
GH024	seedling_v2	GH024	NA	1	FALSE
GH027	seedling_v2	GH027	NA	1	FALSE
GH028	seedling_v2	GH028	NA	1	FALSE
GH030	seedling_v2	GH030	NA	1	FALSE
GH032	seedling_v2	GH032	NA	1	FALSE
GH033	seedling_v2	GH033	NA	1	FALSE
GH034	seedling_v2	GH034	NA	1	FALSE
GH035	seedling_v2	GH035	NA	1	FALSE
GH036	seedling_v2	GH036	NA	1	FALSE
GH037	seedling_v2	GH037	NA	1	FALSE
GH038	seedling_v2	GH038	NA	1	FALSE
GH039	seedling_v2	GH039	NA	1	FALSE
GH040	seedling_v2	GH040	NA	1	FALSE
GH043	seedling_v2	GH043	NA	1	FALSE
GH046	seedling_v2	GH046	NA	1	FALSE
GH048	seedling_v2	GH048	NA	1	FALSE
GH050	seedling_v2	GH050	NA	1	FALSE
GH051	seedling_v2	GH051	NA	1	FALSE
GH052	seedling_v2	GH052	NA	1	FALSE
GH054	seedling_v2	GH054	NA	1	FALSE
GH056	seedling_v2	GH056	NA	1	FALSE
GH057	seedling_v2	GH057	NA	1	FALSE
GH059	seedling_v2	GH059	NA	1	FALSE
GH060	seedling_v2	GH060	NA	1	FALSE
GH062	seedling_v2	GH062	NA	1	FALSE
GH064	seedling_v2	GH064	NA	1	FALSE
GH065	seedling_v2	GH065	NA	1	FALSE
GH066	seedling_v2	GH066	NA	1	FALSE
GH069	seedling_v2	GH069	NA	1	FALSE
GH070	seedling_v2	GH070	NA	1	FALSE
GH071	seedling_v2	GH071	NA	1	FALSE
GH072	seedling_v2	GH072	NA	1	FALSE
GH077	seedling_v2	GH077	NA	1	FALSE
GH078	seedling_v2	GH078	NA	1	FALSE
GH079	seedling_v2	GH079	NA	1	FALSE
GH081	seedling_v2	GH081	NA	1	FALSE
GH082	seedling_v2	GH082	NA	1	FALSE
GH083	seedling_v2	GH083	NA	1	FALSE
GH084	seedling_v2	GH084	NA	1	FALSE
GH087	seedling_v2	GH087	NA	1	FALSE
GH090	seedling_v2	GH090	NA	1	FALSE
GH092	seedling_v2	GH092	NA	1	FALSE
GH093	seedling_v2	GH093	NA	1	FALSE
GH094	seedling_v2	GH094	NA	1	FALSE
GH095	seedling_v2	GH095	NA	1	FALSE
GH096	seedling_v2	GH096	NA	1	FALSE
GH097	seedling_v2	GH097	NA	1	FALSE
GH099	seedling_v2	GH099	NA	1	FALSE
GH102	seedling_v2	GH102	NA	1	FALSE
GH103	seedling_v2	GH103	NA	1	FALSE
GH106	seedling_v2	GH106	NA	1	FALSE
GH107	seedling_v2	GH107	NA	1	FALSE
GH108	seedling_v2	GH108	NA	1	FALSE
GH109	seedling_v2	GH109	NA	1	FALSE
GH110	seedling_v2	GH110	NA	1	FALSE
GH111	seedling_v2	GH111	NA	1	FALSE
GH112	seedling_v2	GH112	NA	1	FALSE
GH113	seedling_v2	GH113	NA	1	FALSE
GH114	seedling_v2	GH114	NA	1	FALSE
GH115	seedling_v2	GH115	NA	1	FALSE
GH117	seedling_v2	GH117	NA	1	FALSE
GH118	seedling_v2	GH118	NA	1	FALSE
GH119	seedling_v2	GH119	NA	1	FALSE
GH120	seedling_v2	GH120	NA	1	FALSE
GH121	seedling_v2	GH121	NA	1	FALSE
GH122	seedling_v2	GH122	NA	1	FALSE
GH125	seedling_v2	GH125	NA	1	FALSE
GH127	seedling_v2	GH127	NA	1	FALSE
GH130	seedling_v2	GH130	NA	1	FALSE
GH133	seedling_v2	GH133	NA	1	FALSE
GH134	seedling_v2	GH134	NA	1	FALSE
GH135	seedling_v2	GH135	NA	1	FALSE
GH136	seedling_v2	GH136	NA	1	FALSE
GH140	seedling_v2	GH140	NA	1	FALSE
GH141	seedling_v2	GH141	NA	1	FALSE
GH143	seedling_v2	GH143	NA	1	FALSE
GH145	seedling_v2	GH145	NA	1	FALSE
GH148	seedling_v2	GH148	NA	1	FALSE
GH152	seedling_v2	GH152	NA	1	FALSE
GH153	seedling_v2	GH153	NA	1	FALSE
GH154	seedling_v2	GH154	NA	1	FALSE
GH155	seedling_v2	GH155	NA	1	FALSE
GH157	seedling_v2	GH157	NA	1	FALSE
GH160	seedling_v2	GH160	NA	1	FALSE
GH161	seedling_v2	GH161	NA	1	FALSE
GH162	seedling_v2	GH162	NA	1	FALSE
GH164	seedling_v2	GH164	NA	1	FALSE
GH165	seedling_v2	GH165	NA	1	FALSE
GH167	seedling_v2	GH167	NA	1	FALSE
GH168	seedling_v2	GH168	NA	1	FALSE
GH170	seedling_v2	GH170	NA	1	FALSE
GH171	seedling_v2	GH171	NA	1	FALSE
GH172	seedling_v2	GH172	NA	1	FALSE
GH173	seedling_v2	GH173	NA	1	FALSE
GH174	seedling_v2	GH174	NA	1	FALSE
GH176	seedling_v2	GH176	NA	1	FALSE
GH177	seedling_v2	GH177	NA	1	FALSE
GH180	seedling_v2	GH180	NA	1	FALSE
GH182	seedling_v2	GH182	NA	1	FALSE
GH183	seedling_v2	GH183	NA	1	FALSE
GH186	seedling_v2	GH186	NA	1	FALSE
GH187	seedling_v2	GH187	NA	1	FALSE
GH188	seedling_v2	GH188	NA	1	FALSE
GH189	seedling_v2	GH189	NA	1	FALSE
GH193	seedling_v2	GH193	NA	1	FALSE
GH194	seedling_v2	GH194	NA	1	FALSE
GH197	seedling_v2	GH197	NA	1	FALSE
GH198	seedling_v2	GH198	NA	1	FALSE
GH200	seedling_v2	GH200	NA	1	FALSE
GH202	seedling_v2	GH202	NA	1	FALSE
GH203	seedling_v2	GH203	NA	1	FALSE
GH204	seedling_v2	GH204	NA	1	FALSE
GH205	seedling_v2	GH205	NA	1	FALSE
GH206	seedling_v2	GH206	NA	1	FALSE
GH207	seedling_v2	GH207	NA	1	FALSE
GH208	seedling_v2	GH208	NA	1	FALSE
GH210	seedling_v2	GH210	NA	1	FALSE
GH211	seedling_v2	GH211	NA	1	FALSE
GH213	seedling_v2	GH213	NA	1	FALSE
GH214	seedling_v2	GH214	NA	1	FALSE
GH216	seedling_v2	GH216	NA	1	FALSE
GH218	seedling_v2	GH218	NA	1	FALSE
GH219	seedling_v2	GH219	NA	1	FALSE
GH220	seedling_v2	GH220	NA	1	FALSE
GH221	seedling_v2	GH221	NA	1	FALSE
GH224	seedling_v2	GH224	NA	1	FALSE
GH225	seedling_v2	GH225	NA	1	FALSE
GH226	seedling_v2	GH226	NA	1	FALSE
