SampleID	Tissue	Genotype	Treatment	Replicate	paired	inbred
SRR5691388	leaf	PHN11	S	1	FALSE	TRUE
SRR5691477	leaf	PHN11	S	2	TRUE	TRUE
SRR7477329	leaf	W10007_0016		1	TRUE	TRUE
SRR7477330	leaf	PHEM9		1	TRUE	TRUE
SRR7477331	leaf	W10002_0001		1	TRUE	TRUE
SRR7477332	leaf	LH284		1	TRUE	TRUE
SRR7477333	leaf	Oh3167B		1	TRUE	TRUE
SRR7477334	leaf	W10001_0040		1	TRUE	TRUE
SRR7477335	leaf	LH250		1	TRUE	TRUE
SRR7477336	leaf	NP899		1	TRUE	TRUE
SRR7477337	leaf	PHR61		1	TRUE	TRUE
SRR7477338	leaf	NP901		1	TRUE	TRUE
SRR7477339	leaf	PHTD5		1	TRUE	TRUE
SRR7477340	leaf	LH189Ht		1	TRUE	TRUE
SRR7477341	leaf	W10001_0047		1	TRUE	TRUE
SRR7477342	leaf	PHKM5		1	TRUE	TRUE
SRR7477343	leaf	LH186		1	TRUE	TRUE
SRR7477344	leaf	LH219		1	TRUE	TRUE
SRR7477345	leaf	W616S		1	TRUE	TRUE
SRR7477346	leaf	BCC03		1	TRUE	TRUE
SRR7477347	leaf	WD456		1	TRUE	TRUE
SRR7477348	leaf	PHK46		1	TRUE	TRUE
SRR7477349	leaf	LH175		1	TRUE	TRUE
SRR7477350	leaf	W10001-0022		1	TRUE	TRUE
SRR7477351	leaf	PHTE4		1	TRUE	TRUE
SRR7477352	leaf	Mo18W		1	TRUE	TRUE
SRR7477353	leaf	W10001_0003		1	TRUE	TRUE
SRR7477354	leaf	W10001_0018		1	TRUE	TRUE
SRR7477355	leaf	Fe		1	TRUE	TRUE
SRR7477356	leaf	W10002_0004		1	TRUE	TRUE
SRR7477357	leaf	LH169Ht		1	TRUE	TRUE
SRR7477358	leaf	W10001_0007		1	TRUE	TRUE
SRR7477359	leaf	W615S		1	TRUE	TRUE
SRR7477360	leaf	ND287		1	TRUE	TRUE
SRR7477361	leaf	LH200		1	TRUE	TRUE
SRR7477362	leaf	PHAA0		1	TRUE	TRUE
SRR7477363	leaf	Mo13		1	TRUE	TRUE
SRR7477364	leaf	PHP38		1	TRUE	TRUE
SRR7477365	leaf	AM0776		1	TRUE	TRUE
SRR7477366	leaf	PHEW7		1	TRUE	TRUE
SRR7477367	leaf	PHN11-PHG47-071		1	TRUE	TRUE
SRR7477368	leaf	PH5HK		1	TRUE	TRUE
SRR7477369	leaf	W10001_0030		1	TRUE	TRUE
SRR7477370	leaf	LH167		1	TRUE	TRUE
SRR7477371	leaf	W10001_0012		1	TRUE	TRUE
SRR7477372	leaf	W10001_0031		1	TRUE	TRUE
SRR7477373	leaf	LH217		1	TRUE	TRUE
SRR7477374	leaf	Tr9-1-1-6		1	TRUE	TRUE
SRR7477375	leaf	B73-1		1	TRUE	TRUE
SRR7477376	leaf	OQ601		1	TRUE	TRUE
SRR7477377	leaf	ZS1791		1	TRUE	TRUE
SRR7477378	leaf	PHFA5		1	TRUE	TRUE
SRR7477379	leaf	W10001_0010		1	TRUE	TRUE
SRR7477380	leaf	LH299		1	TRUE	TRUE
SRR7477381	leaf	LH218		1	TRUE	TRUE
SRR7477382	leaf	LH231		1	TRUE	TRUE
SRR7477383	leaf	LH188		1	TRUE	TRUE
SRR7477384	leaf	W10001_0009		1	TRUE	TRUE
SRR7477385	leaf	I224		1	TRUE	TRUE
SRR7477386	leaf	PHMK0		1	TRUE	TRUE
SRR7477387	leaf	PHT11		1	TRUE	TRUE
SRR7477388	leaf	PHHB9-1		1	TRUE	TRUE
SRR7477389	leaf	AH83		1	TRUE	TRUE
SRR7477390	leaf	LE23		1	TRUE	TRUE
SRR7477391	leaf	PHWRZ		1	TRUE	TRUE
SRR7477392	leaf	I11.12E		1	TRUE	TRUE
SRR7477393	leaf	B2		1	TRUE	TRUE
SRR7477394	leaf	LH252		1	TRUE	TRUE
SRR7477395	leaf	PHN18		1	TRUE	TRUE
SRR7477396	leaf	W10001-0016		1	TRUE	TRUE
SRR7477397	leaf	LH260		1	TRUE	TRUE
SRR7477398	leaf	A3G-3-3-1-313		1	TRUE	TRUE
SRR7477399	leaf	PHW06		1	TRUE	TRUE
SRR7477400	leaf	PHDD6		1	TRUE	TRUE
SRR7477401	leaf	PHW65-MoG-242		1	TRUE	TRUE
SRR7477402	leaf	LH168		1	TRUE	TRUE
SRR7477403	leaf	FBLL		1	TRUE	TRUE
SRR7477404	leaf	PHW65-MoG-115		1	TRUE	TRUE
SRR7477405	leaf	LH225		1	TRUE	TRUE
SRR7477406	leaf	PHHB4-1		1	TRUE	TRUE
SRR7975329	leaf	NK807		1	TRUE	TRUE
SRR7975330	leaf	NQ402		1	TRUE	TRUE
SRR7975331	leaf	91BMA2		1	TRUE	TRUE
SRR7975332	leaf	F274		1	TRUE	TRUE
SRR7975333	leaf	NK778		1	TRUE	TRUE
SRR7975334	leaf	8M116		1	TRUE	TRUE
SRR7975335	leaf	NC362		1	TRUE	TRUE
SRR7975336	leaf	NC364		1	TRUE	TRUE
SRR7975337	leaf	OQ603		1	TRUE	TRUE
SRR7975338	leaf	NC222		1	TRUE	TRUE
SRR7975339	leaf	PHBA6		1	TRUE	TRUE
SRR7975340	leaf	Pa875		1	TRUE	TRUE
SRR7975341	leaf	PHG71		1	TRUE	TRUE
