SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0
A01	leaf_2	B73	day9_11am_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A01.fq.gz
A02	leaf_2	B73	day10_4pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A02.fq.gz
A03	leaf_2	B73	day9_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A03.fq.gz
A04	leaf_2	B73	day11_11am_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A04.fq.gz
A05	leaf_2	B73	day12_4pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A05.fq.gz
A06	leaf_2	B73	day15_4pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A06.fq.gz
A07	leaf_3	B73	day15_4pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A07.fq.gz
A08	leaf_2	B73	day9_11am_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/A08.fq.gz
A09	leaf_2	B73	day11_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A09.fq.gz
A10	leaf_2	B73	day11_11am_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A10.fq.gz
A11	leaf_2	B73	day11_4pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/A11.fq.gz
A12	leaf_2	B73	day9_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/A12.fq.gz
B01	leaf_2	B73	day9_11am_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/B01.fq.gz
B02	leaf_2	B73	day10_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/B02.fq.gz
B03	leaf_2	B73	day9_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/B03.fq.gz
B04	leaf_2	B73	day11_11am_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/B04.fq.gz
B05	leaf_2	B73	day11_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/B05.fq.gz
B06	leaf_2	B73	day15_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/B06.fq.gz
B07	leaf_3	B73	day15_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/B07.fq.gz
