SampleID	Tissue	Genotype	Treatment	Replicate	paired
me16b_SRR1619633	leaf	B73	6DAP_pol	1	FALSE
me16b_SRR1619634	leaf	B73	6DAP_pol	2	FALSE
me16b_SRR1619635	leaf	B73	6DAP_nopol	1	FALSE
me16b_SRR1619636	leaf	B73	12DAP_pol	1	FALSE
me16b_SRR1619637	leaf	B73	12DAP_pol	2	FALSE
me16b_SRR1619638	leaf	B73	12DAP_nopol	1	FALSE
me16b_SRR1619659	leaf	B73	12DAP_nopol	2	FALSE
me16b_SRR1619660	leaf	B73	18DAP_pol	1	FALSE
me16b_SRR1619661	leaf	B73	18DAP_pol	2	FALSE
me16b_SRR1619662	leaf	B73	18DAP_nopol	1	FALSE
me16b_SRR1619663	leaf	B73	18DAP_nopol	2	FALSE
me16b_SRR1619664	leaf	B73	24DAP_pol	1	FALSE
me16b_SRR1619665	leaf	B73	24DAP_nopol	1	FALSE
me16b_SRR1619666	leaf	B73	24DAP_nopol	2	FALSE
me16b_SRR1619667	leaf	B73	30DAP_pol	1	FALSE
me16b_SRR1619668	leaf	B73	30DAP_pol	2	FALSE
me16b_SRR1619669	leaf	B73	0DAP_pol	1	FALSE
me16b_SRR1619670	leaf	B73	0DAP_pol	2	FALSE
me16b_SRR1619671	leaf	B73	0DAP_nopol	1	FALSE
me16b_SRR1619674	leaf	B73	0DAP_nopol	2	FALSE
me16b_SRR1620828	internode	B73	6DAP_pol	1	TRUE
me16b_SRR1620830	internode	B73	6DAP_pol	2	TRUE
me16b_SRR1620835	internode	B73	6DAP_nopol	1	TRUE
me16b_SRR1620836	internode	B73	6DAP_nopol	2	TRUE
me16b_SRR1620837	internode	B73	6DAP_nopol	3	TRUE
me16b_SRR1620838	internode	B73	12DAP_pol	1	TRUE
me16b_SRR1620839	internode	B73	12DAP_pol	2	TRUE
me16b_SRR1620841	internode	B73	12DAP_nopol	1	TRUE
me16b_SRR1620843	internode	B73	0DAP_pol	1	TRUE
me16b_SRR1620844	internode	B73	12DAP_nopol	2	TRUE
me16b_SRR1620846	internode	B73	18DAP_pol	1	TRUE
me16b_SRR1620847	internode	B73	18DAP_pol	2	TRUE
