SampleID	Tissue	Genotype	Treatment	Replicate	paired	picked	spots	avgLength
s01	root	B73	2015	1	FALSE	N	7226801	49.1370022503733
s02	root	B73	2015	2	FALSE	N	5663024	49.1166899522234
s03	shoot	B73	2015	1	FALSE	N	11111236	49.11876563507426
s04	shoot	B73	2015	2	FALSE	N	7062416	49.02443738799867
s05	root	LH143	2015	1	FALSE	N	13697357	49.05657171671878
s06	root	LH143	2015	2	FALSE	N	11925108	49.008557322919
s07	shoot	LH143	2015	1	FALSE	N	9871904	48.798118073271375
s08	shoot	LH143	2015	2	FALSE	N	16304719	48.974331419020466
s09	root	B73		1	FALSE	N	20936567	101
s10	root	B73		2	FALSE	N	14707271	101
s11	root	B73		3	FALSE	N	17685126	101
s12	shoot	B73		1	FALSE	Y	10886920	101
s13	shoot	B73		2	FALSE	N	9878541	101
s14	shoot	B73		3	FALSE	Y	6924845	101
s15	shoot	B73		4	FALSE	Y	9780343	101
s16	root	LH143		1	FALSE	Y	16748850	101
s17	root	LH143		2	FALSE	Y	14428886	101
s18	root	LH143		3	FALSE	Y	22244212	101
s19	shoot	LH143		1	FALSE	Y	19937007	101
s20	shoot	LH143		2	FALSE	Y	13973479	101
s21	shoot	LH143		3	FALSE	Y	10702516	101
s22	root	B73xLH143		1	FALSE	N	23109668	101
s23	root	B73xLH143		2	FALSE	Y	23505619	101
s24	root	B73xLH143		3	FALSE	Y	12036826	101
s25	root	B73xLH143		4	FALSE	Y	13679675	101
s26	shoot	B73xLH143		1	FALSE	Y	13253813	101
s27	shoot	B73xLH143		2	FALSE	Y	11488021	101
s28	shoot	B73xLH143		3	FALSE	Y	11324712	101
s29	shoot	LH143	cold_control	1	FALSE	N	15242013	101
s30	shoot	LH143	cold_control	2	FALSE	N	17948118	101
s31	shoot	LH143	cold_control	3	FALSE	N	16489597	101
s32	root	LH143	cold	1	FALSE	Y	13989629	101
s33	root	LH143	cold	2	FALSE	Y	21579816	101
s34	root	LH143	cold	3	FALSE	Y	18861200	101
s35	shoot	B73	cold_control	1	FALSE	N	18863198	101
s36	shoot	B73	cold_control	2	FALSE	N	14639620	101
s37	shoot	B73	cold_control	3	FALSE	N	11140510	101
s38	root	B73	cold_control	1	FALSE	N	17680920	101
s39	root	B73	cold_control	2	FALSE	N	14928287	101
s40	root	B73	cold_control	3	FALSE	N	31337377	101
s41	root	B73	cold	1	FALSE	N	14451595	101
s42	root	B73	cold	2	FALSE	N	15676702	101
s43	root	B73	cold	3	FALSE	N	21896120	101
s44	shoot	B73	cold	1	FALSE	N	14125832	101
s45	shoot	B73	cold	2	FALSE	N	15789382	101
s46	shoot	B73	cold	3	FALSE	N	19109488	101
s47	shoot	LH143	cold	1	FALSE	N	17099776	101
s48	shoot	LH143	cold	2	FALSE	N	14262343	101
s49	shoot	LH143	cold	3	FALSE	N	3033549	101
s50	root	LH143	cold_control	1	FALSE	N	11549924	101
s51	root	LH143	cold_control	2	FALSE	N	10174346	101
s52	root	LH143	cold_control	3	FALSE	N	7793938	101
s53	shoot	B73	drought	1	FALSE	N	5177231	101
s54	shoot	B73	drought	2	FALSE	N	5909711	101
s55	shoot	LH143	drought	1	FALSE	N	5493035	101
s56	shoot	LH143	drought	2	FALSE	N	4768383	101
s57	shoot	LH143	drought	3	FALSE	N	7050652	101
s58	shoot	LH143	drought_control	1	FALSE	N	4486790	101
s59	shoot	LH143	drought_control	2	FALSE	N	5517448	101
s60	shoot	B73	drought_control	1	FALSE	N	4574663	101
s61	root	B73	drought	1	FALSE	N	7471220	101
s62	shoot	B73	AMG	1	FALSE	N	3593659	101
s63	husk	B73	Maike	1	FALSE	Y	19228431	51
s64	husk	B73	Maike	2	FALSE	Y	34968868	51
s65	husk	B73	Maike	3	FALSE	Y	21289156	51
s66	stem	B73	Maike	1	FALSE	Y	34591156	51
s67	stem	B73	Maike	2	FALSE	Y	36521828	51
s68	stem	B73	Maike	3	FALSE	Y	17745813	51
