SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR503424	silk	p1		1	m1	FALSE	7864639	72
SRR503425	silk	WT		1	m2	FALSE	6865542	72
SRR503426	pericarp_14DAP	p1		1	m3	FALSE	1701627	29
SRR503427	pericarp_14DAP	p1		2	m3	FALSE	2565014	29
SRR503428	pericarp_25DAP	p1		2	m4	FALSE	1753682	29
SRR503429	pericarp_25DAP	p1		1	m4	FALSE	3447604	29
SRR503430	pericarp_14DAP	WT		1	m5	FALSE	2091785	29
SRR503431	pericarp_14DAP	WT		2	m5	FALSE	3363490	29
SRR503432	pericarp_25DAP	WT	P1	1	m6	FALSE	1900020	29
SRR503433	pericarp_25DAP	WT		1	m7	FALSE	2410122	29
