SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR516201	SAM	M0001		1	m001	FALSE	28337804	110
SRR516795	SAM	M0005		1	m002	FALSE	32660449	110
SRR516796	SAM	M0007		1	m003	FALSE	34673395	110
SRR516797	SAM	M0008		1	m004	FALSE	43740590	110
SRR516798	SAM	M0010		1	m005	FALSE	31515426	110
SRR516810	SAM	M0012		1	m006	FALSE	30826314	110
SRR516812	SAM	M0014		1	m007	FALSE	30199676	110
SRR516813	SAM	M0015		1	m008	FALSE	30270076	110
SRR516814	SAM	M0016		1	m009	FALSE	32749225	110
SRR516815	SAM	M0017		1	m010	FALSE	43494775	110
SRR516816	SAM	M0021		1	m011	FALSE	28656926	110
SRR516817	SAM	M0022		1	m012	FALSE	31164767	110
SRR516818	SAM	M0023		1	m013	FALSE	28104670	110
SRR611202	SAM	M0024		1	m014	FALSE	30189262	110
SRR611203	SAM	M0025		1	m015	FALSE	28546030	110
SRR611204	SAM	M0026		1	m016	FALSE	35048089	103
SRR611205	SAM	M0028		1	m017	FALSE	29074990	110
SRR611206	SAM	M0029		1	m018	FALSE	29927445	110
SRR611207	SAM	M0030		1	m019	FALSE	33253038	110
SRR611208	SAM	M0031		1	m020	FALSE	36075313	110
SRR611209	SAM	M0032		1	m021	FALSE	22735418	103
SRR611210	SAM	M0035		1	m022	FALSE	34753744	110
SRR611211	SAM	M0039		1	m023	FALSE	28682492	110
SRR611212	SAM	M0040		1	m024	FALSE	25994819	110
SRR611213	SAM	M0046		1	m025	FALSE	27514134	110
SRR611214	SAM	M0048		1	m026	FALSE	34855920	110
SRR611215	SAM	M0051		1	m027	FALSE	30430264	110
SRR611216	SAM	M0052		1	m028	FALSE	35930496	110
SRR611217	SAM	M0054		1	m029	FALSE	37139662	110
SRR611218	SAM	M0056		1	m030	FALSE	33582941	103
SRR611219	SAM	M0057		1	m031	FALSE	31182054	110
SRR611220	SAM	M0058		1	m032	FALSE	34105133	110
SRR611221	SAM	M0060		1	m033	FALSE	38204012	110
SRR611243	SAM	M0061		1	m034	FALSE	32655208	110
SRR611246	SAM	M0062		1	m035	FALSE	23998541	110
SRR611247	SAM	M0063		1	m036	FALSE	38649604	110
SRR611252	SAM	M0066		1	m037	FALSE	30770642	110
SRR611253	SAM	M0067		1	m038	FALSE	31111651	110
SRR611259	SAM	M0074		1	m039	FALSE	32966908	110
SRR611262	SAM	M0075		1	m040	FALSE	30719696	110
SRR611264	SAM	M0077		1	m041	FALSE	27858032	110
SRR611265	SAM	M0079		1	m042	FALSE	32254764	110
SRR611266	SAM	M0080		1	m043	FALSE	37502973	103
SRR611268	SAM	M0099		1	m044	FALSE	29118738	103
SRR611269	SAM	M0116		1	m045	FALSE	32653483	110
SRR611270	SAM	M0141		1	m046	FALSE	42882688	103
SRR611271	SAM	M0176		1	m047	FALSE	37047290	103
SRR611272	SAM	M0200		1	m048	FALSE	21922252	103
SRR611273	SAM	M0232		1	m049	FALSE	30566974	103
