SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR924069		B73xMo17	0	1	m01	TRUE	31158866	180
SRR924070		Mo17xB73	0	1	m02	TRUE	34071461	180
SRR924071		B73xMo17	3	1	m03	TRUE	27316556	180
SRR924072		Mo17xB73	3	1	m04	TRUE	32104881	180
SRR924073		B73xMo17	5	1	m05	TRUE	32166506	180
SRR924074		Mo17xB73	5	1	m06	TRUE	32066711	180
SRR924075		B73xMo17	7	1	m07	TRUE	33551580	180
SRR924076		Mo17xB73	7	1	m08	TRUE	33878691	180
SRR924077		B73xMo17	10	1	m09	TRUE	28263922	180
SRR924078		Mo17xB73	10	1	m10	TRUE	34453871	180
SRR924079		B73xMo17	15	1	m11	TRUE	28161571	180
SRR924080		Mo17xB73	15	1	m12	TRUE	32107569	180
