SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR242505	seedling	B73		1	m1	TRUE	20182523	160
SRR248565	seedling	B73		2	m1	TRUE	32460408	160
SRR250415	seedling	B73		3	m1	TRUE	14127449	160
SRR250416	pollen	B73		1	m2	TRUE	24885231	160
SRR252662	pollen	B73		2	m2	TRUE	38147844	160
SRR254169	embryo	B73	sac	1	m3	TRUE	14847590	160
SRR254170	embryo	B73	sac	2	m3	TRUE	16741404	160
SRR254171	ovule	B73		1	m4	TRUE	42323839	160
SRR254172	ovule	B73		2	m4	TRUE	38345755	160
SRR254175	ovule	B73		3	m4	TRUE	18305557	160
SRR254176	embryo	B73	sac	3	m3	TRUE	17853952	160
SRR255405	pollen	B73		3	m2	TRUE	37064206	160
