SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR2043190	root	B73	con	1	m1	FALSE	8085432	87.59212000051451
SRR2043191	root	B73	con	2	m1	FALSE	22252697	89.01361933791665
SRR2043217	root	B73	con	3	m1	FALSE	30180272	88.71896104846239
SRR2043219	root	B73	con	4	m1	FALSE	25459356	89.82010723287738
SRR2043220	root	B73	drought	1	m2	FALSE	12832759	87.30109105921805
SRR2043226	root	B73	drought	2	m2	FALSE	19119496	88.9177176009242
SRR2043227	root	B73	drought	3	m2	FALSE	23522007	87.78694071471027
SRR2043228	root	B73	drought	4	m2	FALSE	23629579	89.64359458118149
SRR2043231	root	Mo17	con	1	m3	FALSE	25510816	89.74918426756713
SRR2043331	root	Mo17	con	2	m3	FALSE	47712454	90.12427765715006
SRR2043332	root	Mo17	con	3	m3	FALSE	21797918	89.05004578877671
SRR2043336	root	Mo17	con	4	m3	FALSE	16207101	87.86704766015835
SRR2043349	root	Mo17	drought	1	m4	FALSE	26595536	88.95099561069196
SRR2043361	root	Mo17	drought	2	m4	FALSE	20519875	88.96428170249575
SRR2043375	root	Mo17	drought	3	m4	FALSE	15943346	87.69773684896508
SRR2043376	root	Mo17	drought	4	m4	FALSE	35003386	89.55872720427675
SRR2043377	root	B73xMo17	con	1	m5	FALSE	20020741	89.83123951306298
SRR2043378	root	B73xMo17	con	2	m5	FALSE	38101382	89.88182722610954
SRR2043379	root	B73xMo17	con	3	m5	FALSE	36301348	89.56565023425577
SRR2043380	root	B73xMo17	con	4	m5	FALSE	29114503	87.89378139135674
SRR2043381	root	B73xMo17	drought	1	m6	FALSE	30529098	89.03616647959923
SRR2043382	root	B73xMo17	drought	2	m6	FALSE	20047868	89.7732856182014
SRR2043383	root	B73xMo17	drought	3	m6	FALSE	15611343	88.07679736458292
SRR2043384	root	B73xMo17	drought	4	m6	FALSE	36086599	89.76892707456305
SRR2043386	root	Mo17xB73	con	1	m7	FALSE	24528086	89.43058060054095
SRR2043387	root	Mo17xB73	con	2	m7	FALSE	36593846	89.77160826440598
SRR2043388	root	Mo17xB73	con	3	m7	FALSE	23173809	90.76558385373764
SRR2043389	root	Mo17xB73	con	4	m7	FALSE	16845158	87.8816398160231
SRR2043390	root	Mo17xB73	drought	1	m8	FALSE	19716300	88.5136812687979
SRR2043391	root	Mo17xB73	drought	2	m8	FALSE	24501823	89.56529340694364
SRR2043392	root	Mo17xB73	drought	3	m8	FALSE	10448405	88.0946276489091
SRR2043393	root	Mo17xB73	drought	4	m8	FALSE	30966840	89.97003187926181
