SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
s01	root	B73	Salt	1	m01	TRUE	21998928	102
s02	root	B73	Cold	1	m02	TRUE	20503612	102
s03	root	B73	Sand	1	m03	TRUE	24361259	102
s04	root	B73	Drought	1	m04	TRUE	20263886	102
s05	root	B73	Cold	2	m02	TRUE	16892082	102
s06	root	B73	Control	1	m05	TRUE	19250338	102
s07	root	B73	Salt	2	m01	TRUE	17939163	102
s08	root	B73	Control	2	m05	TRUE	20672930	102
s09	root	B73	Salt	3	m01	TRUE	19417093	102
s10	root	B73	Sand	2	m03	TRUE	17611265	102
s11	root	B73	Drought	2	m04	TRUE	25047481	102
s12	root	B73	Cold	3	m02	TRUE	18938134	102
s13	root	B73	Control	3	m05	TRUE	18416032	102
s14	leaf	W22	Salt	1	m06	TRUE	18676668	102
s15	leaf	W22	Sand	1	m07	TRUE	15303802	102
s16	leaf	W22	Sand	2	m07	TRUE	17693110	102
s17	leaf	W22	Drought	1	m08	TRUE	19423115	102
s18	leaf	W22	Cold	1	m09	TRUE	12998838	102
s19	leaf	W22	Drought	2	m08	TRUE	11787646	102
s20	leaf	W22	Cold	2	m09	TRUE	11770140	102
s21	leaf	W22	Control	1	m10	TRUE	15086601	102
s22	leaf	W22	Salt	2	m06	TRUE	16027135	102
s23	leaf	W22	Control	2	m10	TRUE	18974551	102
s24	leaf	W22	Salt	3	m06	TRUE	19867049	102
s25	leaf	W22	Sand	3	m07	TRUE	18440885	102
s26	leaf	W22	Drought	3	m08	TRUE	22298476	102
s27	leaf	W22	Cold	3	m09	TRUE	15004926	102
s28	leaf	W22	Control	3	m10	TRUE	20174037	102
s29	leaf	Oh43	Salt	1	m11	TRUE	21308371	102
s30	leaf	Oh43	Sand	1	m12	TRUE	18775906	102
s31	leaf	Oh43	Drought	1	m13	TRUE	19681235	102
s32	leaf	Oh43	Cold	1	m14	TRUE	18851948	102
s33	leaf	Tx303	Control	1	m15	TRUE	20909694	102
s34	leaf	Tx303	Cold	1	m16	TRUE	21048121	102
s35	leaf	Mo17	Control	1	m17	TRUE	18060314	102
s36	leaf	Mo17	Salt	1	m18	TRUE	22042069	102
s37	leaf	Mo17	Sand	1	m19	TRUE	22051787	102
s38	leaf	Mo17	Drought	1	m20	TRUE	18375836	102
s39	leaf	Mo17	Cold	1	m21	TRUE	16082921	102
s40	leaf	Oh43	Control	1	m22	TRUE	18208866	102
s41	leaf	P39	Salt	1	m23	TRUE	24742442	102
s42	leaf	P39	Drought	1	m24	TRUE	24990397	102
s43	leaf	P39	Cold	1	m25	TRUE	25363547	102
s44	leaf	P39	Sand	1	m26	TRUE	20696210	102
s45	leaf	PH207	Control	1	m27	TRUE	24487553	102
s46	leaf	PH207	Salt	1	m28	TRUE	26286758	102
s47	leaf	PH207	Sand	1	m29	TRUE	28961061	102
s48	leaf	PH207	Drought	1	m30	TRUE	27795898	102
s49	leaf	PH207	Cold	1	m31	TRUE	28097887	102
s50	leaf	P39	Control	1	m32	TRUE	28204688	102
s51	leaf	B73	Drought	1	m33	TRUE	14934989	102
s52	leaf	B73	Cold	1	m34	TRUE	15477407	102
s53	leaf	B73	Control	1	m35	TRUE	19383488	102
s54	leaf	B73	Salt	1	m36	TRUE	16140056	102
s55	leaf	B73	Control	2	m35	TRUE	19277051	102
s56	leaf	B73	Salt	2	m36	TRUE	18493224	102
s57	leaf	B73	Cold	2	m34	TRUE	18995781	102
s58	leaf	B73	Sand	1	m37	TRUE	18504550	102
s59	leaf	B73	Drought	2	m33	TRUE	23660915	102
s60	leaf	B73	Cold	3	m34	TRUE	18766447	102
s61	leaf	B73	Control	3	m35	TRUE	21884159	102
s62	leaf	B73	Salt	3	m36	TRUE	19566088	102
s63	leaf	B73	Sand	2	m37	TRUE	17156894	102
s64	root	W22	Sand	1	m38	TRUE	23803745	102
s65	root	W22	Drought	1	m39	TRUE	24318396	102
s66	root	W22	Cold	1	m40	TRUE	27520340	102
s67	leaf	W22xB73	Control	1	m41	TRUE	17692153	102
s68	leaf	W22xB73	Salt	1	m42	TRUE	21743727	102
s69	leaf	W22xB73	Drought	1	m43	TRUE	21360868	102
s70	leaf	W22xB73	Cold	1	m44	TRUE	19666768	102
s71	leaf	B97	Control	1	m45	TRUE	22805135	102
s72	leaf	B97	Salt	1	m46	TRUE	28976042	102
s73	leaf	B97	Drought	1	m47	TRUE	21213342	102
s74	leaf	B97	Cold	1	m48	TRUE	19609127	102
s75	root	W22	Control	1	m49	TRUE	20528840	102
s76	root	W22	Salt	1	m50	TRUE	22625264	102
