SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
s001	anther	B73	""	1	m01	FALSE	4485396	51
s002	anther	B73	""	2	m01	FALSE	26127038	51
s003	anther	B73	""	3	m01	FALSE	4788414	51
s004	anther	B73	""	4	m01	FALSE	28103004	51
s005	ear	B73	""	1	m02	FALSE	4057225	51
s006	ear	B73	""	2	m02	FALSE	23407521	51
s007	ear	B73	""	3	m02	FALSE	4118016	51
s008	ear	B73	""	4	m02	FALSE	23780817	51
s009	embryo	B73	""	1	m03	FALSE	3909658	51
s010	embryo	B73	""	2	m03	FALSE	22704764	51
s011	embryo	B73	""	3	m03	FALSE	4190546	51
s012	embryo	B73	""	4	m03	FALSE	25277220	51
s013	endosperm	B73	""	1	m04	FALSE	3405541	51
s014	endosperm	B73	""	2	m04	FALSE	19750688	51
s015	endosperm	B73	""	3	m04	FALSE	4678669	51
s016	endosperm	B73	""	4	m04	FALSE	27582721	51
s017	internode	B73	""	1	m05	FALSE	4250049	51
s018	internode	B73	""	2	m05	FALSE	24502528	51
s019	internode	B73	""	3	m05	FALSE	4511415	51
s020	internode	B73	""	4	m05	FALSE	26868717	51
s021	leaf10	B73	""	1	m06	FALSE	4972837	51
s022	leaf10	B73	""	2	m06	FALSE	29612762	51
s023	leaf10	B73	""	3	m06	FALSE	4246582	51
s024	leaf10	B73	""	4	m06	FALSE	24732080	51
s025	leaf30	B73	""	1	m07	FALSE	3961137	51
s026	leaf30	B73	""	2	m07	FALSE	22849144	51
s027	leaf30	B73	""	3	m07	FALSE	4047778	51
s028	leaf30	B73	""	4	m07	FALSE	23405462	51
s029	root	B73	""	1	m08	FALSE	4461795	51
s030	root	B73	""	2	m08	FALSE	25757647	51
s031	root	B73	""	3	m08	FALSE	4616782	51
s032	root	B73	""	4	m08	FALSE	26664574	51
s033	shoot	B73	""	1	m09	FALSE	4605268	51
s034	shoot	B73	""	2	m09	FALSE	26794606	51
s035	shoot	B73	""	3	m09	FALSE	4416219	51
s036	shoot	B73	""	4	m09	FALSE	25778166	51
s037	tassel	B73	""	1	m10	FALSE	4468260	51
s038	tassel	B73	""	2	m10	FALSE	26181777	51
s039	tassel	B73	""	3	m10	FALSE	4846382	51
s040	tassel	B73	""	4	m10	FALSE	28560482	51
s041	anther	PH207	""	1	m11	FALSE	4621570	51
s042	anther	PH207	""	2	m11	FALSE	26462936	51
s043	anther	PH207	""	3	m11	FALSE	4108207	51
s044	anther	PH207	""	4	m11	FALSE	23652384	51
s045	ear	PH207	""	1	m12	FALSE	4477701	51
s046	ear	PH207	""	2	m12	FALSE	26061370	51
s047	ear	PH207	""	3	m12	FALSE	4654339	51
s048	ear	PH207	""	4	m12	FALSE	27725111	51
s049	embryo	PH207	""	1	m13	FALSE	4661689	51
s050	embryo	PH207	""	2	m13	FALSE	26861836	51
s051	embryo	PH207	""	3	m13	FALSE	4821617	51
s052	embryo	PH207	""	4	m13	FALSE	28026070	51
s053	endosperm	PH207	""	1	m14	FALSE	4633708	51
s054	endosperm	PH207	""	2	m14	FALSE	26821363	51
s055	endosperm	PH207	""	3	m14	FALSE	5022891	51
s056	endosperm	PH207	""	4	m14	FALSE	30499220	51
s057	internode	PH207	""	1	m15	FALSE	4256416	51
s058	internode	PH207	""	2	m15	FALSE	24522686	51
s059	internode	PH207	""	3	m15	FALSE	4569284	51
s060	internode	PH207	""	4	m15	FALSE	27197885	51
s061	leaf10	PH207	""	1	m16	FALSE	5154830	51
s062	leaf10	PH207	""	2	m16	FALSE	29754578	51
s063	leaf10	PH207	""	3	m16	FALSE	4918149	51
s064	leaf10	PH207	""	4	m16	FALSE	29106613	51
s065	leaf30	PH207	""	1	m17	FALSE	4004061	51
s066	leaf30	PH207	""	2	m17	FALSE	23466526	51
s067	leaf30	PH207	""	3	m17	FALSE	4346316	51
s068	leaf30	PH207	""	4	m17	FALSE	25831409	51
s069	root	PH207	""	1	m18	FALSE	4215148	51
s070	root	PH207	""	2	m18	FALSE	24343926	51
s071	root	PH207	""	3	m18	FALSE	5846163	51
s072	root	PH207	""	4	m18	FALSE	35018654	51
s073	shoot	PH207	""	1	m19	FALSE	4422369	51
s074	shoot	PH207	""	2	m19	FALSE	25603937	51
s075	shoot	PH207	""	3	m19	FALSE	4616324	51
s076	shoot	PH207	""	4	m19	FALSE	26811747	51
s077	tassel	PH207	""	1	m20	FALSE	4658154	51
s078	tassel	PH207	""	2	m20	FALSE	26930295	51
s079	tassel	PH207	""	3	m20	FALSE	4705608	51
s080	tassel	PH207	""	4	m20	FALSE	27418356	51
s081	anther	W22	""	1	m21	FALSE	3665592	51
s082	anther	W22	""	2	m21	FALSE	21419036	51
