SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR8587166	stem	Mo17	internode_5	1	m1	TRUE	39593925	197
SRR8587167	stem	Mo17	internode_4	1	m2	TRUE	31415534	197
SRR8587168	stem	B73	internode_5	1	m3	TRUE	29801855	197
SRR8587169	stem	B73	internode_4	1	m4	TRUE	48041375	197
SRR8587170	stem	B73	internode_7	1	m5	TRUE	33822767	197
SRR8587171	stem	B73	internode_6	1	m6	TRUE	24605576	196
SRR8587172	stem	Mo17	internode_5	2	m1	TRUE	38315008	197
SRR8587173	stem	Mo17	internode_4	2	m2	TRUE	22520475	198
SRR8587174	stem	Mo17	internode_7	1	m7	TRUE	40865288	197
SRR8587175	stem	Mo17	internode_6	1	m8	TRUE	33109058	197
SRR8587191	stem	Mo17	internode_6	2	m8	TRUE	39161055	197
SRR8587192	stem	Mo17	internode_7	2	m7	TRUE	36286856	197
