SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	lab	batch	coord	ExpID	paired	spots	avgLength	Experiment
batch1-A1	leaf	Mo17	Heat	1	m01	0.5	b1_Mo17_Heat_0.5	b1	A1	TC8	FALSE	6389394	92	TC
batch1-A2	leaf	B73	Heat	1	m02	1	b1_B73_Heat_1	b1	A2	TC16	FALSE	6666705	92	TC
batch1-A3	leaf	B73	Heat	2	m02	1.5	b1_B73_Heat_1.5	b1	A3	TC24	FALSE	6743547	92	TC
batch1-A4	leaf	Mo17	Heat	2	m01	2	b1_Mo17_Heat_2	b1	A4	TC32	FALSE	5981041	92	TC
batch1-A5	leaf	Mo17	Heat	3	m01	3	b1_Mo17_Heat_3	b1	A5	TC40	FALSE	8505814	92	TC
batch1-A6	leaf	W22	Heat	1	m03	4	b1_W22_Heat_4	b1	A6	TC48	FALSE	7511893	92	TC
batch1-A7	leaf	B73	Cold	1	m04	8	b1_B73_Cold_8	b1	A7	TC56	FALSE	5186239	92	TC
batch1-A8	leaf	B73	Cold	2	m04	25	b1_B73_Cold_25	b1	A8	TC64	FALSE	5439954	92	TC
batch1-B1	leaf	B73	Heat	3	m02	0.5	b1_B73_Heat_0.5	b1	B1	TC7	FALSE	8045180	92	TC
batch1-B2	leaf	W22	Control	1	m05	1	b1_W22_Control_1	b1	B2	TC15	FALSE	12088760	92	TC
batch1-B3	leaf	Mo17	Control	1	m06	1.5	b1_Mo17_Control_1.5	b1	B3	TC23	FALSE	6683693	92	TC
batch1-B4	leaf	B73	Heat	4	m02	2	b1_B73_Heat_2	b1	B4	TC31	FALSE	10834879	92	TC
batch1-B5	leaf	B73	Heat	5	m02	3	b1_B73_Heat_3	b1	B5	TC39	FALSE	8218093	92	TC
batch1-B6	leaf	Mo17	Heat	4	m01	4	b1_Mo17_Heat_4	b1	B6	TC47	FALSE	6581840	92	TC
batch1-B7	leaf	Mo17	Heat	5	m01	8	b1_Mo17_Heat_8	b1	B7	TC55	FALSE	5949292	92	TC
batch1-B8	leaf	W22	Heat	2	m03	25	b1_W22_Heat_25	b1	B8	TC63	FALSE	10148645	92	TC
batch1-C1	leaf	W22	Control	2	m05	0.5	b1_W22_Control_0.5	b1	C1	TC6	FALSE	10542209	92	TC
batch1-C2	leaf	Mo17	Control	2	m06	1	b1_Mo17_Control_1	b1	C2	TC14	FALSE	5895365	92	TC
batch1-C3	leaf	B73	Control	1	m07	1.5	b1_B73_Control_1.5	b1	C3	TC22	FALSE	7488222	92	TC
batch1-C4	leaf	W22	Control	3	m05	2	b1_W22_Control_2	b1	C4	TC30	FALSE	12112851	92	TC
batch1-C5	leaf	Mo17	Control	3	m06	3	b1_Mo17_Control_3	b1	C5	TC38	FALSE	8755944	92	TC
batch1-C6	leaf	B73	Heat	6	m02	4	b1_B73_Heat_4	b1	C6	TC46	FALSE	8734126	92	TC
batch1-C7	leaf	B73	Heat	7	m02	8	b1_B73_Heat_8	b1	C7	TC54	FALSE	6845189	92	TC
batch1-C8	leaf	Mo17	Heat	6	m01	25	b1_Mo17_Heat_25	b1	C8	TC62	FALSE	7876733	92	TC
batch1-D1	leaf	Mo17	Control	4	m06	0.5	b1_Mo17_Control_0.5	b1	D1	TC5	FALSE	7513678	92	TC
batch1-D2	leaf	B73	Control	2	m07	1	b1_B73_Control_1	b1	D2	TC13	FALSE	8482408	92	TC
batch1-D3	leaf	W22	Cold	1	m08	1	b1_W22_Cold_1	b1	D3	TC21	FALSE	6133288	92	TC
batch1-D4	leaf	Mo17	Control	5	m06	2	b1_Mo17_Control_2	b1	D4	TC29	FALSE	9532169	92	TC
batch1-D5	leaf	B73	Control	3	m07	3	b1_B73_Control_3	b1	D5	TC37	FALSE	7043974	92	TC
batch1-D6	leaf	W22	Control	4	m05	4	b1_W22_Control_4	b1	D6	TC45	FALSE	7801586	92	TC
batch1-D7	leaf	Mo17	Control	6	m06	8	b1_Mo17_Control_8	b1	D7	TC53	FALSE	10462566	92	TC
batch1-D8	leaf	B73	Heat	8	m02	25	b1_B73_Heat_25	b1	D8	TC61	FALSE	8867876	92	TC
batch1-E1	leaf	B73	Control	4	m07	0.5	b1_B73_Control_0.5	b1	E1	TC4	FALSE	7503540	92	TC
batch1-E2	leaf	W22	Cold	2	m08	0.5	b1_W22_Cold_0.5	b1	E2	TC12	FALSE	7002203	92	TC
batch1-E3	leaf	B73	Cold	3	m04	1	b1_B73_Cold_1	b1	E3	TC20	FALSE	6846912	92	TC
batch1-E4	leaf	B73	Control	5	m07	2	b1_B73_Control_2	b1	E4	TC28	FALSE	8079910	92	TC
batch1-E5	leaf	W22	Cold	3	m08	2	b1_W22_Cold_2	b1	E5	TC36	FALSE	6293228	92	TC
batch1-E6	leaf	Mo17	Control	7	m06	4	b1_Mo17_Control_4	b1	E6	TC44	FALSE	7810939	92	TC
batch1-E7	leaf	B73	Control	6	m07	8	b1_B73_Control_8	b1	E7	TC52	FALSE	7689074	92	TC
batch1-E8	leaf	W22	Control	5	m05	25	b1_W22_Control_25	b1	E8	TC60	FALSE	7240833	92	TC
batch1-F1	leaf	W22	Control	6	m05	0	b1_W22_Control_0	b1	F1	TC3	FALSE	9685607	92	TC
batch1-F2	leaf	Mo17	Cold	1	m09	0.5	b1_Mo17_Cold_0.5	b1	F2	TC11	FALSE	7391676	92	TC
batch1-F3	leaf	Mo17	Cold	2	m09	1	b1_Mo17_Cold_1	b1	F3	TC19	FALSE	6254155	92	TC
batch1-F4	leaf	Mo17	Cold	3	m09	1.5	b1_Mo17_Cold_1.5	b1	F4	TC27	FALSE	5170107	92	TC
batch1-F5	leaf	Mo17	Cold	4	m09	2	b1_Mo17_Cold_2	b1	F5	TC35	FALSE	11081894	92	TC
batch1-F6	leaf	B73	Control	7	m07	4	b1_B73_Control_4	b1	F6	TC43	FALSE	11073025	92	TC
batch1-F7	leaf	W22	Cold	4	m08	4	b1_W22_Cold_4	b1	F7	TC51	FALSE	10431844	92	TC
batch1-F8	leaf	Mo17	Control	8	m06	25	b1_Mo17_Control_25	b1	F8	TC59	FALSE	7319051	92	TC
batch1-G1	leaf	Mo17	Control	9	m06	0	b1_Mo17_Control_0	b1	G1	TC2	FALSE	7247176	92	TC
batch1-G2	leaf	B73	Cold	4	m04	0.5	b1_B73_Cold_0.5	b1	G2	TC10	FALSE	9115269	92	TC
batch1-G3	leaf	W22	Heat	3	m03	1	b1_W22_Heat_1	b1	G3	TC18	FALSE	8794300	92	TC
batch1-G4	leaf	B73	Cold	5	m04	1.5	b1_B73_Cold_1.5	b1	G4	TC26	FALSE	9318983	92	TC
batch1-G5	leaf	B73	Cold	6	m04	2	b1_B73_Cold_2	b1	G5	TC34	FALSE	4612829	92	TC
batch1-G6	leaf	Mo17	Cold	5	m09	3	b1_Mo17_Cold_3	b1	G6	TC42	FALSE	8268797	92	TC
batch1-G7	leaf	Mo17	Cold	6	m09	4	b1_Mo17_Cold_4	b1	G7	TC50	FALSE	7799171	92	TC
batch1-G8	leaf	B73	Control	8	m07	25	b1_B73_Control_25	b1	G8	TC58	FALSE	5771070	92	TC
batch1-G9	leaf	W22	Cold	5	m08	25	b1_W22_Cold_25	b1	G9	TC66	FALSE	3587943	92	TC
batch1-H1	leaf	B73	Control	9	m07	0	b1_B73_Control_0	b1	H1	TC1	FALSE	7936016	92	TC
batch1-H2	leaf	W22	Heat	4	m03	0.5	b1_W22_Heat_0.5	b1	H2	TC9	FALSE	10715217	92	TC
batch1-H3	leaf	Mo17	Heat	7	m01	1	b1_Mo17_Heat_1	b1	H3	TC17	FALSE	7629221	92	TC
batch1-H4	leaf	Mo17	Heat	8	m01	1.5	b1_Mo17_Heat_1.5	b1	H4	TC25	FALSE	9557570	92	TC
batch1-H5	leaf	W22	Heat	5	m03	2	b1_W22_Heat_2	b1	H5	TC33	FALSE	9324012	92	TC
batch1-H6	leaf	B73	Cold	7	m04	3	b1_B73_Cold_3	b1	H6	TC41	FALSE	5070959	92	TC
batch1-H7	leaf	B73	Cold	8	m04	4	b1_B73_Cold_4	b1	H7	TC49	FALSE	7066779	92	TC
batch1-H8	leaf	Mo17	Cold	7	m09	8	b1_Mo17_Cold_8	b1	H8	TC57	FALSE	7544407	92	TC
batch1-H9	leaf	Mo17	Cold	8	m09	25	b1_Mo17_Cold_25	b1	H9	TC65	FALSE	6559092	92	TC
batch2a-A1	leaf	Mo17	Control	10	m06	0	b2_Mo17_Control_0	b2	A1	HY8	FALSE	1611120	150	HY
batch2a-A2	leaf	BxM	Control	1	m10	0	b2_BxM_Control_0	b2	A2	HY16	FALSE	280957	150	HY
batch2a-A3	leaf	WxM	Control	1	m11	1	b2_WxM_Control_1	b2	A3	HY24	FALSE	1569318	150	HY
batch2a-A4	leaf	Mo17	Control	11	m06	1	b2_Mo17_Control_1	b2	A4	HY32	FALSE	1662414	150	HY
batch2a-A5	leaf	BxM	Cold	1	m12	1	b2_BxM_Cold_1	b2	A5	HY40	FALSE	1442483	150	HY
batch2a-A6	leaf	WxM	Cold	1	m13	1	b2_WxM_Cold_1	b2	A6	HY48	FALSE	2079646	150	HY
batch2a-A7	leaf	Mo17	Heat	9	m01	1	b2_Mo17_Heat_1	b2	A7	HY56	FALSE	2013148	150	HY
batch2a-A8	leaf	BxM	Heat	1	m14	1	b2_BxM_Heat_1	b2	A8	HY64	FALSE	1997650	150	HY
batch2a-B1	leaf	B73	Control	10	m07	0	b2_B73_Control_0	b2	B1	HY7	FALSE	1848856	150	HY
batch2a-B2	leaf	W22	Control	7	m05	0	b2_W22_Control_0	b2	B2	HY15	FALSE	1566553	150	HY
batch2a-B3	leaf	WxB	Control	1	m15	1	b2_WxB_Control_1	b2	B3	HY23	FALSE	1697103	150	HY
batch2a-B4	leaf	B73	Control	11	m07	1	b2_B73_Control_1	b2	B4	HY31	FALSE	1530121	150	HY
batch2a-B5	leaf	W22	Cold	6	m08	1	b2_W22_Cold_1	b2	B5	HY39	FALSE	1547172	150	HY
batch2a-B6	leaf	WxB	Cold	1	m16	1	b2_WxB_Cold_1	b2	B6	HY47	FALSE	1457335	150	HY
batch2a-B7	leaf	B73	Heat	9	m02	1	b2_B73_Heat_1	b2	B7	HY55	FALSE	1576283	150	HY
batch2a-B8	leaf	W22	Heat	6	m03	1	b2_W22_Heat_1	b2	B8	HY63	FALSE	2096230	150	HY
batch2a-C1	leaf	WxM	Control	2	m11	0	b2_WxM_Control_0	b2	C1	HY6	FALSE	1335911	150	HY
batch2a-C2	leaf	Mo17	Control	12	m06	0	b2_Mo17_Control_0	b2	C2	HY14	FALSE	1294932	150	HY
batch2a-C3	leaf	BxM	Control	2	m10	1	b2_BxM_Control_1	b2	C3	HY22	FALSE	1379522	150	HY
batch2a-C4	leaf	WxM	Control	3	m11	1	b2_WxM_Control_1	b2	C4	HY30	FALSE	1931393	150	HY
batch2a-C5	leaf	Mo17	Cold	9	m09	1	b2_Mo17_Cold_1	b2	C5	HY38	FALSE	1503879	150	HY
batch2a-C6	leaf	BxM	Cold	2	m12	1	b2_BxM_Cold_1	b2	C6	HY46	FALSE	2018885	150	HY
batch2a-C7	leaf	WxM	Cold	2	m13	1	b2_WxM_Cold_1	b2	C7	HY54	FALSE	1583032	150	HY
batch2a-C8	leaf	Mo17	Heat	10	m01	1	b2_Mo17_Heat_1	b2	C8	HY62	FALSE	1983065	150	HY
batch2a-D1	leaf	WxB	Control	2	m15	0	b2_WxB_Control_0	b2	D1	HY5	FALSE	1245731	150	HY
batch2a-D2	leaf	B73	Control	12	m07	0	b2_B73_Control_0	b2	D2	HY13	FALSE	1762811	150	HY
batch2a-D3	leaf	W22	Control	8	m05	1	b2_W22_Control_1	b2	D3	HY21	FALSE	1681706	150	HY
batch2a-D4	leaf	WxB	Control	3	m15	1	b2_WxB_Control_1	b2	D4	HY29	FALSE	1778751	150	HY
batch2a-D5	leaf	B73	Cold	9	m04	1	b2_B73_Cold_1	b2	D5	HY37	FALSE	1151189	150	HY
batch2a-D6	leaf	W22	Cold	7	m08	1	b2_W22_Cold_1	b2	D6	HY45	FALSE	1709092	150	HY
batch2a-D7	leaf	WxB	Cold	2	m16	1	b2_WxB_Cold_1	b2	D7	HY53	FALSE	1806600	150	HY
batch2a-D8	leaf	B73	Heat	10	m02	1	b2_B73_Heat_1	b2	D8	HY61	FALSE	2297466	150	HY
batch2a-E1	leaf	BxM	Control	3	m10	0	b2_BxM_Control_0	b2	E1	HY4	FALSE	1434281	150	HY
batch2a-E2	leaf	WxM	Control	4	m11	0	b2_WxM_Control_0	b2	E2	HY12	FALSE	1613211	150	HY
batch2a-E3	leaf	Mo17	Control	13	m06	1	b2_Mo17_Control_1	b2	E3	HY20	FALSE	1899967	150	HY
batch2a-E4	leaf	BxM	Control	4	m10	1	b2_BxM_Control_1	b2	E4	HY28	FALSE	2134830	150	HY
batch2a-E5	leaf	WxM	Control	5	m11	1	b2_WxM_Control_1	b2	E5	HY36	FALSE	1505769	150	HY
batch2a-E6	leaf	Mo17	Cold	10	m09	1	b2_Mo17_Cold_1	b2	E6	HY44	FALSE	1925216	150	HY
batch2a-E7	leaf	BxM	Cold	3	m12	1	b2_BxM_Cold_1	b2	E7	HY52	FALSE	1901167	150	HY
batch2a-E8	leaf	WxM	Heat	1	m17	1	b2_WxM_Heat_1	b2	E8	HY60	FALSE	2135431	150	HY
batch2a-F1	leaf	W22	Control	9	m05	0	b2_W22_Control_0	b2	F1	HY3	FALSE	2254859	150	HY
batch2a-F2	leaf	WxB	Control	4	m15	0	b2_WxB_Control_0	b2	F2	HY11	FALSE	1309666	150	HY
