SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR5985040	leaf8		L1_6	1	TRUE	16490512	202
SRR5985041	leaf8		L2_5	1	TRUE	13716520	202
SRR5985042	leaf8		L1_5	1	TRUE	14604634	202
SRR5985043	leaf8		L2_4	1	TRUE	12398418	202
SRR5985044	leaf8		L1_5	3	TRUE	14248896	202
SRR5985045	leaf8		L2_3	3	TRUE	11101382	202
SRR5985046	leaf8		L2_6	1	TRUE	14425273	202
SRR5985047	leaf8		L1_4	1	TRUE	14471555	202
SRR5985048	leaf8		L2_8	3	TRUE	22231198	202
SRR5985049	leaf8		L1_3	1	TRUE	14120317	202
SRR5985050	leaf8		L2_3	1	TRUE	14803228	202
SRR5985051	leaf8		L1_2	1	TRUE	13631504	202
SRR5985052	leaf8		L2_2	1	TRUE	12964225	202
SRR5985053	leaf8		L1_6	3	TRUE	14199976	202
SRR5985054	leaf8		L2_8	2	TRUE	22247525	202
SRR5985055	leaf8		L2_7	2	TRUE	14100989	202
SRR5985056	leaf8		L1_2	2	TRUE	11915214	202
SRR5985057	leaf8		L2_6	2	TRUE	15388511	202
SRR5985058	leaf8		L2_3	2	TRUE	15591470	202
SRR5985059	leaf8		L1_3	2	TRUE	14422109	202
SRR5985060	leaf8		L2_2	2	TRUE	15048142	202
SRR5985061	leaf8		L2_7	1	TRUE	15071292	202
SRR5985062	leaf8		L1_7	1	TRUE	13686087	202
SRR5985063	leaf8		L1_7	2	TRUE	13863259	202
SRR5985064	leaf8		L2_8	1	TRUE	22940870	202
SRR5985065	leaf8		L1_3	3	TRUE	11394409	202
SRR5985066	leaf8		L1_8	3	TRUE	23532471	202
SRR5985067	leaf8		L2_2	3	TRUE	13568273	202
SRR5985068	leaf8		L2_6	3	TRUE	14462332	202
SRR5985069	leaf8		L2_5	3	TRUE	14498405	202
SRR5985070	leaf8		L1_2	3	TRUE	14070547	202
SRR5985071	leaf8		L2_7	3	TRUE	12423681	202
SRR5985072	leaf8		L2_4	3	TRUE	13262389	202
SRR5985073	leaf8		L1_7	3	TRUE	12630685	202
SRR5985074	leaf8		L1_4	3	TRUE	14199572	202
SRR5985075	leaf8		L1_6	2	TRUE	16092940	202
SRR5985076	leaf8		L1_8	1	TRUE	23132336	202
SRR5985077	leaf8		L1_8	2	TRUE	22270232	202
SRR5985078	leaf8		L1_5	2	TRUE	14959409	202
SRR5985079	leaf8		L2_5	2	TRUE	16279553	202
SRR5985080	leaf8		L1_4	2	TRUE	15181758	202
SRR5985081	leaf8		L2_4	2	TRUE	14330218	202
