SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
BC1	leaf	B73	cold	1	m01	TRUE	28535382	302
BC2	leaf	B73	cold	2	m01	TRUE	30284968	302
BC3	leaf	B73	cold	3	m01	TRUE	31223876	302
BC4	leaf	B73	cold	4	m01	TRUE	30508011	302
BC5	leaf	B73	cold	5	m01	TRUE	28900904	302
BH1	leaf	B73	heat	1	m02	TRUE	23532009	302
BH2	leaf	B73	heat	2	m02	TRUE	35859645	302
BH3	leaf	B73	heat	3	m02	TRUE	34550689	302
BH4	leaf	B73	heat	4	m02	TRUE	29130987	302
BH5	leaf	B73	heat	5	m02	TRUE	34044085	302
BN1	leaf	B73	control	1	m03	TRUE	34381827	302
BN2	leaf	B73	control	2	m03	TRUE	37973880	302
BN3	leaf	B73	control	3	m03	TRUE	29604417	302
BN5	leaf	B73	control	4	m03	TRUE	30287610	302
MC1	leaf	Mo17	cold	1	m04	TRUE	28531847	302
MC2	leaf	Mo17	cold	2	m04	TRUE	30602184	302
MC3	leaf	Mo17	cold	3	m04	TRUE	25499555	302
MC4	leaf	Mo17	cold	4	m04	TRUE	34052852	302
MC5	leaf	Mo17	cold	5	m04	TRUE	37195426	302
MH1	leaf	Mo17	heat	1	m05	TRUE	30843313	302
MH2	leaf	Mo17	heat	2	m05	TRUE	31619574	302
MH3	leaf	Mo17	heat	3	m05	TRUE	38530338	302
MH4	leaf	Mo17	heat	4	m05	TRUE	33958445	302
MH5	leaf	Mo17	heat	5	m05	TRUE	24908501	302
MN1	leaf	Mo17	control	1	m06	TRUE	46727270	302
MN2	leaf	Mo17	control	2	m06	TRUE	31319861	302
MN3	leaf	Mo17	control	3	m06	TRUE	33900220	302
MN4	leaf	Mo17	control	4	m06	TRUE	24327529	302
MN5	leaf	Mo17	control	5	m06	TRUE	33780120	302
OC1	leaf	Oh43	cold	1	m07	TRUE	35323004	302
OC2	leaf	Oh43	cold	2	m07	TRUE	34207834	302
OC3	leaf	Oh43	cold	3	m07	TRUE	28882094	302
OC4	leaf	Oh43	cold	4	m07	TRUE	39018456	302
OC5	leaf	Oh43	cold	5	m07	TRUE	33380306	302
OH1	leaf	Oh43	heat	1	m08	TRUE	38233587	302
OH2	leaf	Oh43	heat	2	m08	TRUE	30574040	302
OH3	leaf	Oh43	heat	3	m08	TRUE	40813596	302
OH4	leaf	Oh43	heat	4	m08	TRUE	30126591	302
OH5	leaf	Oh43	heat	5	m08	TRUE	35223386	302
ON1	leaf	Oh43	control	1	m09	TRUE	32469891	302
ON2	leaf	Oh43	control	2	m09	TRUE	29261654	302
ON3	leaf	Oh43	control	3	m09	TRUE	33071144	302
ON4	leaf	Oh43	control	4	m09	TRUE	50862284	302
ON5	leaf	Oh43	control	5	m09	TRUE	41260004	302
WC1	leaf	W22	cold	1	m10	TRUE	34634926	302
WC2	leaf	W22	cold	2	m10	TRUE	22618148	302
WC3	leaf	W22	cold	3	m10	TRUE	34877429	302
WC4	leaf	W22	cold	4	m10	TRUE	39387899	302
WC5	leaf	W22	cold	5	m10	TRUE	53584258	302
WH1	leaf	W22	heat	1	m11	TRUE	28958124	302
WH2	leaf	W22	heat	2	m11	TRUE	38689604	302
WH3	leaf	W22	heat	3	m11	TRUE	27625557	302
WH4	leaf	W22	heat	4	m11	TRUE	29819871	302
WH5	leaf	W22	heat	5	m11	TRUE	41730719	302
WN1	leaf	W22	control	1	m12	TRUE	45059626	302
WN2	leaf	W22	control	2	m12	TRUE	35150010	302
WN3	leaf	W22	control	3	m12	TRUE	42262923	302
WN4	leaf	W22	control	4	m12	TRUE	39777505	302
WN5	leaf	W22	control	5	m12	TRUE	56823778	302
