SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR504462	leaf	kn1	kn1	1	m01	FALSE	21246896	100
SRR504463	leaf	kn1	""	1	m02	FALSE	26425413	100
SRR504464	leaf	kn1_het	""	1	m03	FALSE	26186672	100
SRR504465	leaf	kn1_het	""	2	m03	FALSE	26350142	100
SRR504466	leaf	WT	""	1	m04	FALSE	24871839	100
SRR504467	leaf	WT	""	2	m04	FALSE	24082728	100
SRR504468	tassel	kn1	""	1	m05	FALSE	22474516	100
SRR504469	tassel	kn1	""	2	m05	FALSE	22323103	100
SRR504470	tassel	kn1	""	3	m05	FALSE	24845734	100
SRR504471	tassel	WT	""	1	m06	FALSE	23499684	100
SRR504472	tassel	WT	""	2	m06	FALSE	24049502	100
SRR504473	tassel	WT	""	3	m06	FALSE	24418666	100
SRR504474	ear	kn1	""	1	m07	FALSE	26094182	100
SRR504475	ear	kn1	""	2	m07	FALSE	24561689	100
SRR504476	ear	WT	""	1	m08	FALSE	20723339	100
SRR504477	ear	WT	""	2	m08	FALSE	24229119	100
SRR504478	SAM	kn1	""	1	m09	FALSE	21282499	100
SRR504479	SAM	kn1	""	2	m09	FALSE	23959644	100
SRR504480	SAM	WT	""	1	m10	FALSE	23837803	100
SRR504481	SAM	WT	""	2	m10	FALSE	20189299	100
