SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR999032	ear_tip_IM_SPM	wt		2	m01	TRUE	6644678	100
SRR999033	ear_tip_IM_SPM	wt		1	m01	TRUE	13552900	100
SRR999034	ear_mid_SM	wt		2	m02	TRUE	12897481	100
SRR999035	ear_mid_SM	wt		1	m02	TRUE	10322765	100
SRR999036	ear_base_FM	wt		2	m03	TRUE	13964076	100
SRR999037	ear_base_FM	wt		1	m03	TRUE	8760228	100
SRR999038	tassel_stg1	wt		2	m04	TRUE	15398933	100
SRR999039	tassel_stg1	wt		1	m04	TRUE	26802571	100
SRR999040	tassel_stg2	wt		2	m05	TRUE	15621472	100
SRR999041	tassel_stg2	wt		1	m05	TRUE	18323414	100
SRR999042	tassel_stg3	wt		2	m06	TRUE	15351591	100
SRR999043	tassel_stg3	wt		1	m06	TRUE	30177105	100
SRR999044	ear_1mm	wt		2	m07	TRUE	8772615	100
SRR999045	ear_1mm	wt		1	m07	TRUE	11419746	100
SRR999046	ear_1mm	ra1		2	m08	TRUE	21954565	100
SRR999047	ear_1mm	ra1		1	m08	TRUE	16845719	100
SRR999048	ear_1mm	ra2		2	m09	TRUE	6468016	100
SRR999049	ear_1mm	ra2		1	m09	TRUE	15661175	100
SRR999050	ear_1mm	ra3		2	m10	TRUE	14852158	100
SRR999051	ear_1mm	ra3		1	m10	TRUE	44725868	100
SRR999052	ear_2mm	wt		3	m11	TRUE	16022830	100
SRR999053	ear_2mm	wt		2	m11	TRUE	11228927	100
SRR999054	ear_2mm	wt		1	m11	TRUE	6173142	100
SRR999055	ear_2mm	ra1		3	m12	TRUE	8491938	100
SRR999056	ear_2mm	ra1		2	m12	TRUE	35276815	100
SRR999057	ear_2mm	ra1		1	m12	TRUE	12376211	100
SRR999058	ear_2mm	ra2		3	m13	TRUE	8482420	100
SRR999059	ear_2mm	ra2		2	m13	TRUE	32438903	100
SRR999060	ear_2mm	ra2		1	m13	TRUE	17233767	100
SRR999061	ear_2mm	ra3		3	m14	TRUE	15737888	100
SRR999062	ear_2mm	ra3		2	m14	TRUE	10770029	100
SRR999063	ear_2mm	ra3		1	m14	TRUE	6428156	100
