SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR8502751	tiller_buds_10DAP	B73		3	m1	TRUE	39771147	241
SRR8502752	tiller_buds_10DAP	B73		2	m1	TRUE	40344086	241
SRR8502753	tiller_buds_10DAP	B73		1	m1	TRUE	39830144	242
SRR8502754	tiller_buds_8DAP	B73		3	m2	TRUE	19363454	246
SRR8502755	tiller_buds_8DAP	B73		2	m2	TRUE	43969204	242
SRR8502756	tiller_buds_8DAP	B73		1	m2	TRUE	60054237	243
SRR8502761	tiller_buds_12DAP	tb		1	m3	TRUE	19799254	236
SRR8502762	tiller_buds_12DAP	tb		2	m3	TRUE	20811935	236
SRR8502763	tiller_buds_8DAP	gt		5	m4	TRUE	43948515	241
SRR8502764	tiller_buds_12DAP	gt		1	m5	TRUE	39738350	243
SRR8502765	tiller_buds_12DAP	gt		2	m5	TRUE	23036949	235
SRR8502766	tiller_buds_12DAP	gt		3	m5	TRUE	19727423	236
SRR8502767	tiller_buds_12DAP	gt		4	m5	TRUE	20982469	237
SRR8502768	tiller_buds_8DAP	tb		1	m6	TRUE	46630032	242
SRR8502769	tiller_buds_8DAP	tb		2	m6	TRUE	20341378	246
SRR8502770	tiller_buds_8DAP	tb		3	m6	TRUE	42605683	243
SRR8502771	tiller_buds_14DAP	B73		3	m7	TRUE	43861165	242
SRR8502772	tiller_buds_14DAP	B73		2	m7	TRUE	45442214	242
SRR8502773	tiller_buds_8DAP	gt		2	m4	TRUE	69467012	240
SRR8502774	tiller_buds_8DAP	gt		1	m4	TRUE	42711524	242
SRR8502775	tiller_buds_12DAP	B73		2	m8	TRUE	35933232	241
SRR8502776	tiller_buds_12DAP	B73		1	m8	TRUE	40987753	241
SRR8502777	tiller_buds_14DAP	B73		1	m7	TRUE	44712307	242
SRR8502778	tiller_buds_12DAP	B73		3	m8	TRUE	80520113	241
SRR8502779	tiller_buds_8DAP	gt		4	m4	TRUE	27784382	241
SRR8502780	tiller_buds_8DAP	gt		3	m4	TRUE	34599492	240
SRR8502781	tiller_buds_12DAP	tb		3	m3	TRUE	18765696	236
