SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR516201	Shoot_Apex	M0001	NA	1	28337804	27569572	0	0	768232	25496146	1694093	379333	23591865	0	1563533	340748	581283
SRR516795	Shoot_Apex	M0005	NA	1	32660449	31715143	0	0	945306	29239148	1981128	494867	27005057	0	1853586	380505	747588
SRR516796	Shoot_Apex	M0007	NA	1	34673395	33721408	0	0	951987	31097736	2057828	565844	28798232	0	1882833	416671	780732
SRR516797	Shoot_Apex	M0008	NA	1	43740590	42316678	0	0	1423912	39102172	2663279	551227	36167066	0	2436514	498592	846083
SRR516798	Shoot_Apex	M0010	NA	1	31515426	30477937	0	0	1037489	28069012	1968904	440021	25903566	0	1800384	365062	681808
SRR516810	Shoot_Apex	M0012	NA	1	30826314	29827408	0	0	998906	27542850	1885870	398688	25507530	0	1681282	354038	615571
SRR516812	Shoot_Apex	M0014	NA	1	30199676	29333569	0	0	866107	26935530	1877715	520324	24874950	0	1705000	355580	794963
SRR516813	Shoot_Apex	M0015	NA	1	30270076	29421998	0	0	848078	27235374	1784521	402103	25231557	0	1645838	357979	635414
SRR516814	Shoot_Apex	M0016	NA	1	32749225	31851377	0	0	897848	29459527	1958567	433283	27171844	0	1885991	401692	699253
SRR516815	Shoot_Apex	M0017	NA	1	43494775	42061044	0	0	1433731	38445276	2755885	859883	35068188	0	2895364	481724	1378006
SRR516816	Shoot_Apex	M0021	NA	1	28656926	27965187	0	0	691739	24969584	1587955	1407648	23106128	0	1541353	322103	1633415
SRR516817	Shoot_Apex	M0022	NA	1	31164767	30419497	0	0	745270	27974158	1596810	848529	25847594	0	1699906	426658	1006682
SRR516818	Shoot_Apex	M0023	NA	1	28104670	27474095	0	0	630575	25280364	1699274	494457	23257799	0	1687841	334724	734288
SRR611202	Shoot_Apex	M0024	NA	1	30189262	29450979	0	0	738283	27155309	1738788	556882	25083550	0	1711004	360755	783593
SRR611203	Shoot_Apex	M0025	NA	1	28546030	27829374	0	0	716656	25572205	1625152	632017	23621028	0	1614091	337086	865701
SRR611204	Shoot_Apex	M0026	NA	1	35048089	33766479	0	0	1281610	31127270	2210382	428827	28730213	0	2006752	390305	716691
SRR611205	Shoot_Apex	M0028	NA	1	29074990	28384504	0	0	690486	26260375	1737626	386503	24292260	0	1619293	348822	631623
SRR611206	Shoot_Apex	M0029	NA	1	29927445	29213508	0	0	713937	26747340	1770702	695466	24755203	0	1626409	365728	978445
SRR611207	Shoot_Apex	M0030	NA	1	33253038	32443880	0	0	809158	29908783	1965717	569380	27675426	0	1825799	407558	862269
SRR611208	Shoot_Apex	M0031	NA	1	36075313	34999551	0	0	1075762	32312741	2246936	439874	30025858	0	1865679	421204	837177
SRR611209	Shoot_Apex	M0032	NA	1	22735418	22138295	0	0	597123	20341794	1460646	335855	18845865	0	1236650	259279	551239
SRR611210	Shoot_Apex	M0035	NA	1	34753744	33676145	0	0	1077599	30615184	2286168	774793	28562141	0	1665878	387165	1313995
SRR611211	Shoot_Apex	M0039	NA	1	28682492	27874434	0	0	808058	25583082	1845535	445817	23637086	0	1605096	340900	797034
SRR611212	Shoot_Apex	M0040	NA	1	25994819	25307855	0	0	686964	23389586	1579360	338909	21638062	0	1438714	312810	567705
SRR611213	Shoot_Apex	M0046	NA	1	27514134	26721332	0	0	792802	24634236	1702048	385048	22749390	0	1550795	334051	660229
SRR611214	Shoot_Apex	M0048	NA	1	34855920	33905548	0	0	950372	31389142	2014692	501714	29099162	0	1848984	440996	765631
SRR611215	Shoot_Apex	M0051	NA	1	30430264	29440471	0	0	989793	27269726	1806213	364532	25259233	0	1654280	356213	606399
SRR611216	Shoot_Apex	M0052	NA	1	35930496	34764618	0	0	1165878	32280619	2082615	401384	29915343	0	1930868	434408	681631
SRR611217	Shoot_Apex	M0054	NA	1	37139662	35933409	0	0	1206253	33274017	2186836	472556	30805779	0	2035960	432278	735520
SRR611218	Shoot_Apex	M0056	NA	1	33582941	32415465	0	0	1167476	29878374	2108361	428730	27627450	0	1874517	376407	704243
SRR611219	Shoot_Apex	M0057	NA	1	31182054	30303024	0	0	879030	28110401	1830746	361877	26014063	0	1714080	382258	627785
SRR611220	Shoot_Apex	M0058	NA	1	34105133	33143826	0	0	961307	30764019	1991588	388219	28514530	0	1836704	412785	654601
SRR611221	Shoot_Apex	M0060	NA	1	38204012	37069331	0	0	1134681	34321657	2244694	502980	31779772	0	2085710	456175	757321
SRR611243	Shoot_Apex	M0061	NA	1	32655208	31697614	0	0	957594	29410571	1906476	380567	27280566	0	1741397	388608	648609
SRR611246	Shoot_Apex	M0062	NA	1	23998541	23366383	0	0	632158	21711489	1396059	258835	20138310	0	1278290	294889	457342
SRR611247	Shoot_Apex	M0063	NA	1	38649604	37532687	0	0	1116917	34919903	2212252	400532	32379044	0	2086023	454836	672406
SRR611252	Shoot_Apex	M0066	NA	1	30770642	29853263	0	0	917379	27499887	1926353	427023	25258476	0	1863410	378001	773961
SRR611253	Shoot_Apex	M0067	NA	1	31111651	30242334	0	0	869317	27721360	1966148	554826	25643931	0	1706535	370894	867112
SRR611259	Shoot_Apex	M0074	NA	1	32966908	32019014	0	0	947894	29796976	1854219	367819	27567380	0	1845784	383812	566625
SRR611262	Shoot_Apex	M0075	NA	1	30719696	29854125	0	0	865571	27629838	1840283	384004	25549582	0	1723780	356476	619476
SRR611264	Shoot_Apex	M0077	NA	1	27858032	27060689	0	0	797343	25008384	1677062	375243	23071150	0	1623460	313774	580441
SRR611265	Shoot_Apex	M0079	NA	1	32254764	31379630	0	0	875134	29107171	1882558	389901	26889029	0	1841636	376506	626943
SRR611266	Shoot_Apex	M0080	NA	1	37502973	36140571	0	0	1362402	33308987	2382048	449536	30793079	0	2092308	423600	750696
SRR611268	Shoot_Apex	M0099	NA	1	29118738	28152274	0	0	966464	25860611	1867200	424463	23865697	0	1661492	333422	639738
SRR611269	Shoot_Apex	M0116	NA	1	32653483	31725274	0	0	928209	28940418	2072145	712711	26833839	0	1727886	378693	1006122
SRR611270	Shoot_Apex	M0141	NA	1	42882688	41433614	0	0	1449074	38065788	2772409	595417	35216380	0	2366588	482820	998116
SRR611271	Shoot_Apex	M0176	NA	1	37047290	35811129	0	0	1236161	32871308	2429309	510512	30331501	0	2097856	441951	877828
SRR611272	Shoot_Apex	M0200	NA	1	21922252	21197871	0	0	724381	19530060	1384432	283379	18096724	0	1168775	264561	463921
SRR611273	Shoot_Apex	M0232	NA	1	30566974	29602610	0	0	964364	27331101	1854697	416812	25271238	0	1708237	351626	619486
SRR611274	Shoot_Apex	M0248	NA	1	32581490	31513608	0	0	1067882	28634981	2276444	602183	26428371	0	1843168	363442	1074011
SRR611275	Shoot_Apex	M0262	NA	1	32056265	31191373	0	0	864892	28951772	1876717	362884	26830530	0	1745916	375326	628092
SRR611276	Shoot_Apex	M0264	NA	1	28685667	27925817	0	0	759850	25797428	1763403	364986	23754126	0	1708080	335222	613406
SRR611277	Shoot_Apex	M0265	NA	1	31809165	30876901	0	0	932264	28495573	1941839	439489	26315713	0	1799037	380823	703324
SRR611278	Shoot_Apex	M0266	NA	1	27183557	26413272	0	0	770285	24171504	1759042	482726	22371526	0	1480416	319562	826716
SRR611287	Shoot_Apex	M0267	NA	1	27278858	26609771	0	0	669087	24662424	1584270	363077	22732113	0	1609467	320844	530926
SRR611288	Shoot_Apex	M0269	NA	1	37520690	36595450	0	0	925240	33970824	2168431	456195	31385934	0	2124119	460771	715380
SRR611289	Shoot_Apex	M0270	NA	1	35895251	34783954	0	0	1111297	31936748	2308580	538626	29517130	0	2010592	409026	855677
SRR611290	Shoot_Apex	M0272	NA	1	36431635	35349902	0	0	1081733	32600108	2276733	473061	30106461	0	2087574	406073	757410
SRR611291	Shoot_Apex	M0275	NA	1	33744211	32854317	0	0	889894	30280032	2151530	422755	27975154	0	1905765	399113	821735
SRR611292	Shoot_Apex	M0276	NA	1	28645928	27790931	0	0	854997	25184535	1970385	636011	23286463	0	1575535	322537	1063049
SRR611293	Shoot_Apex	M0278	NA	1	30163195	29069292	0	0	1093903	26791464	1925471	352357	24725705	0	1737481	328278	600038
SRR611294	Shoot_Apex	M0281	NA	1	18752374	18345881	0	0	406493	17036601	1092878	216402	15765322	0	1052984	218295	327392
SRR611295	Shoot_Apex	M0284	NA	1	36449662	35075501	0	0	1374161	32135293	2298548	641660	29653320	0	2062208	419765	871918
SRR611296	Shoot_Apex	M0287	NA	1	36936098	35613620	0	0	1322478	32703694	2298699	611227	30179023	0	2104185	420486	907083
SRR611297	Shoot_Apex	M0288	NA	1	29234585	28502146	0	0	732439	26235408	1840714	426024	24109930	0	1782116	343362	670723
SRR611298	Shoot_Apex	M0289	NA	1	33920755	32707013	0	0	1213742	30221437	2105716	379860	28042480	0	1804722	374235	618053
SRR611299	Shoot_Apex	M0296	NA	1	28856378	28121321	0	0	735057	25755614	1903711	461996	23768640	0	1653458	333516	774774
SRR611300	Shoot_Apex	M0297	NA	1	30514361	29574490	0	0	939871	27224114	1873693	476683	25194935	0	1669562	359617	733785
SRR611301	Shoot_Apex	M0298	NA	1	32705478	31734294	0	0	971184	28938889	2339070	456335	26728586	0	1833270	377033	1117618
SRR611302	Shoot_Apex	M0303	NA	1	39724356	38274619	0	0	1449737	35294867	2491015	488737	32581558	0	2258239	455070	776014
SRR611303	Shoot_Apex	M0310	NA	1	33305214	32403618	0	0	901596	29727621	2166905	509092	27473912	0	1874504	379205	847300
SRR611304	Shoot_Apex	M0311	NA	1	33975698	33043146	0	0	932552	30184387	2102879	755880	27900375	0	1896180	387832	1097236
SRR611305	Shoot_Apex	M0315	NA	1	31973219	31087316	0	0	885903	27071743	3182789	832784	24945741	0	1769960	356042	2303606
SRR611306	Shoot_Apex	M0317	NA	1	19214680	18757247	0	0	457433	15417161	2835475	504611	14219558	0	993570	204033	2324546
SRR611307	Shoot_Apex	M0322	NA	1	39437966	37912884	0	0	1525082	34837524	2557637	517723	32154261	0	2233203	450060	903736
SRR611308	Shoot_Apex	M0323	NA	1	34377090	33089463	0	0	1287627	30209989	2311313	568161	27889871	0	1931396	388722	929710
SRR611309	Shoot_Apex	M0325	NA	1	31023223	29849374	0	0	1173849	27457391	1959822	432161	25394795	0	1695338	367258	678559
SRR611310	Shoot_Apex	M0326	NA	1	33902303	32653973	0	0	1248330	29926674	2233765	493534	27593046	0	1942904	390724	844259
SRR611311	Shoot_Apex	M0329	NA	1	40149838	39047447	0	0	1102391	35836125	2585701	625621	33024420	0	2332314	479391	1001306
SRR611312	Shoot_Apex	M0337	NA	1	20051837	19299037	0	0	752800	17676656	1323884	298497	16294780	0	1135448	246428	504509
SRR611313	Shoot_Apex	M0341	NA	1	30807267	29974709	0	0	832558	27531837	1898611	544261	25508109	0	1660984	362744	850791
SRR611314	Shoot_Apex	M0344	NA	1	31302888	30495971	0	0	806917	27907962	2130813	457196	25863704	0	1704110	340148	843250
SRR611315	Shoot_Apex	M0345	NA	1	35914436	34980218	0	0	934218	31931733	2207670	840815	29441387	0	2067433	422913	1116767
SRR611316	Shoot_Apex	M0346	NA	1	32840996	31716544	0	0	1124452	29042317	2208907	465320	26801498	0	1858174	382645	861669
SRR611317	Shoot_Apex	M0349	NA	1	30069356	29252390	0	0	816966	26706169	1864774	681447	24677503	0	1678296	350370	917477
SRR611318	Shoot_Apex	M0352	NA	1	32830598	31718045	0	0	1112553	29388640	1972551	356854	27196916	0	1807453	384271	571173
SRR611319	Shoot_Apex	M0354	NA	1	31849004	30772707	0	0	1076297	28337639	2025014	410054	26106339	0	1863091	368209	677078
SRR611320	Shoot_Apex	M0355	NA	1	28768793	27795780	0	0	973013	25633275	1791262	371243	23662201	0	1642265	328809	579183
SRR611321	Shoot_Apex	M0357	NA	1	33168439	32068050	0	0	1100389	29571500	2047905	448645	27355919	0	1833481	382100	673575
SRR611322	Shoot_Apex	M0360	NA	1	31839466	30755422	0	0	1084044	28294465	2026157	434800	26083060	0	1835441	375964	701830
SRR611323	Shoot_Apex	M0364	NA	1	32127718	31203846	0	0	923872	26786690	3708106	709050	24732025	0	1707623	347042	2762287
SRR611324	Shoot_Apex	M0365	NA	1	40614830	39221747	0	0	1393083	36215157	2480460	526130	33383767	0	2363678	467712	804207
SRR611325	Shoot_Apex	M0367	NA	1	39779333	38617581	0	0	1161752	35162766	2526030	928785	32510946	0	2181189	470631	1301081
SRR611326	Shoot_Apex	M0368	NA	1	35699291	34671407	0	0	1027884	31852656	2152778	665973	29512504	0	1934666	405486	943261
SRR611327	Shoot_Apex	M0369	NA	1	24044299	23238924	0	0	805375	21413587	1482455	342882	19756995	0	1369032	287560	502985
SRR611328	Shoot_Apex	M0378	NA	1	20631164	19915952	0	0	715212	18308968	1317358	289626	16968314	0	1104094	236560	481569
SRR611329	Shoot_Apex	M0379	NA	1	36914939	35543807	0	0	1371132	32788122	2272207	483478	30391359	0	1975115	421648	744075
SRR611330	Shoot_Apex	M0382	NA	1	31470347	30258852	0	0	1211495	27922083	1916271	420498	25839494	0	1721236	361353	627099
SRR611331	Shoot_Apex	M0383	NA	1	32086529	31161694	0	0	924835	28642410	1937656	581628	26551441	0	1718281	372688	840818
SRR611332	Shoot_Apex	M0384	NA	1	34148148	32926093	0	0	1222055	30339173	2142799	444121	28065403	0	1888698	385072	717968
SRR611333	Shoot_Apex	M0044	NA	1	28074632	27046542	0	0	1028090	24668851	1879207	498484	22728456	0	1593803	346592	846935
SRR611334	Shoot_Apex	M0328	NA	1	36172662	34842388	0	0	1330274	32065177	2274555	502656	29596343	0	2062067	406767	799696
