SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR651049	unknown	B73	NA	1	13399149	12903659	495490	12903659	0	0	12464252	11641387	7401780	7914949	0	0	0	0	439407	0	0	0	0	0	0	0	0	11061883	2638487	470375	109129	439407
SRR651050	unknown	B73	NA	2	14152930	13629346	523584	13629346	0	0	13325623	12581330	8012928	8479013	0	0	0	0	303723	0	0	0	0	0	0	0	0	11974913	2113765	488879	117538	303723
SRR651051	unknown	B73	NA	3	19270220	18559087	711133	18559087	0	0	16439481	15271162	9633683	10351482	0	0	0	0	2119606	0	0	0	0	0	0	0	0	14447590	4003867	682336	141236	2119606
SRR651052	unknown	B97	NA	1	13884840	13353808	531032	13353808	0	0	12623889	11695358	5485480	5956038	0	0	0	0	729919	0	0	0	0	0	0	0	0	11116420	2717600	473098	105840	729919
SRR651053	unknown	CML103	NA	1	17172512	16370536	801976	16370536	0	0	15459692	14519765	8205616	8807032	0	0	0	0	910844	0	0	0	0	0	0	0	0	13841270	2779606	538327	140168	910844
SRR651054	unknown	CML228	NA	1	13453936	12972882	481054	12972882	0	0	12193594	11362858	5052156	5475880	0	0	0	0	779288	0	0	0	0	0	0	0	0	10774438	2445231	474791	113629	779288
SRR651055	unknown	CML247	NA	1	14714190	14008543	705647	14008543	0	0	12355394	11510941	6453018	6972133	0	0	0	0	1653149	0	0	0	0	0	0	0	0	10925204	2513415	464280	121457	1653149
SRR651056	unknown	CML277	NA	1	16421326	15654695	766631	15654695	0	0	14725218	13726752	7741099	8290511	0	0	0	0	929477	0	0	0	0	0	0	0	0	12969249	2916176	622459	135044	929477
SRR651057	unknown	CML322	NA	1	12775245	12310704	464541	12310704	0	0	11613002	10881535	4845136	5197144	0	0	0	0	697702	0	0	0	0	0	0	0	0	10352046	2041526	424372	105117	697702
SRR651058	unknown	CML333	NA	1	16630744	15823784	806960	15823784	0	0	14432622	13398171	7556867	8218889	0	0	0	0	1391162	0	0	0	0	0	0	0	0	12773931	3091651	484926	139314	1391162
SRR651059	unknown	CML52	NA	1	16817165	16204919	612246	16204919	0	0	15280419	14253886	6317968	6814481	0	0	0	0	924500	0	0	0	0	0	0	0	0	13579838	2960835	534972	139076	924500
SRR651060	unknown	Hp301	NA	1	16861363	16247629	613734	16247629	0	0	15423087	14448341	6557429	7042263	0	0	0	0	824542	0	0	0	0	0	0	0	0	13675917	2734640	632956	139468	824542
SRR651061	unknown	Il14h	NA	1	12653042	12178400	474642	12178400	0	0	11329628	10463895	4770319	5152064	0	0	0	0	848772	0	0	0	0	0	0	0	0	9924322	2672522	437101	102472	848772
SRR651062	unknown	Ki11	NA	1	15273635	14705396	568239	14705396	0	0	13103420	12188800	5389222	5857285	0	0	0	0	1601976	0	0	0	0	0	0	0	0	11613541	2661373	456959	118300	1601976
SRR651063	unknown	Ki11	NA	2	11271601	10859576	412025	10859576	0	0	10118299	9421235	4172688	4526897	0	0	0	0	741277	0	0	0	0	0	0	0	0	8913749	2071441	413014	94472	741277
SRR651064	unknown	Ki11	NA	3	12018859	11583016	435843	11583016	0	0	10467394	9744139	4318463	4686562	0	0	0	0	1115622	0	0	0	0	0	0	0	0	9241219	2148371	407396	95524	1115622
SRR651065	unknown	Ki3	NA	1	14579133	13873437	705696	13873437	0	0	11469622	10743906	6106435	6554445	0	0	0	0	2403815	0	0	0	0	0	0	0	0	10198500	2314003	447073	98333	2403815
SRR651066	unknown	M162w	NA	1	16162782	15027971	1134811	15027971	0	0	14175031	13266453	7063250	7583637	0	0	0	0	852940	0	0	0	0	0	0	0	0	12583798	2591208	548012	134643	852940
SRR651067	unknown	M37w	NA	1	17770712	16520354	1250358	16520354	0	0	15223150	14125848	7382742	8006300	0	0	0	0	1297204	0	0	0	0	0	0	0	0	13382708	3622054	604186	138954	1297204
SRR651068	unknown	M37w	NA	2	16078002	15323733	754269	15323733	0	0	13949374	12801107	7387945	8129614	0	0	0	0	1374359	0	0	0	0	0	0	0	0	12195417	3945359	480331	125359	1374359
SRR651069	unknown	Mo17	NA	1	15801487	14714978	1086509	14714978	0	0	13105002	12289442	6512431	6945148	0	0	0	0	1609976	0	0	0	0	0	0	0	0	11671886	2385160	490598	126958	1609976
SRR651070	unknown	Mo17	NA	2	17745280	16492099	1253181	16492099	0	0	15569135	14603025	7786272	8297611	0	0	0	0	922964	0	0	0	0	0	0	0	0	13904152	2763965	547151	151722	922964
SRR651071	unknown	Mo17	NA	3	14336816	13333402	1003414	13333402	0	0	12583287	11816420	6285507	6686519	0	0	0	0	750115	0	0	0	0	0	0	0	0	11251024	2163366	442631	122765	750115
SRR651072	unknown	Mo18w	NA	1	10285877	9571298	714579	9571298	0	0	9033993	8530035	4360835	4641014	0	0	0	0	537305	0	0	0	0	0	0	0	0	8145405	1410643	301883	82747	537305
SRR651073	unknown	MS71	NA	1	22338440	20823501	1514939	20823501	0	0	19643190	18442700	9801165	10458962	0	0	0	0	1180311	0	0	0	0	0	0	0	0	17414537	3432341	858333	169830	1180311
SRR651074	unknown	MS71	NA	2	14688550	13674575	1013975	13674575	0	0	12832440	12105518	6430715	6826689	0	0	0	0	842135	0	0	0	0	0	0	0	0	11493200	2023174	498849	113469	842135
SRR651075	unknown	MS71	NA	3	13968336	13015331	953005	13015331	0	0	12304666	11606696	6176713	6554048	0	0	0	0	710665	0	0	0	0	0	0	0	0	11006265	1907016	493039	107392	710665
SRR651076	unknown	NC358	NA	1	13260113	12349452	910661	12349452	0	0	11572192	10883422	5562145	5928550	0	0	0	0	777260	0	0	0	0	0	0	0	0	10345048	2061610	432035	106339	777260
SRR651077	unknown	Oh43	NA	1	11766590	10954680	811910	10954680	0	0	10230040	9592728	5199041	5531279	0	0	0	0	724640	0	0	0	0	0	0	0	0	9129550	1900277	373964	89214	724640
SRR651078	unknown	Oh43	NA	2	14922276	13914466	1007810	13914466	0	0	12974540	12201332	6631234	7031122	0	0	0	0	939926	0	0	0	0	0	0	0	0	11582039	2278556	502775	116518	939926
SRR651079	unknown	Oh43	NA	3	18200539	17346491	854048	17346491	0	0	16424932	15330473	9130228	9758658	0	0	0	0	921559	0	0	0	0	0	0	0	0	14638496	3141773	544277	147700	921559
SRR651080	unknown	Oh7b	NA	1	22855866	21817877	1037989	21817877	0	0	20704434	19465321	11537014	12228808	0	0	0	0	1113443	0	0	0	0	0	0	0	0	18461254	3490849	814910	189157	1113443
SRR651081	unknown	P39	NA	1	21748449	20747524	1000925	20747524	0	0	18465114	17257179	9620091	10259331	0	0	0	0	2282410	0	0	0	0	0	0	0	0	16380492	3394110	710610	166077	2282410
SRR651082	unknown	Tx303	NA	1	17474393	16602884	871509	16602884	0	0	15532839	14437760	8357239	8993763	0	0	0	0	1070045	0	0	0	0	0	0	0	0	13756570	3255905	536977	144213	1070045
SRR651083	unknown	Tzi8	NA	1	16202133	15436531	765602	15436531	0	0	14548743	13602304	7699814	8316004	0	0	0	0	887788	0	0	0	0	0	0	0	0	12944979	2735114	521900	135425	887788
SRR651084	unknown	W22	NA	1	11254201	10710943	543258	10710943	0	0	10000710	9254719	5335548	5824682	0	0	0	0	710233	0	0	0	0	0	0	0	0	8772413	2262219	386886	95420	710233
SRR766776	unknown	B97	NA	2	24503625	23720488	783137	23720488	0	0	22315306	20572287	12766371	13964156	0	0	0	0	1405182	0	0	0	0	0	0	0	0	19558594	5236271	824484	189209	1405182
SRR766777	unknown	B97	NA	3	25796328	24937640	858688	24937640	0	0	23780927	22150399	13725219	14811538	0	0	0	0	1156713	0	0	0	0	0	0	0	0	21072533	4438889	878451	199415	1156713
SRR767675	unknown	CML103	NA	2	20322950	19702973	619977	19702973	0	0	18623270	17427395	10474801	11299682	0	0	0	0	1079703	0	0	0	0	0	0	0	0	16593690	3531725	670757	162948	1079703
SRR767678	unknown	Hp301	NA	2	23492306	22772858	719448	22772858	0	0	21594128	20151380	12167837	13139439	0	0	0	0	1178730	0	0	0	0	0	0	0	0	19066212	4291621	897606	187562	1178730
SRR767679	unknown	Hp301	NA	3	25001232	24248132	753100	24248132	0	0	23081314	21723317	13076989	13972344	0	0	0	0	1166818	0	0	0	0	0	0	0	0	20627280	3733694	889418	206619	1166818
SRR767680	unknown	Ky21	NA	1	26260623	25432363	828260	25432363	0	0	23980373	22318801	13603422	14684924	0	0	0	0	1451990	0	0	0	0	0	0	0	0	21220563	5001845	879751	218487	1451990
SRR767682	unknown	M37w	NA	3	26066928	25251303	815625	25251303	0	0	23889296	22163437	13282798	14404089	0	0	0	0	1362007	0	0	0	0	0	0	0	0	21076990	5086276	865651	220796	1362007
