SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR1573504	ligule_B	B73	NA	1	63977333	59440752	2855173	754184	927224	60309273	1408023	1332813	48537087	3505701	7364837	1004561	1261035
SRR1573505	ligule_B	B73	NA	2	29211801	26684628	1715148	351145	460880	27242916	658525	849480	21342022	1635365	3486559	490280	781607
SRR1573506	ligule_B	B73	NA	3	29382758	25539878	2973186	369776	499918	27255151	663789	963900	20161907	1724179	3458843	456755	903418
SRR1573507	ligule_L	B73	NA	1	49014948	43974317	3097995	798567	1144069	45156873	1177955	1536051	34687804	3086643	6190529	764863	1350018
SRR1573508	ligule_L	B73	NA	2	25041155	22533600	1652566	388909	466080	23334329	573353	667393	17708558	1450838	3308406	408353	599748
SRR1573509	ligule_L	B73	NA	3	64064340	59291753	2804143	815068	1153376	60425565	1407377	1078022	48009178	3555123	7987937	991049	1014445
SRR1573510	ligule_S	B73	NA	1	20690979	18733117	1398831	252396	306635	19311383	465196	607765	14791366	1151777	2657873	337422	532798
SRR1573511	ligule_S	B73	NA	2	21464235	19473963	766287	572893	651092	19507197	562589	743357	15832318	1435741	2369237	338239	492449
SRR1573512	ligule_S	B73	NA	3	14178336	11893890	1849396	198609	236441	13083864	358365	499666	9229868	936291	1688858	212275	477065
SRR1573513	ligule_wtL	B73	NA	1	42029948	38608135	1826785	707970	887058	39418771	976515	747604	31039281	2387299	5381845	597322	686624
SRR1573514	ligule_wtL	B73	NA	2	20089168	18121146	1029095	392739	546188	18519826	488874	534280	14681604	1244670	2243002	291819	459117
SRR1573515	ligule_wtL	B73	NA	3	32186310	29042550	1908143	569932	665685	29854890	835554	830181	23420508	2115403	3645519	467228	758394
SRR1573516	ligule_lg1	B73	NA	1	24548838	20576078	2637658	628797	706305	20425132	706492	2710909	14808344	1897623	2630085	316963	2225755
SRR1573517	ligule_lg1	B73	NA	2	19842178	17479958	1280333	473784	608103	17522766	526061	1185248	13532545	1333498	2226139	262480	968273
SRR1573518	ligule_lg1	B73	NA	3	50617400	46279014	2329911	859063	1149412	47218038	1260777	989173	37782323	3146784	5689219	736910	906813
SRR1573519	ligule_B_L1	B73	NA	1	40182222	35896599	2573215	594477	1117931	36920631	870112	1273548	28363081	2063953	4893867	616983	1244744
SRR1573520	ligule_B_L1	B73	NA	2	14492909	12888469	986772	200846	416822	10616212	2319714	1140161	8062433	2142449	1496722	179676	2705293
SRR1573521	ligule_B_L1	B73	NA	3	18869666	16737785	1328488	262961	540432	17117401	491713	720120	13021528	1077304	2298242	302151	714198
SRR1573522	ligule_L_L1	B73	NA	1	14809832	12676293	1189253	271747	672539	13072993	350041	714259	9798293	850491	1792404	205975	581476
SRR1573523	ligule_L_L1	B73	NA	2	4724584	4248230	296117	62632	117605	4328362	118616	160001	6872941	0	1284475	158217	344945
SRR1573524	ligule_L_L1	B73	NA	3	28224925	24957269	2108578	390344	768734	25074945	1056169	1325077	19092046	1921939	3355956	404939	1498131
SRR1573525	ligule_S_L1	B73	NA	1	7951683	6995504	596422	111145	248612	7169946	213549	319576	5487328	488135	907490	121227	309566
SRR1573526	ligule_S_L1	B73	NA	2	22979235	20365126	1640964	313297	659848	20879916	596062	843409	15909280	1298500	2762326	378663	842715
SRR1573527	ligule_S_L1	B73	NA	3	14169987	12710257	865344	192535	401851	12957048	342741	468347	10061320	770157	1666762	225770	470962
