SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR404131	Germinating Seed_24H	B73	NA	1	16664335	13672504	0	0	2991831	10913705	1969626	789173	9783746	0	1006764	123195	939157
SRR404132	Germinating Seed_24H	B73	NA	2	24401889	23695928	0	0	705961	19631368	2023509	2041051	17692313	0	1709993	229062	2736600
SRR404139	Germinating Seed_24H	B73	NA	3	16403718	14383487	0	0	2020231	12083575	1332018	967894	10912804	0	1026057	144714	1399862
SRR404140	Germinating Seed_24H	B73	NA	4	14478260	12707101	0	0	1771159	11025526	1156891	524684	9951576	0	954096	119854	744144
SRR404141	Primary Root_6DAS	B73	NA	1	15385969	12977714	0	0	2408255	10263198	2052938	661578	9318438	0	834431	110329	744931
SRR404142	Primary Root_6DAS	B73	NA	2	30874768	29383358	0	0	1491410	24763119	2564050	2056189	22771343	0	1711683	280093	2771463
SRR404143	Primary Root_6DAS	B73	NA	3	15454859	13734035	0	0	1720824	11829322	1174930	729783	10807698	0	889185	132439	888858
SRR404144	Primary Root_6DAS	B73	NA	4	18733352	17171221	0	0	1562131	14422256	1683725	1065240	13183869	0	1076912	161475	1502771
SRR404145	Stem and SAM_V3	B73	NA	1	15762571	13262094	0	0	2500477	10902489	2027835	331770	9921840	0	839638	141011	371374
SRR404146	Stem and SAM_V3	B73	NA	2	29955323	28712259	0	0	1243064	23500715	1869021	3342523	21643490	0	1530430	326795	3555334
SRR404147	Stem and SAM_V3	B73	NA	3	16308033	14735876	0	0	1572157	13035212	1141241	559423	11926145	0	935310	173757	614215
SRR404148	Stem and SAM_V3	B73	NA	4	17778966	16379243	0	0	1399723	14552367	1220753	606123	13331977	0	1022045	198345	676309
SRR404149	Tip of stage-2 Leaf_V5	B73	NA	1	15553296	12728849	0	0	2824447	10487362	1910495	330992	9495647	0	849917	141798	367328
SRR404150	Tip of stage-2 Leaf_V5	B73	NA	2	30841269	29455401	0	0	1385868	25061617	2420003	1973781	23046762	0	1652708	362147	2194126
SRR404152	Tip of stage-2 Leaf_V5	B73	NA	3	17005539	15646832	0	0	1358707	13926178	1254103	466551	12760920	0	974897	190361	525367
SRR404153	Tip of stage-2 Leaf_V5	B73	NA	4	20466510	18557792	0	0	1908718	16095899	1283995	1177898	14970001	0	907215	218683	1242858
SRR404154	Eighth Leaf_V9	B73	NA	1	6281183	6180248	0	0	100935	5346977	709526	123745	4920054	0	363127	63796	331068
SRR404155	Eighth Leaf_V9	B73	NA	2	5976811	5875980	0	0	100831	5222485	533501	119994	4821410	0	339550	61525	235359
SRR404156	Eighth Leaf_V9	B73	NA	3	12990824	12707443	0	0	283381	11368445	895445	443553	10541601	0	686261	140583	508820
SRR404158	Eleventh Leaf_V9	B73	NA	1	6853056	6707313	0	0	145743	5875936	589194	242183	5450476	0	356068	69392	377028
SRR404159	Eleventh Leaf_V9	B73	NA	2	6148825	6016783	0	0	132042	5487750	434178	94855	5070377	0	352472	64901	153440
SRR404160	Eleventh Leaf_V9	B73	NA	3	5237785	5126099	0	0	111686	4585553	440202	100344	4239372	0	293691	52490	205749
SRR404161	Thirteenth Leaf_V9	B73	NA	1	7441312	7240739	0	0	200573	6408475	502924	329340	5918812	0	411134	78529	374092
SRR404162	Thirteenth Leaf_V9	B73	NA	2	7347443	7157184	0	0	190259	6321805	481107	354272	5830528	0	413084	78193	399575
SRR404163	Thirteenth Leaf_V9	B73	NA	3	6203365	6059725	0	0	143640	5383022	539451	137252	4960088	0	358330	64604	289372
SRR404164	Immature Leaves_V9	B73	NA	1	4816974	3971400	0	0	845574	3477511	340804	153085	3150999	0	277843	48669	179940
SRR404171	Immature Leaves_V9	B73	NA	2	5512159	4574463	0	0	937696	4021636	382940	169887	3641832	0	324072	55732	199279
SRR404172	Immature Leaves_V9	B73	NA	3	4745872	4012647	0	0	733225	3548538	335580	128529	3217732	0	283234	47572	149799
SRR404173	Thirteenth Leaf_VT	B73	NA	1	7142159	6825161	0	0	316998	5609219	978560	237382	5153634	0	387018	68567	576977
SRR404174	Thirteenth Leaf_VT	B73	NA	2	6645797	6318980	0	0	326817	5045552	908920	364508	4607146	0	377986	60420	696435
SRR404175	Thirteenth Leaf_VT	B73	NA	3	6041944	5794989	0	0	246955	5038254	399747	356988	4663317	0	316136	58801	386924
SRR404176	Thirteenth Leaf_R2	B73	NA	1	7493245	7251202	0	0	242043	6398735	492726	359741	5922670	0	398434	77631	391312
SRR404177	Thirteenth Leaf_R2	B73	NA	2	9768776	9476060	0	0	292716	8044517	602540	829003	7505923	0	442594	96000	862896
SRR404178	Thirteenth Leaf_R2	B73	NA	3	6548250	6364499	0	0	183751	5579217	455924	329358	5165936	0	346367	66914	370773
SRR404179	Whole seed_10DAP	B73	NA	1	12265519	11989883	0	0	275636	11152186	640479	197218	10309138	0	692667	150381	271202
SRR404180	Whole seed_10DAP	B73	NA	2	9281333	9076136	0	0	205197	8381590	459001	235545	7764553	0	508395	108642	261964
SRR404181	Whole seed_10DAP	B73	NA	3	7448933	7282421	0	0	166512	6690502	387193	204726	6189514	0	414671	86317	244151
SRR404182	Whole seed_12DAP	B73	NA	1	5658898	5532582	0	0	126316	4929124	330106	273352	4608033	0	264518	56573	328169
SRR404183	Whole seed_12DAP	B73	NA	2	4259218	4165286	0	0	93932	3822745	256438	86103	3565747	0	212098	44900	126709
SRR404184	Whole seed_12DAP	B73	NA	3	7816147	7638235	0	0	177912	6964468	528063	145704	6481703	0	400954	81811	269631
SRR404185	Endopsperm_12DAP	B73	NA	1	4946871	4833914	0	0	112957	4402881	300948	130085	4148717	0	208665	45499	164972
SRR404186	Endopsperm_12DAP	B73	NA	2	6803145	6648335	0	0	154810	6014810	455768	177757	5661709	0	291027	62074	268815
SRR404187	Endopsperm_12DAP	B73	NA	3	17124858	16751225	0	0	373633	15099776	1023595	627854	14225275	0	721901	152600	738879
SRR404188	Whole seed_14DAP	B73	NA	1	14145375	13836564	0	0	308811	12695084	834940	306540	11857906	0	696814	140364	367614
SRR404189	Whole seed_14DAP	B73	NA	2	9127755	8936728	0	0	191027	8233862	561603	141263	7707391	0	433069	93402	226042
