SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR957415	endosperm_12DAP	B73	NA	1	33974745	33706212	0	0	268533	30986683	2212654	506875	28922569	0	1662934	401180	1094946
SRR957416	endosperm_12DAP	B73	NA	2	33146885	32876855	0	0	270030	30236308	2194327	446220	28305368	0	1545950	384990	1020207
SRR957417	endosperm_12DAP	B73	NA	3	34620400	34337958	0	0	282442	31863877	2059206	414875	29585028	0	1836471	442378	845121
SRR957418	pericarp	B73	NA	1	21908704	21508161	0	0	400543	17321742	2769287	1417132	15264538	0	1821875	235329	2584490
SRR957419	pericarp	B73	NA	2	21154911	20825067	0	0	329844	16974604	2700874	1149589	14982853	0	1714922	276829	2124192
SRR957420	pericarp	B73	NA	3	15145587	14802397	0	0	343190	10708196	1597130	2497071	9553044	0	994543	160609	3193957
SRR957421	endosperm_crown	B73	NA	1	20475682	20055436	0	0	420246	12745796	3398504	3911136	10742587	0	1703063	300146	4938714
SRR957422	endosperm_crown	B73	NA	2	22450336	22083048	0	0	367288	14746127	4024518	3312403	12330258	0	2101297	314572	4673705
SRR957423	endosperm_crown	B73	NA	3	27178641	26749844	0	0	428797	20638534	4889089	1222221	17303246	0	2808643	526645	2241561
SRR957424	leaf_symmetrical	B73	NA	1	26569994	26217934	0	0	352060	23421546	1598349	1198039	21024328	0	2050162	347056	1442874
SRR957425	leaf_symmetrical	B73	NA	2	23790586	23474763	0	0	315823	20980120	1495557	999086	18909355	0	1755294	315471	1283814
SRR957426	leaf_symmetrical	B73	NA	3	23421576	23075150	0	0	346426	20035726	1782976	1256448	18131851	0	1594918	308957	1896396
SRR957427	leaf_stomatal	B73	NA	1	22367166	22019342	0	0	347824	18555017	2289480	1174845	16139943	0	2124404	290670	2279013
SRR957428	leaf_stomatal	B73	NA	2	21212846	20906807	0	0	306039	19021989	1339537	545281	17299588	0	1418557	303844	860704
SRR957429	leaf_stomatal	B73	NA	3	22851558	22518418	0	0	333140	15453594	3714389	3350435	13230308	0	1961002	262284	5328935
SRR957430	leaf_growth	B73	NA	1	24481942	24118549	0	0	363393	19863287	2440601	1814661	17224096	0	2297736	341455	3005522
SRR957431	leaf_growth	B73	NA	2	25735688	25363389	0	0	372299	22279513	1667751	1416125	20357246	0	1545003	377264	1969261
SRR957432	leaf_growth	B73	NA	3	19096768	18784571	0	0	312197	14879100	1087761	2817710	13607826	0	1028767	242507	3142183
SRR957433	embryo_20DAP	B73	NA	1	33351230	33055736	0	0	295494	30742782	1741196	571758	27983507	0	2302381	456894	905576
SRR957434	embryo_20DAP	B73	NA	2	33646352	33377946	0	0	268406	31157820	1831467	388659	28111183	0	2541864	504773	714509
SRR957435	embryo_20DAP	B73	NA	3	33971845	33667966	0	0	303879	31347471	1914793	405702	28378253	0	2488482	480736	821596
SRR957436	embryo	B73	NA	1	18657758	18335005	0	0	322753	15587493	1326703	1420809	13951407	0	1355365	280721	1919884
SRR957437	embryo	B73	NA	2	19626903	19281697	0	0	345206	15156389	1765228	2360080	13611983	0	1255064	289342	3372172
SRR957438	embryo	B73	NA	3	22433479	22057518	0	0	375961	19903222	1090881	1063415	18000472	0	1587540	315210	1216801
SRR957439	kernel_germ	B73	NA	1	22717651	22369718	0	0	347933	18636515	1602797	2130406	16784170	0	1575969	276376	2758850
SRR957440	kernel_germ	B73	NA	2	23331686	22940423	0	0	391263	17989592	1919800	3031031	16613657	0	1133278	242657	4088226
SRR957441	kernel_germ	B73	NA	3	46059806	45271472	0	0	788334	35284225	4728341	5258906	32290055	0	2535398	458772	8095088
SRR957442	leaf_mature_8	B73	NA	1	20434594	20114983	0	0	319611	14153335	3711340	2250308	12571970	0	1351420	229945	4904187
SRR957443	leaf_mature_8	B73	NA	2	26408022	26016929	0	0	391093	20374374	4047534	1595021	18058587	0	2063717	252070	3091915
SRR957444	leaf_mature_8	B73	NA	3	21916416	21591885	0	0	324531	17303795	2599458	1688632	15034770	0	1988218	280807	2791671
SRR957445	ear_6-8	B73	NA	1	27252374	26903721	0	0	348653	24429362	1437961	1036398	22124046	0	1950987	354329	1219671
SRR957446	ear_6-8	B73	NA	2	24259731	23969296	0	0	290435	21749932	1251799	967565	19697718	0	1735114	317100	1095078
SRR957447	ear_6-8	B73	NA	3	17690157	17323160	0	0	366997	13714180	803216	2805764	12415531	0	1093411	205238	2888982
SRR957448	ear_2-4	B73	NA	1	26746096	26384435	0	0	361661	22447811	1262730	2673894	20566269	0	1536659	344883	2784158
SRR957449	ear_2-4	B73	NA	2	27161974	26798193	0	0	363781	22869232	2401230	1527731	20958381	0	1588151	322700	2729059
SRR957450	ear_2-4	B73	NA	3	29296140	28913218	0	0	382922	25869574	2189267	854377	23519734	0	1966157	383683	1683144
SRR957451	root_mz	B73	NA	1	24907859	24532090	0	0	375769	19332391	3193982	2005717	17909994	0	1133292	289105	4029296
SRR957452	root_ez	B73	NA	1	25096136	24657452	0	0	438684	18299550	4669093	1688809	16854541	0	1188919	256090	5336740
SRR957453	root_cortex	B73	NA	1	23518174	23158411	0	0	359763	18872002	1753535	2532874	16490177	0	2046302	335523	3667681
