SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR5691388	leaf	PHN11	S	1	TRUE	6952614	6935670	16944	0	0	0	0	0	0	0	0	0	0	0	0	6935670	0	0	2149811	223817	144579	1816217	4785859	105609	0	53704	64504	4785859
SRR5691477	leaf	PHN11	S	2	TRUE	35886940	34950744	936196	34950744	0	0	32956743	31394442	13570713	14022493	0	0	0	0	1994001	0	0	0	0	0	0	0	0	28969072	4167143	1925918	499452	1994001
SRR7477329	leaf	W10007_0016	NA	1	TRUE	31547025	31090885	456140	31090885	0	0	29846479	28709652	12286114	12645745	0	0	0	0	1244406	0	0	0	0	0	0	0	0	27378308	2853414	1000862	330482	1244406
SRR7477330	leaf	PHEM9	NA	1	TRUE	28564496	28222995	341501	28222995	0	0	27183144	26118836	12019092	12380225	0	0	0	0	1039851	0	0	0	0	0	0	0	0	24624642	2752948	1196505	297689	1039851
SRR7477331	leaf	W10002_0001	NA	1	TRUE	26099173	25705462	393711	25705462	0	0	24464560	23488856	10999398	11357244	0	0	0	0	1240902	0	0	0	0	0	0	0	0	22233295	2524028	990033	265528	1240902
SRR7477332	leaf	LH284	NA	1	TRUE	24014667	23765381	249286	23765381	0	0	22525851	21686396	10108109	10385825	0	0	0	0	1239530	0	0	0	0	0	0	0	0	20573939	2290782	875857	236600	1239530
SRR7477333	leaf	Oh3167B	NA	1	TRUE	26053269	25625141	428128	25625141	0	0	24431476	23497546	10814132	11134525	0	0	0	0	1193665	0	0	0	0	0	0	0	0	22304100	2337129	920215	273231	1193665
SRR7477334	leaf	W10001_0040	NA	1	TRUE	30326193	29878751	447442	29878751	0	0	28492730	27320758	12128446	12508450	0	0	0	0	1386021	0	0	0	0	0	0	0	0	25666821	3080866	1355132	298805	1386021
SRR7477335	leaf	LH250	NA	1	TRUE	27249799	26998171	251628	26998171	0	0	25795608	24813010	11310421	11656932	0	0	0	0	1202563	0	0	0	0	0	0	0	0	23583250	2610925	952767	276993	1202563
SRR7477336	leaf	NP899	NA	1	TRUE	24632806	24316999	315807	24316999	0	0	23343126	22459427	10781213	11100217	0	0	0	0	973873	0	0	0	0	0	0	0	0	21279374	2232839	937701	242352	973873
SRR7477337	leaf	PHR61	NA	1	TRUE	27091751	26735860	355891	26735860	0	0	25513841	24571626	13581568	13998335	0	0	0	0	1222019	0	0	0	0	0	0	0	0	23063846	2397962	1198403	309377	1222019
SRR7477338	leaf	NP901	NA	1	TRUE	27261616	26781240	480376	26781240	0	0	25545686	24812366	18229236	18709041	0	0	0	0	1235554	0	0	0	0	0	0	0	0	23381331	1895368	1136381	294654	1235554
SRR7477339	leaf	PHTD5	NA	1	TRUE	26534016	26129923	404093	26129923	0	0	24846330	23872475	10238606	10525583	0	0	0	0	1283593	0	0	0	0	0	0	0	0	22404046	2547919	1206249	262180	1283593
SRR7477340	leaf	LH189Ht	NA	1	TRUE	21434111	21223673	210438	21223673	0	0	20177910	19432003	9124824	9371394	0	0	0	0	1045763	0	0	0	0	0	0	0	0	18392859	1937226	818782	220362	1045763
SRR7477341	leaf	W10001_0047	NA	1	TRUE	27182864	26878443	304421	26878443	0	0	26084161	25271230	15833933	16259122	0	0	0	0	794282	0	0	0	0	0	0	0	0	23955620	2115635	1040279	275331	794282
SRR7477342	leaf	PHKM5	NA	1	TRUE	26194864	25803812	391052	25803812	0	0	24285512	23284345	10303845	10656561	0	0	0	0	1518300	0	0	0	0	0	0	0	0	21900575	2714924	1113000	270770	1518300
SRR7477343	leaf	LH186	NA	1	TRUE	23938627	23609009	329618	23609009	0	0	22600189	21761e3	9367249	9609124	0	0	0	0	1008820	0	0	0	0	0	0	0	0	20630471	2154396	882819	247710	1008820
SRR7477344	leaf	LH219	NA	1	TRUE	22546647	22238257	308390	22238257	0	0	20668680	19753156	8250333	8498662	0	0	0	0	1569577	0	0	0	0	0	0	0	0	18521181	2619921	975409	256566	1569577
SRR7477345	leaf	W616S	NA	1	TRUE	27365437	27058596	306841	27058596	0	0	26149391	25390066	16541205	16968121	0	0	0	0	909205	0	0	0	0	0	0	0	0	24175008	1939625	944080	270978	909205
SRR7477346	leaf	BCC03	NA	1	TRUE	26188728	25979208	209520	25979208	0	0	24858519	23867519	9886775	10189076	0	0	0	0	1120689	0	0	0	0	0	0	0	0	22654458	2561147	938431	274630	1120689
SRR7477347	leaf	WD456	NA	1	TRUE	26520323	26112442	407881	26112442	0	0	24892875	23902056	10807927	11126638	0	0	0	0	1219567	0	0	0	0	0	0	0	0	22550639	2561554	1079335	272082	1219567
SRR7477348	leaf	PHK46	NA	1	TRUE	27046550	26683810	362740	26683810	0	0	25415529	24423890	11015145	11336158	0	0	0	0	1268281	0	0	0	0	0	0	0	0	23146743	2546341	1002812	274335	1268281
SRR7477349	leaf	LH175	NA	1	TRUE	24591104	24320325	270779	24320325	0	0	23127694	22173285	10329295	10670229	0	0	0	0	1192631	0	0	0	0	0	0	0	0	20725869	2546820	1217263	230153	1192631
SRR7477350	leaf	W10001-0022	NA	1	TRUE	26884454	26436521	447933	26436521	0	0	25005985	24019208	10289768	10608296	0	0	0	0	1430536	0	0	0	0	0	0	0	0	22662714	2571041	1089252	267242	1430536
SRR7477351	leaf	PHTE4	NA	1	TRUE	28245967	27895083	350884	27895083	0	0	26954118	25961531	12927536	13294217	0	0	0	0	940965	0	0	0	0	0	0	0	0	24602346	2596468	1065948	293237	940965
SRR7477352	leaf	Mo18W	NA	1	TRUE	29368622	28943782	424840	28943782	0	0	27460477	26355951	11054165	11403942	0	0	0	0	1483305	0	0	0	0	0	0	0	0	24829964	2826143	1221971	304016	1483305
SRR7477353	leaf	W10001_0003	NA	1	TRUE	29524945	29078207	446738	29078207	0	0	27447344	26226517	11056081	11439081	0	0	0	0	1630863	0	0	0	0	0	0	0	0	24477749	3211916	1417350	331418	1630863
SRR7477354	leaf	W10001_0018	NA	1	TRUE	27666476	27234056	432420	27234056	0	0	26084299	25037872	10394763	10757276	0	0	0	0	1149757	0	0	0	0	0	0	0	0	23657214	2634545	1051178	329480	1149757
SRR7477355	leaf	Fe	NA	1	TRUE	26277254	26015917	261337	26015917	0	0	25134535	24206127	11635794	11970826	0	0	0	0	881382	0	0	0	0	0	0	0	0	22994097	2378950	953697	258333	881382
SRR7477356	leaf	W10002_0004	NA	1	TRUE	27020025	26633768	386257	26633768	0	0	25250427	24200091	10942773	11246224	0	0	0	0	1383341	0	0	0	0	0	0	0	0	22720119	2752167	1187457	292515	1383341
SRR7477357	leaf	LH169Ht	NA	1	TRUE	24528193	24256705	271488	24256705	0	0	23257958	22311075	10481343	10818383	0	0	0	0	998747	0	0	0	0	0	0	0	0	20955810	2457380	1106807	248458	998747
SRR7477358	leaf	W10001_0007	NA	1	TRUE	27326235	26922961	403274	26922961	0	0	25931144	24868490	11209879	11523742	0	0	0	0	991817	0	0	0	0	0	0	0	0	23568539	2712845	1011592	288359	991817
SRR7477359	leaf	W615S	NA	1	TRUE	25116853	24704721	412132	24704721	0	0	23617413	22845401	13014262	13374016	0	0	0	0	1087308	0	0	0	0	0	0	0	0	21579134	2019624	1004423	261844	1087308
SRR7477360	leaf	ND287	NA	1	TRUE	22179431	21895029	284402	21895029	0	0	20781376	19899766	8818863	9063113	0	0	0	0	1113653	0	0	0	0	0	0	0	0	18698042	2330343	972155	229569	1113653
SRR7477361	leaf	LH200	NA	1	TRUE	27003132	26696014	307118	26696014	0	0	25770559	24991775	16770678	17235651	0	0	0	0	925455	0	0	0	0	0	0	0	0	23384331	2057127	1339235	268209	925455
SRR7477362	leaf	PHAA0	NA	1	TRUE	23758220	23469566	288654	23469566	0	0	22494874	21577099	10448811	10783168	0	0	0	0	974692	0	0	0	0	0	0	0	0	20223182	2429510	1126607	227310	974692
SRR7477363	leaf	Mo13	NA	1	TRUE	23965112	23732846	232266	23732846	0	0	22733101	21827352	9507355	9802157	0	0	0	0	999745	0	0	0	0	0	0	0	0	20698292	2321366	886367	242693	999745
SRR7477364	leaf	PHP38	NA	1	TRUE	25030013	24659149	370864	24659149	0	0	22988224	22019095	11283330	11677126	0	0	0	0	1670925	0	0	0	0	0	0	0	0	20622699	2467343	1105155	291241	1670925
SRR7477365	leaf	AM0776	NA	1	TRUE	21193975	20916013	277962	20916013	0	0	19693764	18872547	8318249	8602713	0	0	0	0	1222249	0	0	0	0	0	0	0	0	17737186	2108044	898769	236592	1222249
SRR7477366	leaf	PHEW7	NA	1	TRUE	24416255	24160384	255871	24160384	0	0	23060355	22153785	12627298	13033852	0	0	0	0	1100029	0	0	0	0	0	0	0	0	20712617	2410209	1164875	276293	1100029
SRR7477367	leaf	PHN11-PHG47-071	NA	1	TRUE	26434195	25946950	487245	25946950	0	0	25029888	23993170	10684285	11058108	0	0	0	0	917062	0	0	0	0	0	0	0	0	22697968	2829948	994876	300326	917062
SRR7477368	leaf	PH5HK	NA	1	TRUE	24484064	24207800	276264	24207800	0	0	22820870	21880987	10006772	10343077	0	0	0	0	1386930	0	0	0	0	0	0	0	0	20583331	2387296	1025970	271686	1386930
SRR7477369	leaf	W10001_0030	NA	1	TRUE	27298434	27000483	297951	27000483	0	0	25575455	24374143	10779402	11221055	0	0	0	0	1425028	0	0	0	0	0	0	0	0	22628823	3186752	1442269	303051	1425028
SRR7477370	leaf	LH167	NA	1	TRUE	22954749	22669600	285149	22669600	0	0	21298528	20459622	9123408	9431316	0	0	0	0	1371072	0	0	0	0	0	0	0	0	19422580	2387373	801451	235591	1371072
SRR7477371	leaf	W10001_0012	NA	1	TRUE	23883041	23623721	259320	23623721	0	0	22435576	21534464	9138664	9417239	0	0	0	0	1188145	0	0	0	0	0	0	0	0	20318021	2383027	964162	252281	1188145
SRR7477372	leaf	W10001_0031	NA	1	TRUE	28316462	27865526	450936	27865526	0	0	26437082	25394592	11271939	11611081	0	0	0	0	1428444	0	0	0	0	0	0	0	0	23997947	2729224	1103508	293137	1428444
SRR7477373	leaf	LH217	NA	1	TRUE	20935991	20697326	238665	20697326	0	0	19844309	19054514	8559348	8797483	0	0	0	0	853017	0	0	0	0	0	0	0	0	17907766	2097928	931063	215685	853017
SRR7477374	leaf	Tr9-1-1-6	NA	1	TRUE	24342047	24046642	295405	24046642	0	0	22962089	22022176	10270619	10612125	0	0	0	0	1084553	0	0	0	0	0	0	0	0	20886717	2431590	873676	261783	1084553
SRR7477375	leaf	B73-1	NA	1	TRUE	23980433	23647315	333118	23647315	0	0	22745391	22159733	18382678	18858241	0	0	0	0	901924	0	0	0	0	0	0	0	0	21027210	1502999	882760	249763	901924
SRR7477376	leaf	OQ601	NA	1	TRUE	23881683	23634202	247481	23634202	0	0	22673607	21799023	10298059	10637114	0	0	0	0	960595	0	0	0	0	0	0	0	0	20681547	2265469	874680	242796	960595
SRR7477377	leaf	ZS1791	NA	1	TRUE	31055280	30616712	438568	30616712	0	0	29734451	28819384	20036915	20596189	0	0	0	0	882261	0	0	0	0	0	0	0	0	27377622	2337322	1066038	375724	882261
SRR7477378	leaf	PHFA5	NA	1	TRUE	25990231	25656553	333678	25656553	0	0	24463903	23474077	9655654	9953222	0	0	0	0	1192650	0	0	0	0	0	0	0	0	22130046	2461498	1077573	266458	1192650
SRR7477379	leaf	W10001_0010	NA	1	TRUE	25683497	25263012	420485	25263012	0	0	23929164	22870370	9288281	9607326	0	0	0	0	1333848	0	0	0	0	0	0	0	0	21370717	2690042	1219376	280277	1333848
SRR7477380	leaf	LH299	NA	1	TRUE	26548502	26261821	286681	26261821	0	0	25080779	24086548	9947091	10254706	0	0	0	0	1181042	0	0	0	0	0	0	0	0	22701480	2535413	1124330	260738	1181042
