SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
BR001	blade_v12	B73	NA	1	9456463	9367415	80085	6666	2297	9367415	0	0	9221557	8580750	8150868	8758491	79874	68636	63155	73558	65984	86751	0	0	81735	74156	68307	75216	5016	7975270	2924678	612967	55382	65984
BR002	blade_v12	B73	NA	2	10614657	10530486	74553	7292	2326	10530486	0	0	10376869	9787417	9305182	9865214	85205	73681	67819	78342	68412	81845	0	0	78110	71564	65366	71349	3735	9110092	2283012	672343	70646	68412
BR003	blade_v12	Mo17	NA	1	9456508	9374216	72991	7132	2169	9374216	0	0	8644316	8162194	7533314	7940603	558900	493666	443381	492278	171e3	80123	0	0	72693	66142	59885	65574	7430	7897321	2339733	570702	135355	171000
BR004	blade_v12	B73	NA	3	10983851	10894598	78702	7779	2772	10894598	0	0	10717646	10023117	9526303	10185840	87459	74461	68600	80752	89493	86481	0	0	82114	74716	68228	74990	4367	9219419	2937642	798960	71377	89493
BR005	blade_v12	Mo17	NA	2	9878003	9791778	77153	6660	2412	9791778	0	0	9059769	8478151	7831609	8331092	559978	495683	445063	493129	172031	83813	0	0	76243	69152	62810	68978	7570	8228225	2977777	602792	100591	172031
BR006	blade_v12	B73xMo17	NA	1	13109236	13005210	90620	8470	4936	13005210	0	0	12386889	10900435	10216569	11581390	432673	372089	332277	379843	185648	99090	0	0	89107	77441	70748	80999	9983	10064509	9363335	905953	210557	185648
BR007	blade_v12	Mo17	NA	3	10136440	10049207	76991	7381	2861	10049207	0	0	9469634	4170483	3856097	8848366	309006	244217	219823	273771	270567	84372	0	0	58280	31932	28911	52016	26092	3880401	40075712	436181	48261	270567
BR008	blade_v12	B73xMo17	NA	2	9958057	9762863	181164	8252	5778	9762863	0	0	8957709	7970058	7431060	8332758	350894	299090	267215	307596	454260	189416	0	0	103122	90283	83493	95037	86294	7441407	5917693	710932	81265	454260
BR009	blade_v12	B73xMo17	NA	3	10368573	10283237	75572	7064	2700	10283237	0	0	9784082	9058147	8494890	9153186	343308	297712	267504	302823	155847	82636	0	0	76772	69024	62814	69679	5864	8548921	3636932	667490	102719	155847
BR010	auricle_v12	B73	NA	1	12161908	12062687	87438	7850	3933	12062687	0	0	11743194	11138449	10584248	11159807	96510	86934	79788	88691	222983	95288	0	0	89735	82476	75904	82545	5553	10310104	2160826	750611	147423	222983
BR011	auricle_v12	B73	NA	2	8756804	8681487	67825	5965	1527	8681487	0	0	8483470	7970219	7559514	8046473	71667	63699	58387	65762	126350	73790	0	0	69366	63588	58381	63627	4424	7385991	2283077	556304	83803	126350
BR012	auricle_v12	B73	NA	3	9205753	9115520	80662	7412	2159	9115520	0	0	8969341	8523807	8059776	8481645	79295	71748	65263	72232	66884	88074	0	0	84040	77616	70945	76773	4034	7957480	1713067	477630	141191	66884
BR013	auricle_v12	Mo17	NA	1	12629990	12534713	81900	8846	4531	12534713	0	0	11581508	8587366	7902293	10680027	626441	546810	484420	544958	326764	90746	0	0	68674	57580	52146	61369	22072	8051962	25737046	800758	173777	326764
BR014	auricle_v12	Mo17	NA	2	12106840	12015331	80521	7799	3189	12015331	0	0	11038507	10279293	9453854	10100812	724476	645616	570869	628497	252348	88320	0	0	78944	71341	64414	70914	9376	9675289	4044785	913336	252242	252348
