SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm001	Leaf	Q381	NA	1	TRUE	40669166	31086001	9530017	33493	19655	36532206	2051048	2066257	25991939	4768810	1444717	314934	2034309
bm002	Leaf	PHW65	NA	1	TRUE	32500547	27019815	5443470	25926	11336	29417069	1580646	1491496	22968019	3534555	1196051	285042	1412392
bm003	Leaf	PHN11	NA	1	TRUE	30895892	26501271	4360793	24524	9304	28455382	1390038	1041168	48963227	0	3233727	637609	2308949
bm004	Leaf	PHJ40	NA	1	TRUE	33788185	28269910	5478017	28129	12129	30549589	1548189	1678278	23905177	3636683	1350815	291053	1570117
bm005	Leaf	PHG83	NA	1	TRUE	32899288	27824183	5038150	26632	10323	30862681	1219089	807195	24363441	2700768	1410828	294126	909700
bm006	Leaf	PHG72	NA	1	TRUE	34337274	28310277	5980861	31888	14248	31025046	1710844	1587136	23862826	4037918	1418536	293286	1512882
bm007	Leaf	PHG50	NA	1	TRUE	32738829	27713766	4987489	26287	11287	30082185	1696274	949083	23771095	3973822	1385981	295993	1026261
bm008	Internode	LH156	NA	1	TRUE	39738168	34738248	4959619	30593	9708	36726249	1654489	1347722	30000526	3850842	1750173	370305	1344861
bm009	Seedling	LH85	NA	1	TRUE	36429270	30090129	6295038	31762	12341	32941302	2117925	1357702	25158798	4967324	1613425	377276	1415484
bm010	Leaf	AS5707	NA	1	TRUE	36114044	31192625	4878285	30928	12206	32801652	1867446	1432740	26628785	4295610	1363866	339966	1449077
bm011	Endosperm	LH85	NA	1	TRUE	31623557	18432840	13150641	18621	21455	26181841	3848961	1571300	36752405	0	3536598	833556	3372077
bm012	Leaf	PHG47	NA	1	TRUE	37183997	30473469	6671067	28046	11415	33995183	1769846	1407553	25971412	4245196	1490223	333581	1367189
bm013	Leaf	PHG39	NA	1	TRUE	35313178	28254883	6994714	43246	20335	31493121	1695077	2104645	23411925	3977852	1419960	308091	1926854
bm014	Leaf	PHG35	NA	1	TRUE	42208224	35335877	6822720	35003	14624	38711931	2138706	1342963	65993016	0	4187927	912240	2935176
bm015	Endosperm	LH156	NA	1	TRUE	34675959	26368210	8257935	32752	17062	29905907	3108514	1644476	20572080	7967650	1540003	618432	1479261
bm016	Leaf	PHG29	NA	1	TRUE	41542142	35746527	5748149	34817	12649	37712763	1983065	1833665	30530848	4499213	1559391	344344	1862452
bm017	Leaf	PHB47	NA	1	TRUE	35658541	30812023	4808238	28535	9745	32983028	1580032	1085736	26629793	3672187	1515737	334732	1123472
bm018	Leaf	PH207	NA	1	TRUE	29481780	24654211	4794602	23404	9563	26742219	1450324	1279674	20824029	3461197	1269598	259404	1265855
bm019	Leaf	Oh43	NA	1	TRUE	32509709	22368994	10102764	21365	16586	29635983	1607273	1249867	19104265	3805222	953080	247705	1102791
bm020	Leaf	Ny821	NA	1	TRUE	28612453	25238824	3338285	27297	8047	25814914	1526743	1262749	20970410	3713553	1559676	241513	1280499
bm021	Leaf	NKS8326	NA	1	TRUE	34223094	26124542	8060831	25001	12720	31226910	1669849	1313615	22252585	3956584	1236164	286163	1255761
bm022	Leaf	NKH8431	NA	1	TRUE	34902482	29576116	5285482	29909	10975	32398289	1260881	1232337	25638057	2903623	1451639	319790	1233940
