SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
A01	leaf_2	B73	day9_11am_control	1	2569273	2528694	40579	0	0	0	0	0	0	0	0	0	0	0	0	2528694	0	0	2268938	1746651	1195020	1502181	259756	1324592	0	389756	32303	259756
A02	leaf_2	B73	day10_4pm_control	1	4895743	4856401	39342	0	0	0	0	0	0	0	0	0	0	0	0	4856401	0	0	4532665	4141599	2866984	3107378	323736	3035541	0	1036540	69518	323736
A03	leaf_2	B73	day9_4pm_cold	1	6042528	5970798	71730	0	0	0	0	0	0	0	0	0	0	0	0	5970798	0	0	5639052	5042950	3496580	3865440	331746	3730326	0	1224745	87879	331746
A04	leaf_2	B73	day11_11am_cold	1	6354746	6292367	62379	0	0	0	0	0	0	0	0	0	0	0	0	6292367	0	0	5892453	5251392	3650510	4043294	399914	3690209	0	1481509	79674	399914
A05	leaf_2	B73	day12_4pm_control	1	6291714	6220570	71144	0	0	0	0	0	0	0	0	0	0	0	0	6220570	0	0	5884864	5478071	3819055	4071741	335706	4059418	0	1321485	97168	335706
A06	leaf_2	B73	day15_4pm_control	1	8041159	7983162	57997	0	0	0	0	0	0	0	0	0	0	0	0	7983162	0	0	7424133	6900783	4392007	4694917	559029	5163062	0	1594569	143152	559029
A07	leaf_3	B73	day15_4pm_control	1	4693395	4624397	68998	0	0	0	0	0	0	0	0	0	0	0	0	4624397	0	0	4189288	3984336	2740184	2854088	435109	2958640	0	937586	88110	435109
A08	leaf_2	B73	day9_11am_control	2	3858046	3788587	69459	0	0	0	0	0	0	0	0	0	0	0	0	3788587	0	0	3299786	2983170	2048286	2202559	488801	2166674	0	760945	55551	488801
A09	leaf_2	B73	day11_4pm_cold	1	7884099	7803876	80223	0	0	0	0	0	0	0	0	0	0	0	0	7803876	0	0	7464977	6965959	4895410	5218411	338899	5328082	0	1482414	155463	338899
A10	leaf_2	B73	day11_11am_control	1	8531420	8454199	77221	0	0	0	0	0	0	0	0	0	0	0	0	8454199	0	0	8173067	7555320	5197715	5596594	281132	5768572	0	1651790	134958	281132
A11	leaf_2	B73	day11_4pm_control	1	4217072	4184806	32266	0	0	0	0	0	0	0	0	0	0	0	0	4184806	0	0	4027889	3870110	2688907	2794308	156917	2917918	0	890562	61630	156917
A12	leaf_2	B73	day9_4pm_cold	2	2554061	2533538	20523	0	0	0	0	0	0	0	0	0	0	0	0	2533538	0	0	2393834	1965972	1341152	1609371	139704	1480651	0	452924	32397	139704
B01	leaf_2	B73	day9_11am_control	3	6924938	6849548	75390	0	0	0	0	0	0	0	0	0	0	0	0	6849548	0	0	6375461	5828132	3995211	4320268	474087	4356536	0	1364957	106639	474087
B02	leaf_2	B73	day10_4pm_control	2	3960518	3927216	33302	0	0	0	0	0	0	0	0	0	0	0	0	3927216	0	0	3690696	3377279	2356809	2551421	236520	2451984	0	868980	56315	236520
B03	leaf_2	B73	day9_4pm_cold	3	41612	39309	2303	0	0	0	0	0	0	0	0	0	0	0	0	39309	0	0	24337	18060	9973	12585	14972	13080	0	4644	336	14972
