SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR611806	Leaf	B73	Liu2013_T00	1	TRUE
SRR611807	Leaf	B73	Liu2013_T00	2	TRUE
SRR611822	Leaf	B73	Liu2013_T06	1	TRUE
SRR611823	Leaf	B73	Liu2013_T06	2	TRUE
SRR611834	Leaf	B73	Liu2013_T12	1	TRUE
SRR611835	Leaf	B73	Liu2013_T12	2	TRUE
SRR611836	Leaf	B73	Liu2013_T18	1	TRUE
SRR611837	Leaf	B73	Liu2013_T18	2	TRUE
SRR611838	Leaf	B73	Liu2013_T24	1	TRUE
SRR611839	Leaf	B73	Liu2013_T24	2	TRUE
SRR616188	Leaf	B73	Liu2013_T30	1	TRUE
SRR616189	Leaf	B73	Liu2013_T30	2	TRUE
SRR616190	Leaf	B73	Liu2013_T36	1	TRUE
SRR616191	Leaf	B73	Liu2013_T36	2	TRUE
SRR616192	Leaf	B73	Liu2013_T42	1	TRUE
SRR616193	Leaf	B73	Liu2013_T42	2	TRUE
SRR616194	Leaf	B73	Liu2013_T48	1	TRUE
SRR616195	Leaf	B73	Liu2013_T48	2	TRUE
SRR616196	Leaf	B73	Liu2013_T54	1	TRUE
SRR616197	Leaf	B73	Liu2013_T54	2	TRUE
SRR616248	Leaf	B73	Liu2013_T60	1	TRUE
SRR616249	Leaf	B73	Liu2013_T60	2	TRUE
SRR616250	Leaf	B73	Liu2013_T66	1	TRUE
SRR616251	Leaf	B73	Liu2013_T66	2	TRUE
SRR616252	Leaf	B73	Liu2013_T72	1	TRUE
SRR616253	Leaf	B73	Liu2013_T72	2	TRUE
SRR1507198	Leaf	B73	Yu2015_T084	1	TRUE
SRR1507199	Leaf	B73	Yu2015_T096	1	TRUE
SRR1507200	Leaf	B73	Yu2015_T108	1	TRUE
SRR1507201	Leaf	B73	Yu2015_T120	1	TRUE
SRR1507202	Leaf	B73	Yu2015_T132	1	TRUE
SRR1507203	Leaf	B73	Yu2015_T144	1	TRUE
SRR1507204	Leaf	B73	Yu2015_T156	1	TRUE
SRR1507205	Leaf	B73	Yu2015_T168	1	TRUE
SRR1507206	Leaf	B73	Yu2015_T192	1	TRUE
