SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
ERR712351	leaf	B73		1	m001	TRUE	11946860	202
ERR712354	leaf	B73		2	m001	TRUE	26216174	202
ERR712356	leaf	H99		1	m002	TRUE	20351257	202
ERR712357	leaf	H99		2	m002	TRUE	16870866	202
ERR712362	leaf	H99		3	m002	TRUE	21132793	202
ERR712365	leaf	B73		3	m001	TRUE	17549590	202
ERR965561	leaf	RIL100		1	m003	TRUE	16679423	202
ERR965562	leaf	RIL103		1	m004	TRUE	15220229	202
ERR965563	leaf	RIL104		1	m005	TRUE	19421466	202
ERR965564	leaf	RIL105		1	m006	TRUE	15451404	202
ERR965565	leaf	RIL106		1	m007	TRUE	15403500	202
ERR965566	leaf	RIL107		1	m008	TRUE	16349903	202
ERR965567	leaf	RIL109		1	m009	TRUE	14926036	202
ERR965568	leaf	RIL11		1	m010	TRUE	24137807	202
ERR965569	leaf	RIL111		1	m011	TRUE	17602078	202
ERR965570	leaf	RIL113		1	m012	TRUE	14611267	202
ERR965571	leaf	RIL114		1	m013	TRUE	17477290	202
ERR965572	leaf	RIL115		1	m014	TRUE	17250569	202
ERR965573	leaf	RIL116		1	m015	TRUE	17862148	202
ERR965574	leaf	RIL117		1	m016	TRUE	18786608	202
ERR965575	leaf	RIL118		1	m017	TRUE	17103137	202
ERR965576	leaf	RIL119		1	m018	TRUE	15223775	202
ERR965577	leaf	RIL120		1	m019	TRUE	17504063	202
ERR965578	leaf	RIL121		1	m020	TRUE	18665137	202
ERR965579	leaf	RIL122		1	m021	TRUE	64041310	202
ERR965580	leaf	RIL123		1	m022	TRUE	18893986	202
ERR965581	leaf	RIL124		1	m023	TRUE	17465149	202
ERR965582	leaf	RIL125		1	m024	TRUE	18247066	202
ERR965583	leaf	RIL126		1	m025	TRUE	14249130	202
ERR965584	leaf	RIL127		1	m026	TRUE	19321726	202
ERR965585	leaf	RIL128		1	m027	TRUE	20180721	202
ERR965586	leaf	RIL13		1	m028	TRUE	19418904	202
ERR965587	leaf	RIL130		1	m029	TRUE	17909942	202
ERR965588	leaf	RIL131		1	m030	TRUE	21401916	202
ERR965589	leaf	RIL132		1	m031	TRUE	19986284	202
ERR965590	leaf	RIL133		1	m032	TRUE	23098013	202
ERR965591	leaf	RIL134		1	m033	TRUE	16455645	202
ERR965592	leaf	RIL135		1	m034	TRUE	16448268	202
ERR965593	leaf	RIL136		1	m035	TRUE	17358435	202
ERR965594	leaf	RIL137		1	m036	TRUE	19428755	202
ERR965595	leaf	RIL138		1	m037	TRUE	31072105	202
ERR965596	leaf	RIL138		2	m037	TRUE	27325420	202
ERR965597	leaf	RIL139		1	m038	TRUE	13817660	202
ERR965598	leaf	RIL140		1	m039	TRUE	20774963	202
ERR965599	leaf	RIL141		1	m040	TRUE	16359922	202
ERR965600	leaf	RIL16		1	m041	TRUE	18342007	202
ERR965601	leaf	RIL17		1	m042	TRUE	22960626	202
ERR965602	leaf	RIL18		1	m043	TRUE	19590359	202
ERR965603	leaf	RIL19		1	m044	TRUE	27095073	202
ERR965604	leaf	RIL23		1	m045	TRUE	21162816	202
ERR965605	leaf	RIL25		1	m046	TRUE	17315333	202
ERR965606	leaf	RIL26		1	m047	TRUE	20705089	202
ERR965607	leaf	RIL27		1	m048	TRUE	17757664	202
ERR965608	leaf	RIL29		1	m049	TRUE	15820434	202
ERR965609	leaf	RIL30		1	m050	TRUE	17527906	202
ERR965610	leaf	RIL32		1	m051	TRUE	15721050	202
ERR965611	leaf	RIL33		1	m052	TRUE	16956756	202
ERR965612	leaf	RIL36		1	m053	TRUE	21697757	202
ERR965613	leaf	RIL37		1	m054	TRUE	14404978	202
ERR965614	leaf	RIL38		1	m055	TRUE	17656427	202
ERR965615	leaf	RIL39		1	m056	TRUE	12151876	202
ERR965616	leaf	RIL40		1	m057	TRUE	21573773	202
ERR965617	leaf	RIL42		1	m058	TRUE	18996963	202
ERR965618	leaf	RIL43		1	m059	TRUE	16304671	202
ERR965619	leaf	RIL44		1	m060	TRUE	24105616	202
