SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
ERR990434	leaf	B73	0	1	m1	TRUE	13415283	202
ERR990435	leaf	B73	0	2	m1	TRUE	13034258	202
ERR990436	leaf	B73	0	3	m1	TRUE	13262042	202
ERR990437	leaf	B73	0	4	m1	TRUE	13494105	202
ERR990438	leaf	B73	0	5	m1	TRUE	13115337	202
ERR990439	leaf	B73	0	6	m1	TRUE	13351255	202
ERR990440	leaf	B73	0	7	m1	TRUE	12567690	202
ERR990441	leaf	B73	0	8	m1	TRUE	12315901	202
ERR990442	leaf	B73	0	9	m1	TRUE	12581358	202
ERR990443	leaf	B73	120	1	m2	TRUE	19857282	202
ERR990444	leaf	B73	120	2	m2	TRUE	19374296	202
ERR990445	leaf	B73	120	3	m2	TRUE	19767504	202
ERR990446	leaf	B73	120	4	m2	TRUE	17308748	202
ERR990447	leaf	B73	120	5	m2	TRUE	16891576	202
ERR990448	leaf	B73	120	6	m2	TRUE	17219454	202
ERR990449	leaf	B73	120	7	m2	TRUE	21061879	202
ERR990450	leaf	B73	120	8	m2	TRUE	20434287	202
ERR990451	leaf	B73	120	9	m2	TRUE	20812536	202
ERR990452	leaf	B73	24	1	m3	TRUE	13023364	202
ERR990453	leaf	B73	24	2	m3	TRUE	12707799	202
ERR990454	leaf	B73	24	3	m3	TRUE	12953572	202
ERR990455	leaf	B73	24	4	m3	TRUE	15324705	202
ERR990456	leaf	B73	24	5	m3	TRUE	14950515	202
ERR990457	leaf	B73	24	6	m3	TRUE	15220344	202
ERR990458	leaf	B73	24	7	m3	TRUE	13573063	202
ERR990459	leaf	B73	24	8	m3	TRUE	13261039	202
ERR990460	leaf	B73	24	9	m3	TRUE	13555009	202
ERR990461	leaf	B73	48	1	m4	TRUE	12171580	202
ERR990462	leaf	B73	48	2	m4	TRUE	11910674	202
ERR990463	leaf	B73	48	3	m4	TRUE	12160144	202
ERR990464	leaf	B73	48	4	m4	TRUE	17347374	202
ERR990465	leaf	B73	48	5	m4	TRUE	16939105	202
ERR990466	leaf	B73	48	6	m4	TRUE	17288292	202
ERR990467	leaf	B73	48	7	m4	TRUE	19084650	202
ERR990468	leaf	B73	48	8	m4	TRUE	18579428	202
ERR990469	leaf	B73	48	9	m4	TRUE	18929315	202
ERR990473	leaf	GJ	0	1	m5	TRUE	20439918	202
ERR990474	leaf	GJ	0	2	m5	TRUE	19348201	202
ERR990475	leaf	GJ	0	3	m5	TRUE	20963185	202
ERR990476	leaf	GJ	0	4	m5	TRUE	25627150	202
ERR990477	leaf	GJ	0	5	m5	TRUE	25771132	202
ERR990478	leaf	GJ	0	6	m5	TRUE	16281632	202
ERR990479	leaf	GJ	0	7	m5	TRUE	15399362	202
ERR990480	leaf	GJ	0	8	m5	TRUE	16684388	202
ERR990481	leaf	GJ	0	9	m5	TRUE	20345652	202
ERR990482	leaf	GJ	0	10	m5	TRUE	20464134	202
ERR990483	leaf	GJ	0	11	m5	TRUE	18832236	202
ERR990484	leaf	GJ	0	12	m5	TRUE	17883710	202
ERR990485	leaf	GJ	0	13	m5	TRUE	19356329	202
ERR990486	leaf	GJ	0	14	m5	TRUE	23483308	202
ERR990487	leaf	GJ	0	15	m5	TRUE	23630899	202
ERR990488	leaf	GJ	120	1	m6	TRUE	63022633	200
ERR990489	leaf	GJ	120	2	m6	TRUE	66646556	200
ERR990490	leaf	GJ	120	3	m6	TRUE	64729159	200
ERR990491	leaf	GJ	24	1	m7	TRUE	12124746	202
ERR990492	leaf	GJ	24	2	m7	TRUE	11492804	202
ERR990493	leaf	GJ	24	3	m7	TRUE	12375447	202
ERR990494	leaf	GJ	24	4	m7	TRUE	15118623	202
ERR990495	leaf	GJ	24	5	m7	TRUE	15168115	202
ERR990496	leaf	GJ	24	6	m7	TRUE	10576369	202
ERR990497	leaf	GJ	24	7	m7	TRUE	10014049	202
ERR990498	leaf	GJ	24	8	m7	TRUE	10810854	202
ERR990499	leaf	GJ	24	9	m7	TRUE	13259262	202
ERR990500	leaf	GJ	24	10	m7	TRUE	13340570	202
ERR990501	leaf	GJ	24	11	m7	TRUE	12627862	202
ERR990502	leaf	GJ	24	12	m7	TRUE	11999433	202
ERR990503	leaf	GJ	24	13	m7	TRUE	12948751	202
ERR990504	leaf	GJ	24	14	m7	TRUE	15664672	202
ERR990505	leaf	GJ	24	15	m7	TRUE	15744563	202
ERR990506	leaf	GJ	48	1	m8	TRUE	14404366	202
ERR990507	leaf	GJ	48	2	m8	TRUE	13669958	202
ERR990508	leaf	GJ	48	3	m8	TRUE	14785154	202
ERR990509	leaf	GJ	48	4	m8	TRUE	18005134	202
ERR990510	leaf	GJ	48	5	m8	TRUE	18097615	202
ERR990511	leaf	GJ	48	6	m8	TRUE	12953331	202
ERR990512	leaf	GJ	48	7	m8	TRUE	12289351	202
ERR990513	leaf	GJ	48	8	m8	TRUE	13246904	202
ERR990514	leaf	GJ	48	9	m8	TRUE	16181286	202
ERR990515	leaf	GJ	48	10	m8	TRUE	16267051	202
ERR990516	leaf	GJ	48	11	m8	TRUE	14737117	202
ERR990517	leaf	GJ	48	12	m8	TRUE	13988995	202
ERR990518	leaf	GJ	48	13	m8	TRUE	15129528	202
ERR990519	leaf	GJ	48	14	m8	TRUE	18334907	202
ERR990520	leaf	GJ	48	15	m8	TRUE	18445191	202
