SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR3134928	root	P39		1	TRUE
SRR3134929	root	NC350		1	TRUE
SRR3134930	root	CML69		1	TRUE
SRR3134931	root	CML322		1	TRUE
SRR3134932	root	A5554		1	TRUE
SRR3134933	root	CML228		1	TRUE
SRR3134934	root	CML103		1	TRUE
SRR3134935	root	SC357		1	TRUE
SRR3134936	root	Ki44		1	TRUE
SRR3134938	root	F2834T		1	TRUE
SRR3134939	root	CML277		1	TRUE
SRR3134940	root	B76		1	TRUE
SRR3134941	root	CML341		1	TRUE
SRR3134942	root	MS71		1	TRUE
SRR3134943	root	HP301		1	TRUE
SRR3134944	root	KY21		1	TRUE
SRR3134945	root	CML158Q		1	TRUE
SRR3134946	root	M162W		1	TRUE
SRR3134947	root	T2I16		1	TRUE
SRR3134948	root	CML157Q		1	TRUE
SRR3134949	root	IL14H		1	TRUE
SRR3134950	root	M37W		1	TRUE
SRR3134951	root	Ki3		1	TRUE
SRR3134952	root	TX303		1	TRUE
SRR3134953	root	NC360		1	TRUE
SRR3134954	root	W64A		1	TRUE
SRR3134955	root	B57		1	TRUE
SRR3134956	root	B73		1	TRUE
SRR3134957	root	NC358		1	TRUE
SRR3134958	root	MO17		1	TRUE
SRR3134959	root	H84		1	TRUE
SRR3134960	root	MO18W		1	TRUE
SRR3134961	root	HY		1	TRUE
SRR3134962	root	U267Y		1	TRUE
SRR3134963	root	CML311		1	TRUE
SRR3134964	root	F70NY2011		1	TRUE
SRR3134965	root	B97		1	TRUE
SRR3134966	root	CMl333		1	TRUE
SRR3134967	root	OH40B		1	TRUE
SRR3134968	root	TZi8		1	TRUE
SRR3134969	root	OH7B		1	TRUE
SRR3134970	root	NC260		1	TRUE
SRR3134971	root	W22		1	TRUE
SRR3134972	root	CML108		1	TRUE
SRR3134973	root	KY228		1	TRUE
SRR3134974	root	Ki11		1	TRUE
SRR3134975	root	OH43		1	TRUE
