SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
BR001	blade_leaf	B73	v12	1	m01	TRUE	9456463	102
BR002	blade_leaf	B73	v12	2	m01	TRUE	10614657	102
BR003	blade_leaf	Mo17	v12	3	m01	TRUE	9456508	102
BR004	blade_leaf	B73	v12	1	m02	TRUE	10983851	102
BR005	blade_leaf	Mo17	v12	2	m02	TRUE	9878003	102
BR006	blade_leaf	B73xMo17	v12	3	m02	TRUE	13109236	102
BR007	blade_leaf	Mo17	v12	1	m03	TRUE	10136440	102
BR008	blade_leaf	B73xMo17	v12	2	m03	TRUE	9958057	102
BR009	blade_leaf	B73xMo17	v12	3	m03	TRUE	10368573	102
BR010	auricle	B73	v12	1	m04	TRUE	12161908	102
BR011	auricle	B73	v12	2	m04	TRUE	8756804	102
BR012	auricle	B73	v12	3	m04	TRUE	9205753	102
BR013	auricle	Mo17	v12	1	m05	TRUE	12629990	102
BR014	auricle	Mo17	v12	2	m05	TRUE	12106840	102
BR015	auricle	Mo17	v12	3	m05	TRUE	12789833	102
BR016	auricle	B73xMo17	v12	1	m06	TRUE	13001085	102
BR017	auricle	B73xMo17	v12	2	m06	TRUE	10302708	102
BR018	auricle	B73xMo17	v12	3	m06	TRUE	10717426	102
BR019	sheath	B73	v12	1	m07	TRUE	11363325	102
BR020	sheath	B73	v12	2	m07	TRUE	11653190	102
BR021	sheath	B73	v12	3	m07	TRUE	10397926	102
BR022	sheath	Mo17	v12	1	m08	TRUE	10300996	102
BR023	sheath	Mo17	v12	2	m08	TRUE	10610559	102
BR024	sheath	Mo17	v12	3	m08	TRUE	10818591	102
BR025	sheath	B73xMo17	v12	1	m09	TRUE	10460515	102
BR026	sheath	B73xMo17	v12	2	m09	TRUE	13454079	102
BR027	sheath	B73xMo17	v12	3	m09	TRUE	10947765	102
BR028	internode	B73	v12	1	m10	TRUE	11704246	102
BR029	internode	B73	v12	1	m11	TRUE	7280863	102
BR030	internode	B73	v12	2	m10	TRUE	11511692	102
BR031	internode	Mo17	v12	2	m11	TRUE	11675275	102
BR032	internode	Mo17	v12	3	m10	TRUE	18897584	102
BR033	internode	Mo17	v12	3	m11	TRUE	11763511	102
BR034	internode	B73xMo17	v12	1	m12	TRUE	11446013	102
BR035	internode	B73xMo17	v12	2	m12	TRUE	10813338	102
BR036	internode	B73xMo17	v12	3	m12	TRUE	12185937	102
BR037	tassel	B73	v12	1	m13	TRUE	11869598	102
BR038	tassel	B73	v12	2	m13	TRUE	13057367	102
BR039	tassel	B73	v12	3	m13	TRUE	11971434	102
BR040	tassel	Mo17	v12	1	m14	TRUE	10198649	102
BR041	tassel	Mo17	v12	2	m14	TRUE	9541534	102
BR042	tassel	Mo17	v12	3	m14	TRUE	12122651	102
BR043	tassel	B73xMo17	v12	1	m15	TRUE	11577660	102
BR044	tassel	B73xMo17	v12	2	m15	TRUE	9209055	102
BR045	tassel	B73xMo17	v12	3	m15	TRUE	11345207	102
BR046	ear	B73	v14	1	m16	TRUE	10279754	102
BR047	ear	B73	v14	2	m16	TRUE	10892889	102
BR048	ear	B73	v14	3	m16	TRUE	10423251	102
BR049	ear	Mo17	v14	1	m17	TRUE	11158750	102
BR050	ear	Mo17	v14	2	m17	TRUE	10615140	102
BR051	ear	Mo17	v14	3	m17	TRUE	10130338	102
BR052	ear	B73xMo17	v14	1	m18	TRUE	9779316	102
BR053	ear	B73xMo17	v14	2	m18	TRUE	10765471	102
BR054	ear	B73xMo17	v14	3	m18	TRUE	10866113	102
BR055	silk	B73	0DAP	1	m19	TRUE	10460214	102
BR056	silk	B73	0DAP	2	m19	TRUE	10094098	102
BR057	silk	B73	0DAP	3	m19	TRUE	9351362	102
BR058	silk	Mo17	0DAP	1	m20	TRUE	9154814	102
BR059	silk	Mo17	0DAP	2	m20	TRUE	9271623	102
BR060	silk	Mo17	0DAP	3	m20	TRUE	8610999	102
BR061	silk	B73xMo17	0DAP	1	m21	TRUE	12378233	102
BR062	silk	B73xMo17	0DAP	2	m21	TRUE	11117019	102
BR063	silk	B73xMo17	0DAP	3	m21	TRUE	12831768	102
BR064	spikelet	B73	0DAP	1	m22	TRUE	12862409	102
BR065	spikelet	B73	0DAP	2	m22	TRUE	13140565	102
BR066	spikelet	B73	0DAP	3	m22	TRUE	12366130	102
BR067	spikelet	Mo17	0DAP	1	m23	TRUE	12302995	102
BR068	spikelet	Mo17	0DAP	2	m23	TRUE	12364997	102
BR069	spikelet	Mo17	0DAP	3	m23	TRUE	12363396	102
BR070	spikelet	B73xMo17	0DAP	1	m24	TRUE	10329056	102
BR071	spikelet	B73xMo17	0DAP	2	m24	TRUE	12278485	102
BR072	spikelet	B73xMo17	0DAP	3	m24	TRUE	12426693	102
BR073	husk	B73	0DAP	1	m25	TRUE	12468897	102
BR074	husk	B73	0DAP	2	m25	TRUE	11486069	102
BR075	husk	B73	0DAP	3	m25	TRUE	11705643	102
BR076	husk	Mo17	0DAP	1	m26	TRUE	12818182	102
BR077	husk	Mo17	0DAP	2	m26	TRUE	12761502	102
