SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR6827490	seedling	NK792		1	TRUE
SRR6827491	seedling	CH711-10		1	TRUE
SRR6827492	seedling	W7151		1	TRUE
SRR6827493	seedling	PHK56		1	TRUE
SRR6827494	seedling	PHB47		1	TRUE
SRR6827495	seedling	BSSSC0_028		1	TRUE
SRR6827496	seedling	BSSSC0_037		1	TRUE
SRR6827497	seedling	NY 166 (Neveh Yaar)		1	TRUE
SRR6827498	seedling	Bei 10 = North 10		1	TRUE
SRR6827499	seedling	Mo1W		1	TRUE
SRR6827500	seedling	BSSSC0_044		1	TRUE
SRR6827501	seedling	BSSSC0_053		1	TRUE
SRR6827502	seedling	PHGW7		1	TRUE
SRR6827503	seedling	BSSSC0_056		1	TRUE
SRR6827504	seedling	CI 540		1	TRUE
SRR6827505	seedling	BSSSC0_050		1	TRUE
SRR6827506	seedling	LH209		1	TRUE
SRR6827507	seedling	BSSSC0_019		1	TRUE
SRR6827508	seedling	BSSSC0_061		1	TRUE
SRR6827509	seedling	DK6M502A		1	TRUE
SRR6827510	seedling	BSSSC0_009		1	TRUE
SRR6827511	seedling	DK2FADB		1	TRUE
SRR6827512	seedling	CS608		1	TRUE
SRR6827513	seedling	BSSSC0_006		1	TRUE
SRR6827514	seedling	W10001_0012		1	TRUE
SRR6827515	seedling	Tr9-1-1-6		1	TRUE
SRR6827516	seedling	LH169Ht		1	TRUE
SRR6827517	seedling	PHWRZ		1	TRUE
SRR6827518	seedling	W10001_0030		1	TRUE
SRR6827519	seedling	LH250		1	TRUE
SRR6827520	seedling	OQ601		1	TRUE
SRR6827521	seedling	Fe		1	TRUE
SRR6827522	seedling	NKBCC03		1	TRUE
SRR6827523	seedling	B2		1	TRUE
SRR6827524	seedling	PHW86		1	TRUE
SRR6827525	seedling	PHT10		1	TRUE
SRR6827526	seedling	PHTE4		1	TRUE
SRR6827527	seedling	MS200		1	TRUE
SRR6827528	seedling	LH127		1	TRUE
SRR6827529	seedling	LH123HT		1	TRUE
SRR6827530	seedling	N211		1	TRUE
SRR6827531	seedling	LH166		1	TRUE
SRR6827532	seedling	YE 4		1	TRUE
SRR6827533	seedling	INBRED 2-687		1	TRUE
SRR6827534	seedling	LH54		1	TRUE
SRR6827535	seedling	W10001_0003		1	TRUE
SRR6827536	seedling	W10002_0004		1	TRUE
SRR6827537	seedling	DKMBPM		1	TRUE
SRR6827538	seedling	779		1	TRUE
SRR6827539	seedling	PHR32		1	TRUE
SRR6827540	seedling	PHG84		1	TRUE
SRR6827541	seedling	52220		1	TRUE
SRR6827542	seedling	MS71		1	TRUE
SRR6827543	seedling	DKMBUB		1	TRUE
SRR6827544	seedling	W8304		1	TRUE
SRR6827545	seedling	S8324		1	TRUE
SRR6827546	seedling	PHT73		1	TRUE
SRR6827547	seedling	DJ7		1	TRUE
SRR6827548	seedling	PHW52		1	TRUE
SRR6827549	seedling	BSSSC0_018		1	TRUE
SRR6827550	seedling	B14		1	TRUE
SRR6827551	seedling	A334		1	TRUE
SRR6827552	seedling	PHK93		1	TRUE
SRR6827553	seedling	PHR58		1	TRUE
SRR6827554	seedling	PHJ31		1	TRUE
SRR6827555	seedling	DKLIBC 4		1	TRUE
SRR6827556	seedling	Ny821		1	TRUE
SRR6827557	seedling	LH85		1	TRUE
SRR6827558	seedling	LH252		1	TRUE
SRR6827559	seedling	LH167		1	TRUE
SRR6827560	seedling	764		1	TRUE
SRR6827561	seedling	11430		1	TRUE
SRR6827562	seedling	BSSSC0_012		1	TRUE
SRR6827563	seedling	DK2MCDB		1	TRUE
SRR6827564	seedling	NC258		1	TRUE
SRR6827565	seedling	LH206		1	TRUE
SRR6827566	seedling	LH200		1	TRUE
SRR6827567	seedling	MQ305		1	TRUE
SRR6827568	seedling	LH189Ht		1	TRUE
SRR6827569	seedling	PH5HK		1	TRUE
SRR6827570	seedling	W10001_0016		1	TRUE
SRR6827571	seedling	NKNP899		1	TRUE
SRR6827572	seedling	PHDD6		1	TRUE
SRR6827573	seedling	LH284		1	TRUE
SRR6827574	seedling	Oh603		1	TRUE
SRR6827575	seedling	LH199		1	TRUE
SRR6827576	seedling	B76		1	TRUE
SRR6827577	seedling	PHV57		1	TRUE
SRR6827578	seedling	PHV07		1	TRUE
SRR6827579	seedling	PHRE1		1	TRUE
SRR6827580	seedling	RS 710		1	TRUE
SRR6827581	seedling	PHW30		1	TRUE
SRR6827582	seedling	PHPR5		1	TRUE
SRR6827583	seedling	PHR55		1	TRUE
SRR6827584	seedling	PHR63		1	TRUE
SRR6827585	seedling	DK84QAB1		1	TRUE
SRR6827586	seedling	T8		1	TRUE
SRR6827587	seedling	DKFBLA		1	TRUE
SRR6827588	seedling	DKMDF-13D		1	TRUE
SRR6827589	seedling	BSSSC0_029		1	TRUE
SRR6827590	seedling	CS405		1	TRUE
SRR6827591	seedling	BSSSC0_023		1	TRUE
SRR6827592	seedling	NC290A		1	TRUE
SRR6827593	seedling	WR3		1	TRUE
SRR6827594	seedling	BSSSC0_035		1	TRUE
SRR6827595	seedling	DK29MIBZ2		1	TRUE
SRR6827596	seedling	L 155		1	TRUE
SRR6827597	seedling	BSSSC0_045		1	TRUE
SRR6827598	seedling	BSSSC0_030		1	TRUE
SRR6827599	seedling	A96		1	TRUE
SRR6827600	seedling	LH198		1	TRUE
SRR6827601	seedling	BSSSC0_043		1	TRUE
SRR6827602	seedling	OQ101		1	TRUE
SRR6827603	seedling	NC368		1	TRUE
SRR6827604	seedling	A556		1	TRUE
SRR6827605	seedling	WIL500		1	TRUE
SRR6827608	seedling	PHK35		1	TRUE
SRR6827609	seedling	PHR62		1	TRUE
SRR6827610	seedling	CR14		1	TRUE
SRR6827611	seedling	NC314		1	TRUE
SRR6827612	seedling	BSSSC0_003		1	TRUE
SRR6827613	seedling	PHR25		1	TRUE
SRR6827614	seedling	PHP60		1	TRUE
SRR6827615	seedling	CQ702RC		1	TRUE
SRR6827616	seedling	PHR31		1	TRUE
SRR6827617	seedling	IA2132		1	TRUE
SRR6827618	seedling	PHGV6		1	TRUE
SRR6827619	seedling	LH183		1	TRUE
SRR6827620	seedling	B105		1	TRUE
SRR6827621	seedling	PHW53		1	TRUE
SRR6827622	seedling	DKMBNA		1	TRUE
SRR6827623	seedling	LH205		1	TRUE
SRR6827624	seedling	LH191		1	TRUE
SRR6827625	seedling	B70		1	TRUE
SRR6827626	seedling	DK78004		1	TRUE
SRR6827627	seedling	4F-306 108		1	TRUE
SRR6827628	seedling	ICI 893		1	TRUE
SRR6827629	seedling	N192		1	TRUE
SRR6827630	seedling	NC348		1	TRUE
SRR6827631	seedling	PHVA9		1	TRUE
SRR6827632	seedling	B65		1	TRUE
SRR6827633	seedling	L 139		1	TRUE
SRR6827634	seedling	Va26		1	TRUE
SRR6827635	seedling	CML 504		1	TRUE
SRR6827638	seedling	DKIBB15		1	TRUE
SRR6827639	seedling	LH156		1	TRUE
SRR6827640	seedling	LH172		1	TRUE
SRR6827641	seedling	LH159		1	TRUE
SRR6827642	seedling	LH163		1	TRUE
SRR6827643	seedling	LH208		1	TRUE
SRR6827644	seedling	DKAQA3		1	TRUE
SRR6827645	seedling	LH212Ht		1	TRUE
SRR6827646	seedling	Lp215D		1	TRUE
SRR6827647	seedling	NK907		1	TRUE
SRR6827648	seedling	LH74		1	TRUE
SRR6827649	seedling	DKMBWZ		1	TRUE
SRR6827650	seedling	PHM49		1	TRUE
SRR6827651	seedling	PHW51		1	TRUE
SRR6827652	seedling	PHTM9		1	TRUE
SRR6827653	seedling	INBRED 321		1	TRUE
SRR6827654	seedling	PHN66		1	TRUE
SRR6827655	seedling	PHR03		1	TRUE
SRR6827656	seedling	NC230		1	TRUE
SRR6827657	seedling	S8326		1	TRUE
SRR6827658	seedling	DKIBB14		1	TRUE
SRR6827659	seedling	CI 82B		1	TRUE
SRR6827660	seedling	BSSSC0_048		1	TRUE
SRR6827661	seedling	DE2		1	TRUE
SRR6827662	seedling	NORTH 7		1	TRUE
SRR6827663	seedling	A619		1	TRUE
SRR6827664	seedling	PHM57		1	TRUE
SRR6827665	seedling	LH222		1	TRUE
SRR6827666	seedling	LH213		1	TRUE
SRR6827667	seedling	PHEM7		1	TRUE
SRR6827668	seedling	LH52		1	TRUE
SRR6827669	seedling	DK91IFC2		1	TRUE
SRR6827670	seedling	NS501		1	TRUE
SRR6827671	seedling	PHK05		1	TRUE
SRR6827672	seedling	BSSSC0_020		1	TRUE
SRR6827673	seedling	OQ403		1	TRUE
SRR6827674	seedling	LH132		1	TRUE
SRR6827675	seedling	Mo18W		1	TRUE
SRR6827676	seedling	W10001_0007		1	TRUE
SRR6827677	seedling	LH202		1	TRUE
SRR6827678	seedling	Va22		1	TRUE
SRR6827679	seedling	WIL900		1	TRUE
SRR6827680	seedling	NC304		1	TRUE
SRR6827681	seedling	E8501		1	TRUE
SRR6827682	seedling	PHV53		1	TRUE
SRR6827683	seedling	NC326		1	TRUE
SRR6827684	seedling	A641		1	TRUE
SRR6827685	seedling	DKIBC2		1	TRUE
SRR6827686	seedling	PHGG7		1	TRUE
SRR6827687	seedling	W182B		1	TRUE
SRR6827688	seedling	Mo46		1	TRUE
SRR6827689	seedling	CML 387		1	TRUE
SRR6827690	seedling	LH160		1	TRUE
SRR6827691	seedling	J47		1	TRUE
SRR6827693	seedling	Seagull Seventeen		1	TRUE
SRR6827694	seedling	Oh43E		1	TRUE
SRR6827695	seedling	LH146Ht		1	TRUE
SRR6827696	seedling	NC298		1	TRUE
SRR6827697	seedling	PHJ33		1	TRUE
SRR6827698	seedling	PHT47		1	TRUE
SRR6827699	seedling	BSSSC0_052		1	TRUE
SRR6827700	seedling	PHN47		1	TRUE
SRR6827701	seedling	LH194		1	TRUE
SRR6827702	seedling	PHP76		1	TRUE
SRR6827703	seedling	PHV78		1	TRUE
SRR6827704	seedling	Oh3167B		1	TRUE
SRR6827705	seedling	LH184		1	TRUE
SRR6827706	seedling	PHAA0		1	TRUE
SRR6827707	seedling	B73		1	TRUE
