SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR8197399	seed		132	1	m01	TRUE	19102450	300
SRR8197400	seed		132	2	m01	TRUE	22775609	300
SRR8197401	seed		126	1	m02	TRUE	31857070	300
SRR8197402	seed		126	2	m02	TRUE	21160426	300
SRR8197403	seed		120	1	m03	TRUE	24570349	300
SRR8197404	seed		120	2	m03	TRUE	27166693	300
SRR8197405	seed		114	1	m04	TRUE	24593840	300
SRR8197406	seed		114	2	m04	TRUE	23163654	300
SRR8197407	seed		138	1	m05	TRUE	18387383	300
SRR8197408	seed		138	2	m05	TRUE	36910610	300
SRR8197409	seed		0	1	m06	TRUE	19834210	300
SRR8197410	seed		0	2	m06	TRUE	29944449	300
SRR8197411	seed		4	1	m07	TRUE	17711291	300
SRR8197412	seed		4	2	m07	TRUE	13784575	300
SRR8197413	seed		8	1	m08	TRUE	20026353	300
SRR8197414	seed		8	2	m08	TRUE	22666749	300
SRR8197415	seed		12	1	m09	TRUE	18657681	300
SRR8197416	seed		12	2	m09	TRUE	19676317	300
SRR8197417	seed		16	1	m10	TRUE	17178504	300
SRR8197418	seed		16	2	m10	TRUE	22168438	300
SRR8197419	seed		44	1	m11	TRUE	20755156	300
SRR8197420	seed		44	2	m11	TRUE	24466756	300
SRR8197421	seed		40	1	m12	TRUE	20689590	300
SRR8197422	seed		40	2	m12	TRUE	24063141	300
SRR8197423	seed		52	1	m13	TRUE	18854722	300
SRR8197424	seed		52	2	m13	TRUE	15668743	300
SRR8197425	seed		48	1	m14	TRUE	18966564	300
SRR8197426	seed		48	2	m14	TRUE	22421399	300
SRR8197427	seed		56	1	m15	TRUE	20736112	300
SRR8197428	seed		56	2	m15	TRUE	24848388	300
SRR8197429	seed		144	1	m16	TRUE	16455027	300
SRR8197430	seed		144	2	m16	TRUE	18759096	300
SRR8197431	seed		84	1	m17	TRUE	28078401	300
SRR8197432	seed		84	2	m17	TRUE	19818538	300
SRR8197433	seed		90	1	m18	TRUE	18511114	300
SRR8197434	seed		90	2	m18	TRUE	25947324	300
SRR8197435	seed		96	1	m19	TRUE	21525451	300
SRR8197436	seed		96	2	m19	TRUE	35785382	300
SRR8197437	seed		102	1	m20	TRUE	20047287	300
SRR8197438	seed		102	2	m20	TRUE	23047740	300
SRR8197439	seed		108	1	m21	TRUE	33763515	300
SRR8197440	seed		108	2	m21	TRUE	25728518	300
SRR8197441	seed		64	1	m22	TRUE	25465689	300
SRR8197442	seed		78	1	m23	TRUE	39195900	300
SRR8197443	seed		78	2	m23	TRUE	21235149	300
SRR8197444	seed		64	2	m22	TRUE	28483368	300
SRR8197445	seed		60	1	m24	TRUE	22132895	300
SRR8197446	seed		60	2	m24	TRUE	12713087	300
SRR8197447	seed		36	1	m25	TRUE	29059781	300
SRR8197448	seed		36	2	m25	TRUE	19568087	300
SRR8197449	seed		68	1	m26	TRUE	23135030	300
SRR8197450	seed		68	2	m26	TRUE	26225369	300
SRR8197451	seed		72	1	m27	TRUE	19312480	300
SRR8197452	seed		72	2	m27	TRUE	35525958	300
SRR8197453	seed		24	1	m28	TRUE	19797886	300
SRR8197454	seed		24	2	m28	TRUE	19479226	300
SRR8197455	seed		20	1	m29	TRUE	25062647	300
SRR8197456	seed		20	2	m29	TRUE	24351802	300
SRR8197457	seed		32	1	m30	TRUE	23150093	300
SRR8197458	seed		32	2	m30	TRUE	23137464	300
SRR8197459	seed		28	1	m31	TRUE	27865348	300
SRR8197460	seed		28	2	m31	TRUE	25056094	300
