SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR7008431	leaf		T60	1	m01	TRUE	159541384	202
SRR7008432	leaf		T72	1	m02	TRUE	192366142	202
SRR7008433	leaf		T72	2	m02	TRUE	206333049	202
SRR7008434	leaf		T66	1	m03	TRUE	168659865	202
SRR7008435	leaf		T66	2	m03	TRUE	148831976	202
SRR7008436	leaf		T42	1	m04	TRUE	119556477	202
SRR7008437	leaf		T42	2	m04	TRUE	198517913	202
SRR7008438	leaf		T36	1	m05	TRUE	108248535	202
SRR7008439	leaf		T36	2	m05	TRUE	168390713	202
SRR7008440	leaf		T48	1	m06	TRUE	126211359	202
SRR7008441	leaf		T12	1	m07	TRUE	166258782	202
SRR7008442	leaf		T06	1	m08	TRUE	200907354	202
SRR7008443	leaf		T18	1	m09	TRUE	192601486	202
SRR7008444	leaf		T06	2	m08	TRUE	134498989	202
SRR7008445	leaf		T12	2	m07	TRUE	173422973	202
SRR7008446	leaf		T54	1	m10	TRUE	95978723	202
SRR7008447	leaf		T60	2	m01	TRUE	173408650	202
SRR7008448	leaf		T30	1	m11	TRUE	113983494	202
SRR7008449	leaf		T24	1	m12	TRUE	143098358	202
SRR7008450	leaf		T48	2	m06	TRUE	106082278	202
SRR7008451	leaf		T24	2	m12	TRUE	126053644	202
SRR7008452	leaf		T30	2	m11	TRUE	194458287	202
SRR7008453	leaf		T18	2	m09	TRUE	160738650	202
SRR7008454	leaf		T54	2	m10	TRUE	155762514	202
