SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	ExpID	lab	paired	spots	avgLength	Experiment
HY1	leaf	B73	Control	1	m01	0	HY	HY_B73_Control_0	TRUE	29622860	302	HY
HY10	leaf	BxM	Control	1	m02	0	HY	HY_BxM_Control_0	TRUE	28660166	302	HY
HY100	leaf	BxM	Cold	1	m03	25	HY	HY_BxM_Cold_25	TRUE	35274653	302	HY
HY101	leaf	WxB	Cold	1	m04	25	HY	HY_WxB_Cold_25	TRUE	35576544	302	HY
HY102	leaf	WxM	Cold	1	m05	25	HY	HY_WxM_Cold_25	TRUE	30315714	302	HY
HY103	leaf	B73	Cold	1	m06	25	HY	HY_B73_Cold_25	TRUE	34832600	302	HY
HY104	leaf	Mo17	Cold	1	m07	25	HY	HY_Mo17_Cold_25	TRUE	35721199	302	HY
HY105	leaf	W22	Cold	1	m08	25	HY	HY_W22_Cold_25	TRUE	31260141	302	HY
HY106	leaf	BxM	Cold	2	m03	25	HY	HY_BxM_Cold_25	TRUE	34818337	302	HY
HY107	leaf	WxB	Cold	2	m04	25	HY	HY_WxB_Cold_25	TRUE	33315886	302	HY
HY108	leaf	WxM	Cold	2	m05	25	HY	HY_WxM_Cold_25	TRUE	31574706	302	HY
HY109	leaf	B73	Heat	1	m09	25	HY	HY_B73_Heat_25	TRUE	31505974	302	HY
HY11	leaf	WxB	Control	1	m10	0	HY	HY_WxB_Control_0	TRUE	28554418	302	HY
HY110	leaf	Mo17	Heat	1	m11	25	HY	HY_Mo17_Heat_25	TRUE	28799042	302	HY
HY111	leaf	W22	Heat	1	m12	25	HY	HY_W22_Heat_25	TRUE	27501744	302	HY
HY112	leaf	BxM	Heat	1	m13	25	HY	HY_BxM_Heat_25	TRUE	48118060	302	HY
HY113	leaf	WxB	Heat	1	m14	25	HY	HY_WxB_Heat_25	TRUE	33896681	302	HY
HY114	leaf	WxM	Heat	1	m15	25	HY	HY_WxM_Heat_25	TRUE	24728500	302	HY
HY115	leaf	B73	Heat	2	m09	25	HY	HY_B73_Heat_25	TRUE	30185452	302	HY
HY116	leaf	Mo17	Heat	2	m11	25	HY	HY_Mo17_Heat_25	TRUE	32677624	302	HY
HY117	leaf	W22	Heat	2	m12	25	HY	HY_W22_Heat_25	TRUE	29424661	302	HY
HY118	leaf	BxM	Heat	2	m13	25	HY	HY_BxM_Heat_25	TRUE	31806348	302	HY
HY119	leaf	WxB	Heat	2	m14	25	HY	HY_WxB_Heat_25	TRUE	26336716	302	HY
HY12	leaf	WxM	Control	1	m16	0	HY	HY_WxM_Control_0	TRUE	37914637	302	HY
