SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
ERR3791403	anther	B97	R1	1	m001	TRUE	22332479	151
ERR3791404	anther	B97	R1	2	m001	TRUE	34640958	151
ERR3791405	anther	CML103	R1	1	m002	TRUE	33811053	151
ERR3791406	anther	CML103	R1	2	m002	TRUE	23232598	151
ERR3791407	anther	CML277	R1	1	m003	TRUE	20828840	151
ERR3791408	anther	CML277	R1	2	m003	TRUE	34687445	151
ERR3791409	anther	CML228	R1	1	m004	TRUE	105636610	151
ERR3791410	anther	CML228	R1	2	m004	TRUE	22118783	151
ERR3791411	anther	CML247	R1	1	m005	TRUE	34879640	151
ERR3791412	anther	CML247	R1	2	m005	TRUE	29702925	151
ERR3791413	anther	CML322	R1	1	m006	TRUE	30593226	151
ERR3791414	anther	CML322	R1	2	m006	TRUE	31244229	151
ERR3791415	anther	CML333	R1	1	m007	TRUE	24634331	151
ERR3791416	anther	CML333	R1	2	m007	TRUE	24636453	151
ERR3791417	anther	CML52	R1	1	m008	TRUE	21957260	151
ERR3791418	anther	CML52	R1	2	m008	TRUE	20828488	151
ERR3791419	anther	CML69	R1	1	m009	TRUE	20515807	151
ERR3791420	anther	CML69	R1	2	m009	TRUE	28322311	151
ERR3791421	anther	HP301	R1	1	m010	TRUE	31358246	151
ERR3791422	anther	HP301	R1	2	m010	TRUE	25225271	151
ERR3791423	anther	IL14H	R1	1	m011	TRUE	21063730	151
ERR3791424	anther	IL14H	R1	2	m011	TRUE	33318149	151
ERR3791425	anther	Ki11	R1	1	m012	TRUE	21155399	151
ERR3791426	anther	Ki11	R1	2	m012	TRUE	16215903	151
ERR3791427	anther	Ki3	R1	1	m013	TRUE	22980599	151
ERR3791428	anther	Ki3	R1	2	m013	TRUE	18708204	151
ERR3791429	anther	Ky21	R1	1	m014	TRUE	22361989	151
ERR3791430	anther	Ky21	R1	2	m014	TRUE	22215959	151
ERR3791431	anther	M162W	R1	1	m015	TRUE	25963263	151
ERR3791432	anther	M162W	R1	2	m015	TRUE	20074138	151
ERR3791433	anther	M37W	R1	1	m016	TRUE	22736408	151
ERR3791434	anther	M37W	R1	2	m016	TRUE	31606298	151
ERR3791435	anther	Mo18w	R1	1	m017	TRUE	33317033	151
