# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s08 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s08 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	4.528940e+05	4.528940e+05	555910	dn19a#B73	0
CN	4.337600e+05	4.444083e+05	542590	dn18a#PHG83	1
CN	4.255390e+05	4.394895e+05	538264	dn18a#LH200	2
CN	4.253940e+05	4.389003e+05	538803	dn18a#LH198	3
CN	4.097920e+05	4.354476e+05	523157	dn18a#FBLL	4
CN	3.928680e+05	4.139815e+05	527558	dn18a#LH74	5
CN	3.902890e+05	4.170955e+05	520182	dn18a#B84	6
CN	3.824960e+05	4.116119e+05	516587	dn18a#PHW52	7
CN	3.766340e+05	4.075815e+05	513700	dn18a#PHT11	8
CN	3.734900e+05	4.034778e+05	514593	dn18a#LH146Ht	9
CN	3.715720e+05	4.042669e+05	510951	dn18a#PHB47	10
CN	3.712140e+05	4.049044e+05	509655	dn18a#PHMK0	11
CN	3.703420e+05	4.002964e+05	514311	dn18a#NKH8431	12
CN	3.673350e+05	3.997486e+05	510834	dn18a#PHJ40	13
CN	3.671260e+05	4.007206e+05	509305	dn18a#Oh43	14
CN	3.667210e+05	4.009998e+05	508389	dn18a#NC230	15
CN	3.665530e+05	4.004640e+05	508836	dn18a#PHG29	16
CN	3.663690e+05	4.012597e+05	507572	dn18a#PHN11	17
CN	3.658780e+05	4.002488e+05	508172	dn18a#LH82	18
CN	3.658400e+05	4.004783e+05	507828	dn18a#Mo17	19
CN	3.655330e+05	4.014918e+05	506121	dn18a#PH207	20
CN	3.655300e+05	3.988173e+05	509511	dn18a#LH123Ht	21
CN	3.654080e+05	3.998897e+05	507975	dn18a#PHG50	22
CN	3.651900e+05	3.978466e+05	510279	dn18a#LH93	23
CN	3.645980e+05	3.975094e+05	509884	dn18a#PHP38	24
CN	3.642500e+05	3.993575e+05	507040	dn18a#PHV78	25
CN	3.642090e+05	4.007708e+05	505195	dn18a#W606S	26
CN	3.641970e+05	3.998561e+05	506334	dn18a#Mo44	27
CN	3.640570e+05	4.003104e+05	505565	dn18a#PHK46	28
CN	3.639260e+05	4.003398e+05	505346	dn18a#PHP02	29
CN	3.639120e+05	3.992215e+05	506742	dn18a#LH156	30
CN	3.639100e+05	4.000158e+05	505733	dn18a#SCRO1	31
CN	3.635360e+05	3.977471e+05	508095	dn18a#LH85	32
CN	3.635310e+05	3.980738e+05	507671	dn18a#W604S	33
CN	3.635300e+05	4.007567e+05	504271	dn15a#HP301	34
CN	3.633650e+05	3.997321e+05	505334	dn18a#CR1Ht	35
CN	3.630750e+05	4.008282e+05	503550	dn18a#LH59	36
CN	3.629010e+05	3.990495e+05	505552	dn18a#LH185	37
CN	3.626550e+05	3.977507e+05	506859	dn18a#MoG	38
CN	3.623770e+05	3.968281e+05	507648	dn18a#PHG47	39
CN	3.623680e+05	3.978080e+05	506385	dn18a#AS5707	40
CN	3.623050e+05	3.986457e+05	505233	dn18a#W37A	41
CN	3.622940e+05	4.010499e+05	502189	dn15a#H99	42
CN	3.622130e+05	3.989085e+05	504772	dn18a#PHN46	43
CN	3.619320e+05	3.962105e+05	507815	dn18a#PHW65	44
CN	3.618620e+05	3.982442e+05	505124	dn18a#W182Ngt	45
CN	3.618390e+05	3.987620e+05	504436	dn18a#LH168	46
CN	3.617200e+05	4.012895e+05	501094	dn18a#PHAA0	47
