SampleID	Tissue	Genotype	Treatment
rnc01_1	leaf_base	B73	rn10a
rnc01_2	leaf_-1cm	B73	rn10a
rnc01_3	leaf_4cm	B73	rn10a
rnc01_4	leaf_tip	B73	rn10a
rnc01_5	leaf_mesophyll	B73	rn10a
rnc01_6	leaf_bundle-sheath	B73	rn10a
rnc01_7	cob_pre-emerg	B73	rn11a
rnc01_8	leaf_20d_field	B73	rn11a
rnc01_9	tassel_pre-emerg	B73	rn11a
rnc01_10	cob_post-emerg	B73	rn11a
rnc01_11	endosperm_25DAP	B73	rn11a
rnc01_12	anther_	B73	rn11a
rnc01_13	ovule_	B73	rn11a
rnc01_14	pollen_	B73	rn11a
rnc01_15	silk_	B73	rn11a
rnc01_16	seed_10DAP	B73	rn11a
rnc01_17	leaf_20d_gc	B73	rn11a
rnc01_18	tassel_post-emerg	B73	rn11a
rnc01_19	seed_5DAP	B73	rn11a
rnc01_20	embryo_25DAP	B73	rn11a
rnc01_21	leaf_T084	B73	rn13b
rnc01_22	leaf_T096	B73	rn13b
rnc01_23	leaf_T108	B73	rn13b
rnc01_24	leaf_T120	B73	rn13b
rnc01_25	leaf_T132	B73	rn13b
rnc01_26	leaf_T144	B73	rn13b
rnc01_27	leaf_T156	B73	rn13b
rnc01_28	leaf_T168	B73	rn13b
rnc01_29	leaf_T192	B73	rn13b
rnc01_30	leaf_T00	B73	rn13b
rnc01_31	leaf_T06	B73	rn13b
rnc01_32	leaf_T12	B73	rn13b
rnc01_33	leaf_T18	B73	rn13b
rnc01_34	leaf_T24	B73	rn13b
rnc01_35	leaf_T30	B73	rn13b
rnc01_36	leaf_T36	B73	rn13b
rnc01_37	leaf_T42	B73	rn13b
rnc01_38	leaf_T48	B73	rn13b
rnc01_39	leaf_T54	B73	rn13b
rnc01_40	leaf_T60	B73	rn13b
rnc01_41	leaf_T66	B73	rn13b
rnc01_42	leaf_T72	B73	rn13b
rnc01_43	endosperm_0	B73	rn14b
rnc01_44	endosperm_2	B73	rn14b
rnc01_45	endosperm_3	B73	rn14b
rnc01_46	endosperm_4	B73	rn14b
rnc01_47	endosperm_6	B73	rn14b
rnc01_48	endosperm_8	B73	rn14b
rnc01_49	endosperm_10	B73	rn14b
rnc01_50	endosperm_12	B73	rn14b
rnc01_51	seedling_	B73	rn14c
rnc01_52	pollen_	B73	rn14c
rnc01_53	embryo_sac	B73	rn14c
rnc01_54	ovule_	B73	rn14c
rnc01_55	embryo_12DAP	B73	rn14e
rnc01_56	embryo_14DAP	B73	rn14e
rnc01_57	embryo_16DAP	B73	rn14e
rnc01_58	embryo_18DAP	B73	rn14e
rnc01_59	embryo_24DAP	B73	rn14e
rnc01_60	embryo_20DAP	B73	rn14e
rnc01_61	embryo_26DAP	B73	rn14e
