gid	Tissue	Genotype	ReadCount	CPM	FPKM
Zm00001d042315	SAM	M0001	112	2.5571113273068224	12.005217499093064
Zm00001d042315	SAM	M0017	339	5.4245375106347895	25.46731225650136
Zm00001d042315	SAM	M0384	154	3.045173778709384	14.296590510372695
Zm00001d042315	SAM	M0044	140	3.326276842343842	15.616323203492215
Zm00001d042315	SAM	M0328	35	0.644514767510597	3.0258909272797982
Zm00001d042315	SAM	M0165	34	0.6284292482336516	2.9503720574349845
Zm00001d042315	SAM	M0033	41	0.8128390491651551	3.816145770728428
Zm00001d042315	SAM	M0034	132	3.1311470107597783	14.700220707792386
Zm00001d042315	SAM	B73	20	0.44565690349664283	2.0922859319091214
Zm00001d042315	SAM	Mo17	150	3.0824411669734832	14.471554774523396
Zm00001d042315	SAM	M0021	170	4.013409373623114	18.842297528747014
Zm00001d042315	SAM	M0022	54	1.0851543231363723	5.0946212353820295
Zm00001d042315	SAM	M0023	195	4.436018984385931	20.826380208384652
Zm00001d042315	SAM	M0024	186	4.018076312744752	18.86420804105517
Zm00001d042315	SAM	M0025	22	0.5071352259013575	2.3809165535275003
Zm00001d042315	SAM	M0026	239	4.544947088117416	21.337779756419796
Zm00001d042315	SAM	M0028	163	3.650326319209716	17.137682249810876
Zm00001d042315	SAM	M0029	185	4.100396668390241	19.250688583991742
Zm00001d042315	SAM	M0030	36	0.7127016305873393	3.3460170450109827
Zm00001d042315	SAM	M0005	79	1.5747742077208	7.393306139534273
Zm00001d042315	SAM	M0031	41	0.7721605272556142	3.625166794627297
Zm00001d042315	SAM	M0032	157	3.3276319900412057	15.622685399254488
Zm00001d042315	SAM	M0035	222	4.32608255595273	20.31024674156211
Zm00001d042315	SAM	M0039	84	1.9247804158729644	9.036527774051477
Zm00001d042315	SAM	M0040	149	3.6972877976567706	17.358158674444933
Zm00001d042315	SAM	M0046	146	3.4610269967222465	16.24895303625468
Zm00001d042315	SAM	M0048	50	0.9397441995159616	4.411944598666486
Zm00001d042315	SAM	M0051	108	2.3455664850388454	11.012049225534485
Zm00001d042315	SAM	M0052	18	0.3287458138372934	1.5434075767009081
Zm00001d042315	SAM	M0054	50	0.8918254496302902	4.1869739419262455
Zm00001d042315	SAM	M0007	194	3.6739675899699007	17.24867413131409
