mid	gid	funcat	opt
trans-eQTL-B.hs01	Zm00001d001809		trans-eQTL
trans-eQTL-B.hs01	Zm00001d002058		trans-eQTL
trans-eQTL-B.hs01	Zm00001d003836		trans-eQTL
trans-eQTL-B.hs01	Zm00001d004215		trans-eQTL
trans-eQTL-B.hs01	Zm00001d006291		trans-eQTL
trans-eQTL-B.hs01	Zm00001d007139		trans-eQTL
trans-eQTL-B.hs01	Zm00001d008640		trans-eQTL
trans-eQTL-B.hs01	Zm00001d014138		trans-eQTL
trans-eQTL-B.hs01	Zm00001d015948		trans-eQTL
trans-eQTL-B.hs01	Zm00001d018515		trans-eQTL
trans-eQTL-B.hs01	Zm00001d021557		trans-eQTL
trans-eQTL-B.hs01	Zm00001d021871		trans-eQTL
trans-eQTL-B.hs01	Zm00001d028098		trans-eQTL
trans-eQTL-B.hs01	Zm00001d031227		trans-eQTL
trans-eQTL-B.hs01	Zm00001d033657		trans-eQTL
trans-eQTL-B.hs01	Zm00001d035088		trans-eQTL
trans-eQTL-B.hs01	Zm00001d040383		trans-eQTL
trans-eQTL-B.hs01	Zm00001d045017		trans-eQTL
trans-eQTL-B.hs01	Zm00001d046719		trans-eQTL
trans-eQTL-B.hs01	Zm00001d047679		trans-eQTL
trans-eQTL-B.hs01	Zm00001d049800		trans-eQTL
trans-eQTL-B.hs01	Zm00001d052072		trans-eQTL
trans-eQTL-B.hs02	Zm00001d008597		trans-eQTL
trans-eQTL-B.hs02	Zm00001d008903		trans-eQTL
trans-eQTL-B.hs02	Zm00001d011454		trans-eQTL
trans-eQTL-B.hs02	Zm00001d011704		trans-eQTL
trans-eQTL-B.hs02	Zm00001d011796		trans-eQTL
trans-eQTL-B.hs02	Zm00001d011945		trans-eQTL
trans-eQTL-B.hs02	Zm00001d013494		trans-eQTL
trans-eQTL-B.hs02	Zm00001d014581		trans-eQTL
trans-eQTL-B.hs02	Zm00001d015627		trans-eQTL
trans-eQTL-B.hs02	Zm00001d016034		trans-eQTL
trans-eQTL-B.hs02	Zm00001d021799		trans-eQTL
trans-eQTL-B.hs02	Zm00001d024934		trans-eQTL
trans-eQTL-B.hs02	Zm00001d025673		trans-eQTL
trans-eQTL-B.hs02	Zm00001d025921		trans-eQTL
trans-eQTL-B.hs02	Zm00001d025941		trans-eQTL
trans-eQTL-B.hs02	Zm00001d026691		trans-eQTL
trans-eQTL-B.hs02	Zm00001d028197		trans-eQTL
