Sample	Assigned	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Ambiguity
SRR516201	23591865.0	581283.0	1563533.0	340748.0
SRR516795	27005057.0	747588.0	1853586.0	380505.0
SRR516796	28798232.0	780732.0	1882833.0	416671.0
SRR516797	36167066.0	846083.0	2436514.0	498592.0
SRR516798	25903566.0	681808.0	1800384.0	365062.0
SRR516810	25507530.0	615571.0	1681282.0	354038.0
SRR516812	24874950.0	794963.0	1705000.0	355580.0
SRR516813	25231557.0	635414.0	1645838.0	357979.0
SRR516814	27171844.0	699253.0	1885991.0	401692.0
SRR516815	35068188.0	1378006.0	2895364.0	481724.0
SRR516816	23106128.0	1633415.0	1541353.0	322103.0
SRR516817	25847594.0	1006682.0	1699906.0	426658.0
SRR516818	23257799.0	734288.0	1687841.0	334724.0
SRR611202	25083550.0	783593.0	1711004.0	360755.0
SRR611203	23621028.0	865701.0	1614091.0	337086.0
SRR611204	28730213.0	716691.0	2006752.0	390305.0
SRR611205	24292260.0	631623.0	1619293.0	348822.0
SRR611206	24755203.0	978445.0	1626409.0	365728.0
SRR611207	27675426.0	862269.0	1825799.0	407558.0
SRR611208	30025858.0	837177.0	1865679.0	421204.0
SRR611209	18845865.0	551239.0	1236650.0	259279.0
SRR611210	28562141.0	1313995.0	1665878.0	387165.0
SRR611211	23637086.0	797034.0	1605096.0	340900.0
SRR611212	21638062.0	567705.0	1438714.0	312810.0
SRR611213	22749390.0	660229.0	1550795.0	334051.0
SRR611214	29099162.0	765631.0	1848984.0	440996.0
SRR611215	25259233.0	606399.0	1654280.0	356213.0
SRR611216	29915343.0	681631.0	1930868.0	434408.0
SRR611217	30805779.0	735520.0	2035960.0	432278.0
SRR611218	27627450.0	704243.0	1874517.0	376407.0
SRR611219	26014063.0	627785.0	1714080.0	382258.0
SRR611220	28514530.0	654601.0	1836704.0	412785.0
SRR611221	31779772.0	757321.0	2085710.0	456175.0
SRR611243	27280566.0	648609.0	1741397.0	388608.0
SRR611246	20138310.0	457342.0	1278290.0	294889.0
SRR611247	32379044.0	672406.0	2086023.0	454836.0
SRR611252	25258476.0	773961.0	1863410.0	378001.0
SRR611253	25643931.0	867112.0	1706535.0	370894.0
SRR611259	27567380.0	566625.0	1845784.0	383812.0
SRR611262	25549582.0	619476.0	1723780.0	356476.0
SRR611264	23071150.0	580441.0	1623460.0	313774.0
SRR611265	26889029.0	626943.0	1841636.0	376506.0
SRR611266	30793079.0	750696.0	2092308.0	423600.0
SRR611268	23865697.0	639738.0	1661492.0	333422.0
SRR611269	26833839.0	1006122.0	1727886.0	378693.0
SRR611270	35216380.0	998116.0	2366588.0	482820.0
SRR611271	30331501.0	877828.0	2097856.0	441951.0
SRR611272	18096724.0	463921.0	1168775.0	264561.0
SRR611273	25271238.0	619486.0	1708237.0	351626.0
SRR611274	26428371.0	1074011.0	1843168.0	363442.0
SRR611275	26830530.0	628092.0	1745916.0	375326.0
SRR611276	23754126.0	613406.0	1708080.0	335222.0
SRR611277	26315713.0	703324.0	1799037.0	380823.0
SRR611278	22371526.0	826716.0	1480416.0	319562.0
SRR611287	22732113.0	530926.0	1609467.0	320844.0
SRR611288	31385934.0	715380.0	2124119.0	460771.0
SRR611289	29517130.0	855677.0	2010592.0	409026.0
SRR611290	30106461.0	757410.0	2087574.0	406073.0
SRR611291	27975154.0	821735.0	1905765.0	399113.0
SRR611292	23286463.0	1063049.0	1575535.0	322537.0
SRR611293	24725705.0	600038.0	1737481.0	328278.0
SRR611294	15765322.0	327392.0	1052984.0	218295.0
SRR611295	29653320.0	871918.0	2062208.0	419765.0
SRR611296	30179023.0	907083.0	2104185.0	420486.0
SRR611297	24109930.0	670723.0	1782116.0	343362.0
SRR611298	28042480.0	618053.0	1804722.0	374235.0
SRR611299	23768640.0	774774.0	1653458.0	333516.0
SRR611300	25194935.0	733785.0	1669562.0	359617.0
SRR611301	26728586.0	1117618.0	1833270.0	377033.0
SRR611302	32581558.0	776014.0	2258239.0	455070.0
SRR611303	27473912.0	847300.0	1874504.0	379205.0
SRR611304	27900375.0	1097236.0	1896180.0	387832.0
SRR611305	24945741.0	2303606.0	1769960.0	356042.0
SRR611306	14219558.0	2324546.0	993570.0	204033.0
SRR611307	32154261.0	903736.0	2233203.0	450060.0
SRR611308	27889871.0	929710.0	1931396.0	388722.0
SRR611309	25394795.0	678559.0	1695338.0	367258.0
SRR611310	27593046.0	844259.0	1942904.0	390724.0
