Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR516201	25496146.0	1492143.0	201950.0	337800.0	41533.0
SRR516795	29239148.0	1728407.0	252721.0	444111.0	50756.0
SRR516796	31097736.0	1842940.0	214888.0	515322.0	50522.0
SRR516797	39102172.0	2368423.0	294856.0	483902.0	67325.0
SRR516798	28069012.0	1727117.0	241787.0	385018.0	55003.0
SRR516810	27542850.0	1668987.0	216883.0	348108.0	50580.0
SRR516812	26935530.0	1603076.0	274639.0	464784.0	55540.0
SRR516813	27235374.0	1551210.0	233311.0	360710.0	41393.0
SRR516814	29459527.0	1692597.0	265970.0	382309.0	50974.0
SRR516815	38445276.0	2237762.0	518123.0	750825.0	109058.0
SRR516816	24969584.0	1362188.0	225767.0	1368469.0	39179.0
SRR516817	27974158.0	1438657.0	158153.0	821157.0	27372.0
SRR516818	25280364.0	1459443.0	239831.0	447758.0	46699.0
SRR611202	27155309.0	1512077.0	226711.0	509739.0	47143.0
SRR611203	25572205.0	1391468.0	233684.0	590254.0	41763.0
SRR611204	31127270.0	1922518.0	287864.0	354542.0	74285.0
SRR611205	26260375.0	1492506.0	245120.0	341032.0	45471.0
SRR611206	26747340.0	1487723.0	282979.0	648712.0	46754.0
SRR611207	29908783.0	1672828.0	292889.0	523830.0	45550.0
SRR611208	32312741.0	1849633.0	397303.0	373013.0	66861.0
SRR611209	20341794.0	1245262.0	215384.0	291371.0	44484.0
SRR611210	30615184.0	1746966.0	539202.0	697314.0	77479.0
SRR611211	25583082.0	1494318.0	351217.0	387304.0	58513.0
SRR611212	23389586.0	1350564.0	228796.0	295913.0	42996.0
SRR611213	24634236.0	1426867.0	275181.0	331569.0	53479.0
SRR611214	31389142.0	1750775.0	263917.0	454255.0	47459.0
SRR611215	27269726.0	1564346.0	241867.0	314556.0	49976.0
SRR611216	32280619.0	1802368.0	280247.0	346021.0	55363.0
SRR611217	33274017.0	1923872.0	262964.0	415276.0	57280.0
SRR611218	29878374.0	1832848.0	275513.0	363771.0	64959.0
SRR611219	28110401.0	1564838.0	265908.0	310611.0	51266.0
SRR611220	30764019.0	1725206.0	266382.0	338447.0	49772.0
SRR611221	34321657.0	1990353.0	254341.0	450819.0	52161.0
SRR611243	29410571.0	1638434.0	268042.0	329825.0	50742.0
SRR611246	21711489.0	1197552.0	198507.0	223857.0	34978.0
SRR611247	34919903.0	1940378.0	271874.0	344383.0	56149.0
SRR611252	27499887.0	1579415.0	346938.0	361327.0	65696.0
SRR611253	27721360.0	1653862.0	312286.0	500253.0	54573.0
SRR611259	29796976.0	1655413.0	198806.0	323041.0	44778.0
SRR611262	27629838.0	1604811.0	235472.0	333399.0	50605.0
SRR611264	25008384.0	1471864.0	205198.0	329017.0	46226.0
SRR611265	29107171.0	1645516.0	237042.0	342736.0	47165.0
SRR611266	33308987.0	2080888.0	301160.0	381207.0	68329.0
SRR611268	25860611.0	1651925.0	215275.0	367868.0	56595.0
SRR611269	28940418.0	1778734.0	293411.0	655694.0	57017.0
SRR611270	38065788.0	2369710.0	402699.0	503814.0	91603.0
SRR611271	32871308.0	2061993.0	367316.0	435014.0	75498.0
SRR611272	19530060.0	1203890.0	180542.0	243198.0	40181.0
SRR611273	27331101.0	1652023.0	202674.0	366558.0	50254.0
SRR611274	28634981.0	1804616.0	471828.0	507599.0	94584.0
SRR611275	28951772.0	1611509.0	265208.0	312831.0	50053.0
SRR611276	25797428.0	1514983.0	248420.0	317257.0	47729.0
SRR611277	28495573.0	1678004.0	263835.0	386874.0	52615.0
SRR611278	24171504.0	1415052.0	343990.0	419418.0	63308.0
SRR611287	24662424.0	1416421.0	167849.0	323032.0	40045.0
SRR611288	33970824.0	1909246.0	259185.0	401452.0	54743.0
SRR611289	31936748.0	1991529.0	317051.0	469126.0	69500.0
SRR611290	32600108.0	1992384.0	284349.0	413046.0	60015.0
SRR611291	30280032.0	1752550.0	398980.0	350657.0	72098.0
SRR611292	25184535.0	1543347.0	427038.0	563800.0	72211.0
SRR611293	26791464.0	1677790.0	247681.0	288817.0	63540.0
SRR611294	17036601.0	981888.0	110990.0	190508.0	25894.0
SRR611295	32135293.0	2068290.0	230258.0	578546.0	63114.0
SRR611296	32703694.0	2002843.0	295856.0	540154.0	71073.0
SRR611297	26235408.0	1596015.0	244699.0	369221.0	56803.0
SRR611298	30221437.0	1867523.0	238193.0	320916.0	58944.0
SRR611299	25755614.0	1590933.0	312778.0	400021.0	61975.0
SRR611300	27224114.0	1616591.0	257102.0	426350.0	50333.0
SRR611301	28938889.0	1677787.0	661283.0	351758.0	104577.0
SRR611302	35294867.0	2203738.0	287277.0	419467.0	69270.0
SRR611303	29727621.0	1828697.0	338208.0	437754.0	71338.0
SRR611304	30184387.0	1761523.0	341356.0	692890.0	62990.0
SRR611305	27071743.0	1711967.0	1470822.0	599729.0	233055.0
SRR611306	15417161.0	1015540.0	1819935.0	281382.0	223229.0
SRR611307	34837524.0	2171624.0	386013.0	430806.0	86917.0
SRR611308	30209989.0	1949764.0	361549.0	485579.0	82582.0
SRR611309	27457391.0	1713424.0	246398.0	378141.0	54020.0
SRR611310	29926674.0	1883040.0	350725.0	415092.0	78442.0
SRR611311	35836125.0	2210016.0	375685.0	543508.0	82113.0
SRR611312	17676656.0	1117872.0	206012.0	254204.0	44293.0
SRR611313	27531837.0	1592081.0	306530.0	487129.0	57132.0
SRR611314	27907962.0	1744759.0	386054.0	384045.0	73151.0
SRR611315	31931733.0	1931718.0	275952.0	777754.0	63061.0
SRR611316	29042317.0	1812558.0	396349.0	386184.0	79136.0
