Sample	Surviving Reads	Dropped
SRR516201	27569572.0	768232.0
SRR516795	31715143.0	945306.0
SRR516796	33721408.0	951987.0
SRR516797	42316678.0	1423912.0
SRR516798	30477937.0	1037489.0
SRR516810	29827408.0	998906.0
SRR516812	29333569.0	866107.0
SRR516813	29421998.0	848078.0
SRR516814	31851377.0	897848.0
SRR516815	42061044.0	1433731.0
SRR516816	27965187.0	691739.0
SRR516817	30419497.0	745270.0
SRR516818	27474095.0	630575.0
SRR611202	29450979.0	738283.0
SRR611203	27829374.0	716656.0
SRR611204	33766479.0	1281610.0
SRR611205	28384504.0	690486.0
SRR611206	29213508.0	713937.0
SRR611207	32443880.0	809158.0
SRR611208	34999551.0	1075762.0
SRR611209	22138295.0	597123.0
SRR611210	33676145.0	1077599.0
SRR611211	27874434.0	808058.0
SRR611212	25307855.0	686964.0
SRR611213	26721332.0	792802.0
SRR611214	33905548.0	950372.0
SRR611215	29440471.0	989793.0
SRR611216	34764618.0	1165878.0
SRR611217	35933409.0	1206253.0
SRR611218	32415465.0	1167476.0
SRR611219	30303024.0	879030.0
SRR611220	33143826.0	961307.0
SRR611221	37069331.0	1134681.0
SRR611243	31697614.0	957594.0
SRR611246	23366383.0	632158.0
SRR611247	37532687.0	1116917.0
SRR611252	29853263.0	917379.0
SRR611253	30242334.0	869317.0
SRR611259	32019014.0	947894.0
SRR611262	29854125.0	865571.0
SRR611264	27060689.0	797343.0
SRR611265	31379630.0	875134.0
SRR611266	36140571.0	1362402.0
SRR611268	28152274.0	966464.0
SRR611269	31725274.0	928209.0
SRR611270	41433614.0	1449074.0
SRR611271	35811129.0	1236161.0
SRR611272	21197871.0	724381.0
SRR611273	29602610.0	964364.0
SRR611274	31513608.0	1067882.0
SRR611275	31191373.0	864892.0
SRR611276	27925817.0	759850.0
SRR611277	30876901.0	932264.0
SRR611278	26413272.0	770285.0
SRR611287	26609771.0	669087.0
SRR611288	36595450.0	925240.0
SRR611289	34783954.0	1111297.0
SRR611290	35349902.0	1081733.0
SRR611291	32854317.0	889894.0
SRR611292	27790931.0	854997.0
SRR611293	29069292.0	1093903.0
SRR611294	18345881.0	406493.0
SRR611295	35075501.0	1374161.0
SRR611296	35613620.0	1322478.0
SRR611297	28502146.0	732439.0
SRR611298	32707013.0	1213742.0
SRR611299	28121321.0	735057.0
SRR611300	29574490.0	939871.0
SRR611301	31734294.0	971184.0
SRR611302	38274619.0	1449737.0
SRR611303	32403618.0	901596.0
SRR611304	33043146.0	932552.0
SRR611305	31087316.0	885903.0
SRR611306	18757247.0	457433.0
SRR611307	37912884.0	1525082.0
SRR611308	33089463.0	1287627.0
SRR611309	29849374.0	1173849.0
SRR611310	32653973.0	1248330.0
SRR611311	39047447.0	1102391.0
SRR611312	19299037.0	752800.0
SRR611313	29974709.0	832558.0
SRR611314	30495971.0	806917.0
SRR611315	34980218.0	934218.0
SRR611316	31716544.0	1124452.0
SRR611317	29252390.0	816966.0
SRR611318	31718045.0	1112553.0
SRR611319	30772707.0	1076297.0
SRR611320	27795780.0	973013.0
SRR611321	32068050.0	1100389.0
SRR611322	30755422.0	1084044.0
SRR611323	31203846.0	923872.0
SRR611324	39221747.0	1393083.0
SRR611325	38617581.0	1161752.0
SRR611326	34671407.0	1027884.0
SRR611327	23238924.0	805375.0
SRR611328	19915952.0	715212.0
SRR611329	35543807.0	1371132.0
SRR611330	30258852.0	1211495.0
SRR611331	31161694.0	924835.0
SRR611332	32926093.0	1222055.0
SRR611333	27046542.0	1028090.0
SRR611334	34842388.0	1330274.0
SRR611335	32362645.0	1115684.0
SRR611336	23215966.0	603942.0
SRR611337	18899309.0	508080.0
SRR611338	28810098.0	1007992.0
SRR611339	31857617.0	949625.0
SRR650904	21604947.0	305679.0
SRR650905	24788179.0	366234.0
SRR650906	33144772.0	579650.0
SRR650907	26276149.0	374711.0
SRR650908	23741308.0	418008.0
SRR650909	23166471.0	417836.0
SRR650910	23283719.0	404684.0
SRR650911	22709788.0	335199.0
SRR650912	22951519.0	349578.0
SRR650913	24841559.0	372106.0
SRR650914	20899267.0	266723.0
SRR650915	23524017.0	302985.0
SRR650916	21135379.0	250970.0
SRR650917	22717541.0	302854.0
SRR650918	21446668.0	290704.0
SRR650919	32001599.0	432670.0
SRR650920	26571620.0	518755.0
SRR650921	22086149.0	287687.0
SRR650922	22342437.0	290857.0
SRR650923	24876168.0	330263.0
SRR650924	27312608.0	422682.0
SRR650925	32322425.0	985293.0
SRR650926	25722624.0	426109.0
SRR650927	34041703.0	1009797.0
SRR650928	27895171.0	846082.0
SRR650929	21486750.0	329695.0
SRR650930	19712536.0	285393.0
SRR650931	20816588.0	400930.0
SRR650932	20765715.0	322226.0
SRR650933	26398137.0	390676.0
SRR650934	22965400.0	409572.0
SRR650935	27301404.0	483296.0
SRR650936	28079769.0	499142.0
SRR650937	25492305.0	467253.0
SRR650938	23807923.0	364547.0
SRR650939	26047222.0	399607.0
SRR650940	28942959.0	460834.0
SRR650941	24836142.0	395395.0
SRR650942	18391279.0	260870.0
SRR650943	29604413.0	472551.0
SRR650944	23327558.0	374360.0
SRR650945	23210227.0	354423.0
SRR650946	25270063.0	393163.0
SRR650947	23332387.0	353356.0
SRR650948	21062674.0	325673.0
SRR650949	24605343.0	357513.0
SRR650950	28467395.0	549032.0
SRR650951	21924668.0	385727.0
SRR650952	24256596.0	361332.0
SRR650953	32429550.0	581347.0
SRR650954	29342211.0	439929.0
SRR650955	28030356.0	489949.0
SRR650956	16715157.0	284111.0
SRR650957	23357033.0	387707.0
SRR650958	24415850.0	418954.0
SRR650959	24528571.0	350926.0
SRR650960	21828757.0	305630.0
SRR650961	24114696.0	363666.0
SRR650962	20551024.0	296908.0
SRR650963	20867546.0	266182.0
SRR650964	28808188.0	372471.0
SRR650965	27271440.0	440591.0
