Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR516201	26077429	23591865	581283	0	0	0	0	0	0	0	1563533	0	340748	90.46852356495727
SRR516795	29986736	27005057	747588	0	0	0	0	0	0	0	1853586	0	380505	90.05667372400917
SRR516796	31878468	28798232	780732	0	0	0	0	0	0	0	1882833	0	416671	90.33756578264676
SRR516797	39948255	36167066	846083	0	0	0	0	0	0	0	2436514	0	498592	90.53478305873436
SRR516798	28750820	25903566	681808	0	0	0	0	0	0	0	1800384	0	365062	90.09679028285106
SRR516810	28158421	25507530	615571	0	0	0	0	0	0	0	1681282	0	354038	90.5857966964838
SRR516812	27730493	24874950	794963	0	0	0	0	0	0	0	1705000	0	355580	89.70251628775586
SRR516813	27870788	25231557	635414	0	0	0	0	0	0	0	1645838	0	357979	90.53047585163362
SRR516814	30158780	27171844	699253	0	0	0	0	0	0	0	1885991	0	401692	90.09596542035189
SRR516815	39823282	35068188	1378006	0	0	0	0	0	0	0	2895364	0	481724	88.05951252335255
SRR516816	26602999	23106128	1633415	0	0	0	0	0	0	0	1541353	0	322103	86.85535040617037
SRR516817	28980840	25847594	1006682	0	0	0	0	0	0	0	1699906	0	426658	89.18856044200237
SRR516818	26014652	23257799	734288	0	0	0	0	0	0	0	1687841	0	334724	89.40269122185451
SRR611202	27938902	25083550	783593	0	0	0	0	0	0	0	1711004	0	360755	89.78001354527103
SRR611203	26437906	23621028	865701	0	0	0	0	0	0	0	1614091	0	337086	89.34530594064447
SRR611204	31843961	28730213	716691	0	0	0	0	0	0	0	2006752	0	390305	90.22185713642847
SRR611205	26891998	24292260	631623	0	0	0	0	0	0	0	1619293	0	348822	90.33267070747216
SRR611206	27725785	24755203	978445	0	0	0	0	0	0	0	1626409	0	365728	89.28585069818583
SRR611207	30771052	27675426	862269	0	0	0	0	0	0	0	1825799	0	407558	89.93981096258914
SRR611208	33149918	30025858	837177	0	0	0	0	0	0	0	1865679	0	421204	90.5759646222956
SRR611209	20893033	18845865	551239	0	0	0	0	0	0	0	1236650	0	259279	90.20167153328097
