Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR516201	27569572.0	97.0	25496146.0	92.48	97.05	9514341.0	9199627.0	9372216.0	121130.0	8473.0	12522.0	0.32	0.03	2.61	0.02	2.09	1492143.0	5.41	201950.0	0.73	0.0	1.22	0.15	0	337800	41533
SRR516795	31715143.0	96.0	29239148.0	92.19	96.59	10630825.0	10258913.0	10473097.0	133164.0	9322.0	15242.0	0.35	0.03	2.67	0.02	2.15	1728407.0	5.45	252721.0	0.8	0.0	1.4	0.16	0	444111	50756
SRR516796	33721408.0	96.0	31097736.0	92.22	96.68	11517459.0	11123973.0	11346760.0	144191.0	10655.0	15853.0	0.37	0.03	2.76	0.02	2.16	1842940.0	5.47	214888.0	0.64	0.0	1.53	0.15	0	515322	50522
SRR516797	42316678.0	96.0	39102172.0	92.4	96.64	14592243.0	14101127.0	14376909.0	183689.0	12970.0	18675.0	0.35	0.03	2.76	0.02	2.07	2368423.0	5.6	294856.0	0.7	0.0	1.15	0.16	0	483902	67325
SRR516798	30477937.0	96.0	28069012.0	92.1	96.47	10307240.0	9952676.0	10155358.0	129157.0	8957.0	13768.0	0.36	0.03	2.68	0.02	2.12	1727117.0	5.67	241787.0	0.79	0.0	1.26	0.18	0	385018	55003
SRR516810	29827408.0	96.0	27542850.0	92.34	96.66	10236309.0	9885395.0	10085213.0	127761.0	9609.0	13726.0	0.37	0.03	2.73	0.02	2.1	1668987.0	5.6	216883.0	0.73	0.0	1.17	0.17	0	348108	50580
SRR516812	29333569.0	97.0	26935530.0	91.82	97.1	9992731.0	9645194.0	9842894.0	127106.0	9087.0	13644.0	0.35	0.03	2.75	0.02	2.11	1603076.0	5.46	274639.0	0.94	0.0	1.59	0.19	0	464784	55540
SRR516813	29421998.0	99.0	27235374.0	92.57	99.92	10431819.0	10072292.0	10274328.0	132687.0	9143.0	15661.0	0.39	0.03	2.72	0.02	2.18	1551210.0	5.27	233311.0	0.79	0.0	1.22	0.14	0	360710	41393
SRR516814	31851377.0	100.0	29459527.0	92.49	100.1	11261548.0	10869229.0	11093206.0	141398.0	10904.0	16040.0	0.37	0.03	2.69	0.02	2.11	1692597.0	5.31	265970.0	0.84	0.0	1.2	0.16	0	382309	50974
SRR516815	42061044.0	98.0	38445276.0	91.4	98.7	14212057.0	13625853.0	14005175.0	171433.0	12027.0	23422.0	0.38	0.03	2.97	0.03	2.2	2237762.0	5.32	518123.0	1.23	0.0	1.79	0.26	0	750825	109058
SRR516816	27965187.0	99.0	24969584.0	89.29	101.0	9542781.0	9211894.0	9401298.0	120691.0	8407.0	12385.0	0.35	0.03	2.76	0.02	2.14	1362188.0	4.87	225767.0	0.81	0.0	4.89	0.14	0	1368469	39179
