Sample	input_reads	surviving	surviving_pct	dropped	dropped_pct
SRR516201	28337804.0	27569572.0	97.29	768232.0	2.71
SRR516795	32660449.0	31715143.0	97.11	945306.0	2.89
SRR516796	34673395.0	33721408.0	97.25	951987.0	2.75
SRR516797	43740590.0	42316678.0	96.74	1423912.0	3.26
SRR516798	31515426.0	30477937.0	96.71	1037489.0	3.29
SRR516810	30826314.0	29827408.0	96.76	998906.0	3.24
SRR516812	30199676.0	29333569.0	97.13	866107.0	2.87
SRR516813	30270076.0	29421998.0	97.2	848078.0	2.8
SRR516814	32749225.0	31851377.0	97.26	897848.0	2.74
SRR516815	43494775.0	42061044.0	96.7	1433731.0	3.3
SRR516816	28656926.0	27965187.0	97.59	691739.0	2.41
SRR516817	31164767.0	30419497.0	97.61	745270.0	2.39
SRR516818	28104670.0	27474095.0	97.76	630575.0	2.24
SRR611202	30189262.0	29450979.0	97.55	738283.0	2.45
SRR611203	28546030.0	27829374.0	97.49	716656.0	2.51
SRR611204	35048089.0	33766479.0	96.34	1281610.0	3.66
SRR611205	29074990.0	28384504.0	97.63	690486.0	2.37
SRR611206	29927445.0	29213508.0	97.61	713937.0	2.39
SRR611207	33253038.0	32443880.0	97.57	809158.0	2.43
SRR611208	36075313.0	34999551.0	97.02	1075762.0	2.98
SRR611209	22735418.0	22138295.0	97.37	597123.0	2.63
SRR611210	34753744.0	33676145.0	96.9	1077599.0	3.1
SRR611211	28682492.0	27874434.0	97.18	808058.0	2.82
SRR611212	25994819.0	25307855.0	97.36	686964.0	2.64
SRR611213	27514134.0	26721332.0	97.12	792802.0	2.88
SRR611214	34855920.0	33905548.0	97.27	950372.0	2.73
SRR611215	30430264.0	29440471.0	96.75	989793.0	3.25
SRR611216	35930496.0	34764618.0	96.76	1165878.0	3.24
SRR611217	37139662.0	35933409.0	96.75	1206253.0	3.25
SRR611218	33582941.0	32415465.0	96.52	1167476.0	3.48
SRR611219	31182054.0	30303024.0	97.18	879030.0	2.82
SRR611220	34105133.0	33143826.0	97.18	961307.0	2.82
