SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR611806	Leaf	B73	T00	1	TRUE
SRR611807	Leaf	B73	T00	2	TRUE
SRR611822	Leaf	B73	T06	1	TRUE
SRR611823	Leaf	B73	T06	2	TRUE
SRR611834	Leaf	B73	T12	1	TRUE
SRR611835	Leaf	B73	T12	2	TRUE
SRR611836	Leaf	B73	T18	1	TRUE
SRR611837	Leaf	B73	T18	2	TRUE
SRR611838	Leaf	B73	T24	1	TRUE
SRR611839	Leaf	B73	T24	2	TRUE
SRR616188	Leaf	B73	T30	1	TRUE
SRR616189	Leaf	B73	T30	2	TRUE
SRR616190	Leaf	B73	T36	1	TRUE
SRR616191	Leaf	B73	T36	2	TRUE
SRR616192	Leaf	B73	T42	1	TRUE
SRR616193	Leaf	B73	T42	2	TRUE
SRR616194	Leaf	B73	T48	1	TRUE
SRR616195	Leaf	B73	T48	2	TRUE
SRR616196	Leaf	B73	T54	1	TRUE
SRR616197	Leaf	B73	T54	2	TRUE
SRR616248	Leaf	B73	T60	1	TRUE
SRR616249	Leaf	B73	T60	2	TRUE
SRR616250	Leaf	B73	T66	1	TRUE
SRR616251	Leaf	B73	T66	2	TRUE
SRR616252	Leaf	B73	T72	1	TRUE
SRR616253	Leaf	B73	T72	2	TRUE
SRR950094	Leaf	B73	T06	3	TRUE
SRR950095	Leaf	B73	T06	4	TRUE
SRR950096	Leaf	B73	T12	3	TRUE
SRR950097	Leaf	B73	T12	4	TRUE
SRR950098	Leaf	B73	T18	3	TRUE
SRR950099	Leaf	B73	T18	4	TRUE
SRR950100	Leaf	B73	T24	3	TRUE
SRR950101	Leaf	B73	T24	4	TRUE
SRR950102	Leaf	B73	T30	3	TRUE
SRR950103	Leaf	B73	T30	4	TRUE
SRR950104	Leaf	B73	T36	3	TRUE
SRR950105	Leaf	B73	T36	4	TRUE
SRR950110	Leaf	B73	T42	3	TRUE
SRR950111	Leaf	B73	T42	4	TRUE
SRR950161	Leaf	B73	T48	3	TRUE
SRR950162	Leaf	B73	T48	4	TRUE
SRR950163	Leaf	B73	T54	3	TRUE
SRR950164	Leaf	B73	T54	4	TRUE
SRR950181	Leaf	B73	T60	3	TRUE
SRR950182	Leaf	B73	T60	4	TRUE
SRR950183	Leaf	B73	T66	3	TRUE
SRR950184	Leaf	B73	T66	4	TRUE
SRR950185	Leaf	B73	T72	3	TRUE
SRR950186	Leaf	B73	T72	4	TRUE
