BioSample	Title	tissue	genotype
SAMN00794466	Zea mays ssp. mays L. B73 RNA-Seq		
SAMN00794467	Zea mays ssp. mays L. B97 RNA-Seq		
SAMN00794468	Zea mays ssp. mays L. CML103 RNA-Seq		
SAMN00794469	Zea mays ssp. mays L. CML228 RNA-Seq		
SAMN00794470	Zea mays ssp. mays L. CML247 RNA-Seq		
SAMN00794471	Zea mays ssp. mays L. CML277 RNA-Seq		
SAMN00794472	Zea mays ssp. mays L. CML322 RNA-Seq		
SAMN00794473	Zea mays ssp. mays L. CML333 RNA-Seq		
SAMN00794474	Zea mays ssp. mays L. CML52 RNA-Seq		
SAMN00794475	Zea mays ssp. mays L. CML69 RNA-Seq		
SAMN00794476	Zea mays ssp. mays L. Hp301 RNA-Seq		
SAMN00794477	Zea mays ssp. mays L. B97 RNA-Seq		
SAMN00794478	Zea mays ssp. mays L. Ki11 RNA-Seq		
SAMN00794479	Zea mays ssp. mays L. Ki3 RNA-Seq		
SAMN00794480	Zea mays ssp. mays L. Ky21 RNA-Seq		
SAMN00794481	Zea mays ssp. mays L. M162W RNA-Seq		
SAMN00794482	Zea mays ssp. mays L. M37W RNA-Seq		
SAMN00794483	Zea mays ssp. mays L. Mo17 RNA-Seq		
SAMN00794484	Zea mays ssp. mays L. Mo18W RNA-Seq		
SAMN00794485	Zea mays ssp. mays L. Ms71 RNA-Seq		
SAMN00794486	Zea mays ssp. mays L. NC350 RNA-Seq		
SAMN00794487	Zea mays ssp. mays L. NC358 RNA-Seq		
SAMN00794488	Zea mays ssp. mays L. Oh43 RNA-Seq		
SAMN00794489	Zea mays ssp. mays L. Oh7B RNA-Seq		
SAMN00794490	Zea mays ssp. mays L. P39 RNA-Seq		
SAMN00794491	Zea mays ssp. mays L. Tx303 RNA-Seq		
SAMN00794492	Zea mays ssp. mays L. Tzi8 RNA-Seq		
SAMN00828623	Zea mays ssp. mays L. B73 RNA-Seq		
SAMN00828625	Zea mays ssp. mays L. B97 RNA-Seq		
SAMN00828628	Zea mays ssp. mays L. CML103 RNA-Seq		
SAMN00828635	Zea mays ssp. mays L. CML228 RNA-Seq		
SAMN00828636	Zea mays ssp. mays L. CML247 RNA-Seq		
SAMN00828638	Zea mays ssp. mays L. CML277 RNA-Seq		
SAMN00828640	Zea mays ssp. mays L. CML322 RNA-Seq		
SAMN00828641	Zea mays ssp. mays L. CML333 RNA-Seq		
SAMN00828642	Zea mays ssp. mays L. CML52 RNA-Seq		
SAMN00828643	Zea mays ssp. mays L. CML69 RNA-Seq		
SAMN00828648	Zea mays ssp. mays L. Hp301 RNA-Seq		
