Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR504462,2012-09-05 09:08:14,2012-06-06 10:17:39,21246896,2124689600,0,100,1334,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504462,SRX151740,GSM943461: Kn1-N leaf homo #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344378,SAMN01041006,simple,4577,Zea mays,GSM943461,,,,,,,no,,,,,GEO,SRA053486,,public,B44B54641AC7BEAA52AA4D77ACB9FD6D,E285C65A2F314BC35E6DE723E4FCF7B1
SRR504463,2012-09-05 09:08:14,2012-06-06 10:19:30,26425413,2642541300,0,100,1656,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504463,SRX151741,GSM943462: Kn1-N leaf homo #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344379,SAMN01041007,simple,4577,Zea mays,GSM943462,,,,,,,no,,,,,GEO,SRA053486,,public,AD5A98A75CA4E25D1000B88F67F0DB2C,4159030A5E9BD1E1A938BAC722771CFD
SRR504464,2012-09-05 09:08:14,2012-06-06 10:19:30,26186672,2618667200,0,100,1638,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504464,SRX151742,GSM943463: Kn1-N leaf het #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344380,SAMN01041008,simple,4577,Zea mays,GSM943463,,,,,,,no,,,,,GEO,SRA053486,,public,2CEC38F36F87546FA3247CF9E584CCBA,B01077D529AC7AB0E3369625808D580B
SRR504465,2012-09-05 09:08:14,2012-06-06 10:19:34,26350142,2635014200,0,100,1655,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504465,SRX151743,GSM943464: Kn1-N leaf het #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344381,SAMN01041009,simple,4577,Zea mays,GSM943464,,,,,,,no,,,,,GEO,SRA053486,,public,EFF3FD2EC9A16D0485688E104D380B87,C1850E4524D13D38E0C236275DF852E7
SRR504466,2012-09-05 09:08:14,2012-06-06 10:19:00,24871839,2487183900,0,100,1559,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504466,SRX151744,GSM943465: WT leaf #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344382,SAMN01041010,simple,4577,Zea mays,GSM943465,,,,,,,no,,,,,GEO,SRA053486,,public,209ED6B8CB9C0B0EC2235392E71BC575,F2944D36CC8BAC1766204C1B5D4C586B
SRR504467,2012-09-05 09:08:14,2012-06-06 10:18:50,24082728,2408272800,0,100,1510,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504467,SRX151745,GSM943466: WT leaf #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344383,SAMN01041011,simple,4577,Zea mays,GSM943466,,,,,,,no,,,,,GEO,SRA053486,,public,9810F9DD6E71C091A59B0517FD412FC9,FEFB2D3D7AC2F05232A8CC0A69831B64
SRR504468,2012-09-05 09:08:14,2012-06-06 10:19:39,22474516,2247451600,0,100,1393,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504468,SRX151746,GSM943467: e1 tassels #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344384,SAMN01041012,simple,4577,Zea mays,GSM943467,,,,,,,no,,,,,GEO,SRA053486,,public,9746B9A5520DB8E021C8A20E70D13545,7003167727898E85A5FAA5568235789E
SRR504469,2012-09-05 09:08:14,2012-06-06 10:19:35,22323103,2232310300,0,100,1384,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504469,SRX151747,GSM943468: e1 tassels #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344385,SAMN01041013,simple,4577,Zea mays,GSM943468,,,,,,,no,,,,,GEO,SRA053486,,public,CDABD7377CCE9D6302C593229FA1D2A6,87C509696B6B65B568DD88EAB54DFF80
SRR504470,2012-09-05 09:08:14,2012-06-06 15:53:40,24845734,2484573400,0,100,1536,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504470,SRX151748,GSM943469: e1 tassels #3; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344386,SAMN01041014,simple,4577,Zea mays,GSM943469,,,,,,,no,,,,,GEO,SRA053486,,public,F950FA53BB52E11850DE6838ADF1A1AF,7356E18D1475514A3F8A5722BD3A6346
SRR504471,2012-09-05 09:08:14,2012-06-06 10:17:41,23499684,2349968400,0,100,1461,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504471,SRX151749,GSM943470: WT tassels #1; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344387,SAMN01041015,simple,4577,Zea mays,GSM943470,,,,,,,no,,,,,GEO,SRA053486,,public,32D6B6BEB7B1D6B0EB3E1FB70D3348E0,C6D1641A972D9FB36C0757EAAAFCE4F9
SRR504472,2012-09-05 09:08:14,2012-06-06 15:49:49,24049502,2404950200,0,100,1491,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/000492/SRR504472,SRX151750,GSM943471: WT tassels #2; Zea mays; RNA-Seq,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP013564,PRJNA168086,2,168086,SRS344388,SAMN01041016,simple,4577,Zea mays,GSM943471,,,,,,,no,,,,,GEO,SRA053486,,public,B4EF306341694077C2A043A9F2A908F7,A1B9732E7751A175EC45C1D4998F3434
