Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1594027,2015-01-21 16:04:09,2014-10-01 11:41:38,31928082,6449472564,31928082,202,4301,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594027,SRX718184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048564,PRJNA262781,2,262781,SRS714000,SAMN03085616,simple,4577,Zea mays,GSM1517641,,,,,,,no,,,,,GEO,SRA188432,,public,9820DB0B5B2CEE53F2099C5E29EF7013,C6E407291B54A20EBB2CA6822DA3C57B
SRR1594028,2015-01-21 16:04:09,2014-10-01 11:42:46,28222249,5700894298,28222249,202,3795,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594028,SRX718185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048564,PRJNA262781,2,262781,SRS714001,SAMN03085617,simple,4577,Zea mays,GSM1517642,,,,,,,no,,,,,GEO,SRA188432,,public,3D266AB48DCA8796C656BB35E9464283,1A746E721CBA1B303A729074DBCF04E3
SRR1594029,2015-01-21 16:04:09,2014-10-01 11:46:23,36565833,7386298266,36565833,202,4914,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594029,SRX718186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048564,PRJNA262781,2,262781,SRS714002,SAMN03085618,simple,4577,Zea mays,GSM1517643,,,,,,,no,,,,,GEO,SRA188432,,public,811BD2750B4A8F053B3163A2B62DB1F8,D17BE6749CB674FB4D1F7D2B2D2A8BC4
SRR1594030,2015-01-21 16:04:09,2014-10-01 11:37:04,13617690,2750773380,13617690,202,1836,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594030,SRX718187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048564,PRJNA262781,2,262781,SRS714003,SAMN03085619,simple,4577,Zea mays,GSM1517644,,,,,,,no,,,,,GEO,SRA188432,,public,4C2714F236603077A59377779CE72266,F79EC04EA8FA5587EC3D7F8D7DAACE43
SRR1594031,2015-01-21 16:04:09,2014-10-01 11:43:08,31164572,6295243544,31164572,202,4205,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594031,SRX718188,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048564,PRJNA262781,2,262781,SRS714004,SAMN03085620,simple,4577,Zea mays,GSM1517645,,,,,,,no,,,,,GEO,SRA188432,,public,FDCD2DBE85C9C2E4C2F5B00FB408883B,28174617CFDCE9458A231110FA57E5C4
SRR1594032,2015-01-21 16:04:09,2014-10-01 12:04:01,44104021,8909012242,44104021,202,5934,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594032,SRX718189,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048564,PRJNA262781,2,262781,SRS714005,SAMN03085621,simple,4577,Zea mays,GSM1517646,,,,,,,no,,,,,GEO,SRA188432,,public,80F968B0AEFCCC800BBE22AF50C00ECA,8E94234B007B81E5A009958109FFC2A2
SRR1594033,2015-01-21 16:04:09,2014-10-01 11:33:43,3045051,307550151,0,101,148,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594033,SRX718190,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP048564,PRJNA262781,2,262781,SRS714006,SAMN03085622,simple,4577,Zea mays,GSM1517647,,,,,,,no,,,,,GEO,SRA188432,,public,97206AA9E7B438FB50AB4E423EFF912B,FE9C9B2181A87BFE57FE8336DA433733
SRR1594034,2015-01-21 16:04:09,2014-10-01 11:33:48,3208913,324100213,0,101,159,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594034,SRX718191,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP048564,PRJNA262781,2,262781,SRS714007,SAMN03085623,simple,4577,Zea mays,GSM1517648,,,,,,,no,,,,,GEO,SRA188432,,public,339408E2AC3E566C521F12CC3517F53E,BB89036E74DDFDCB05A154D1965DD79A
SRR1594035,2015-01-21 16:04:09,2014-10-01 11:33:44,3762023,379964323,0,101,184,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594035,SRX718192,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP048564,PRJNA262781,2,262781,SRS714008,SAMN03085624,simple,4577,Zea mays,GSM1517649,,,,,,,no,,,,,GEO,SRA188432,,public,90322DB4B691A9EF8257CE8A765968C2,3071EC251B2A2DE7ED3F87D14874FC7C
SRR1594036,2015-01-21 16:04:09,2014-10-01 11:35:12,4183552,422538752,0,101,207,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001556/SRR1594036,SRX718193,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP048564,PRJNA262781,2,262781,SRS714009,SAMN03085625,simple,4577,Zea mays,GSM1517650,,,,,,,no,,,,,GEO,SRA188432,,public,17B14949547C089904CCB76026254C75,92AE6A23A675F9915B8A899A844A62EF

